latitude,longitude,altitude,geometry,aquifer,aquifer_type,county,entity,status,well_number
30.33965,-98.12815,,Point,Trinity,Unconfined,Travis,Travis County,Active,5747312
30.341390000000004,-98.12805999999999,,Point,Trinity,Unconfined,Travis,Travis County,Active,5747310
32.53881,-96.95539000000001,,Point,Woodbine,Confined,Ellis,Prairielands GCD,Active,3325803
29.83683,-98.88683,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6809303
26.88627,-98.65451,,Point,Gulf Coast,Unconfined,Jim Hogg,Brush Country GCD,Active,8703901
26.49,-98.14805,,Point,Gulf Coast,Unconfined,Hidalgo,Texas Water Development Board,Active,8739308
32.49667,-96.95451,,Point,Trinity,Confined,Ellis,Prairielands GCD,Active,3333203
27.216759999999997,-98.16951999999999,,Point,Gulf Coast,Unconfined,Brooks,Texas Water Development Board,Active,8455216
32.466429999999995,-96.82988,,Point,Woodbine,Confined,Ellis,Prairielands GCD,Active,3334209
32.46648,-96.82977,,Point,Trinity,Confined,Ellis,Prairielands GCD,Active,3334207
30.96528,-97.78833,,Point,Trinity,Unconfined,Bell,Clearwater UWCD,Active,5802302
30.967579999999998,-97.80464,,Point,Trinity,Unconfined,Bell,Clearwater UWCD,Active,5802202
31.07977,-97.43641,,Point,Trinity,Confined,Bell,Clearwater UWCD,Active,4061509
29.85864,-98.62508000000001,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6811302
30.15888,-98.18444000000001,,Point,Trinity,Unconfined,Hays,Hays Trinity GCD,Active,5755803
35.268611,-101.30194499999999,,Point,Ogallala,Unconfined,Carson,Panhandle GCD,Active,0646805
30.009458000000002,-99.380453,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5661907
31.853666999999998,-97.218028,,Point,Trinity,Confined,Hill,Prairielands GCD,Active,4015102
27.538888,-97.846944,,Point,Gulf Coast,Unconfined,Kleberg,Texas Water Development Board,Active,8326701
29.413611,-100.261111,,Point,Edwards (Balcones Fault Zone),Unconfined,Kinney,Texas Water Development Board,Active,7038902
30.272777,-99.5,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5644901
26.044721,-97.587777,,Point,Gulf Coast,Unconfined,Cameron,Texas Water Development Board,Active,8860415
30.109166,-98.80111099999999,,Point,Edwards-Trinity Plateau,Unconfined,Kendall,Cow Creek GCD,Active,5758203
31.131666,-97.37361,,Point,Trinity,Confined,Bell,Clearwater UWCD,Active,4054701
29.681109999999997,-98.52194300000001,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6820603
29.681109999999997,-98.52194300000001,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6820602
29.673053999999997,-98.654166,,Point,Trinity,Unconfined,Bexar,Trinity Glen Rose GCD,Active,6819618
31.051111,-97.32972099999999,,Point,Trinity,Confined,Bell,Clearwater UWCD,Active,4062501
30.077499,-98.07833199999999,,Point,Trinity,Unconfined,Hays,Hays Trinity GCD,Active,5764502
