datetime,water_level(ft below land surface),Loss
2018-01,251.29,-0.31
2017-12,251.6,-0.34
2017-11,251.94,-0.24
2017-10,252.18,-0.2
2017-09,252.38,0.16
2017-08,252.22,0.42
2017-07,251.8,0.74
2017-06,251.06,0.5
2017-05,250.56,0.11
2017-04,250.45,-0.09
2017-03,250.54,-0.15
2017-02,250.69,-0.26
2017-01,250.95,-0.29
2016-12,251.24,-0.2
2016-11,251.44,-0.03
2016-10,251.47,0.23
2016-09,251.24,0.43
2016-08,250.81,0.76
2016-07,250.05,0.76
2016-06,249.29,0.42
2016-05,248.87,-0.23
2016-04,249.1,-0.25
2016-03,249.35,-0.22
2016-02,249.57,-0.23
2016-01,249.8,-0.25
2015-12,250.05,-0.4
2015-11,250.45,-0.18
2015-10,250.63,-0.01
2015-09,250.64,0.52
2015-08,250.12,0.69
2015-07,249.43,0.79
2015-06,248.64,0.13
2015-05,248.51,-0.14
2015-04,248.65,-0.2
2015-03,248.85,-0.26
2015-02,249.11,-0.3
2015-01,249.41,-0.3
2014-12,249.71,-0.24
2014-11,249.95,-0.22
2014-10,250.17,0.02
2014-09,250.15,0.48
2014-08,249.67,0.72
2014-07,248.95,0.66
2014-06,248.29,0.15
2014-05,248.14,0.26
2014-04,247.88,0.16
2014-03,247.72,-0.12
2014-02,247.84,-0.27
2014-01,248.11,-0.3
2013-12,248.41,-0.3
2013-11,248.71,-0.05
2013-10,248.76,0.11
2013-09,248.65,1.39
2013-07,247.26,0.87
2013-06,246.39,0.68
2013-05,245.71,0.1
2013-04,245.61,-0.11
2013-03,245.72,-0.23
2013-02,245.95,-0.31
2013-01,246.26,-0.36
2012-12,246.62,-0.34
2012-11,246.96,-0.02
2012-10,246.98,0.1
2012-09,246.88,0.32
2012-08,246.56,1.09
2012-07,245.47,0.68
2012-06,244.79,0.37
2012-05,244.42,0.1
2012-04,244.32,-0.13
2012-03,244.45,-0.34
2012-02,244.79,-0.28
2012-01,245.07,-0.29
2011-12,245.36,-0.24
2011-11,245.6,-0.1
2011-10,245.7,0.06
2011-09,245.64,1.72
2011-08,243.92,0.55
2011-07,243.37,0.55
2011-06,242.82,1.1
2011-05,241.72,0.26
2011-04,241.46,-0.07
2011-03,241.53,-0.25
2011-02,241.78,-0.31
2011-01,242.09,-0.25
2010-12,242.34,-0.25
2010-11,242.59,-0.14
2010-10,242.73,0.09
2010-09,242.64,0.32
2010-08,242.32,1.79
2010-06,240.53,0.27
2010-05,240.26,-0.12
2010-04,240.38,-0.26
2010-03,240.64,-0.24
