datetime,water_level(ft below land surface)
2018-02-05,226.88
2018-02-04,226.88
2018-02-03,226.88
2018-02-02,226.88
2018-02-01,226.88
2018-01-31,226.88
2018-01-30,226.88
2018-01-29,227.52
2018-01-28,227.98
2018-01-27,227.56
2018-01-26,227.34
2018-01-25,227.68
2018-01-24,227.98
2018-01-23,228.25
2018-01-22,228.56
2018-01-21,228.66
2018-01-20,228.30
2018-01-19,228.24
2018-01-18,228.30
2018-01-17,229.53
2018-01-16,228.38
2018-01-15,227.59
2018-01-14,228.10
2018-01-13,228.05
2018-01-12,227.44
2018-01-11,227.39
2018-01-10,227.59
2018-01-09,227.87
2018-01-08,228.35
2018-01-07,228.53
2018-01-06,228.49
2018-01-05,228.03
2018-01-04,227.92
2018-01-03,228.06
2018-01-02,227.74
2018-01-01,228.02
2017-12-31,227.49
2017-12-30,227.50
2017-12-29,228.32
2017-12-28,227.93
2017-12-27,227.49
2017-12-26,227.79
2017-12-25,227.39
2017-12-24,227.47
2017-12-23,227.37
2017-12-22,227.52
2017-12-21,227.62
2017-12-20,227.36
2017-12-19,227.35
2017-12-18,227.45
2017-12-17,227.66
2017-12-16,227.49
2017-12-15,227.77
2017-12-14,227.96
2017-12-13,228.16
2017-12-12,228.26
2017-12-11,228.32
2017-12-10,228.37
2017-12-09,228.32
2017-12-08,227.65
2017-12-07,227.87
2017-12-06,227.99
2017-12-05,227.63
2017-12-04,227.68
2017-12-03,227.82
2017-12-02,227.94
2017-12-01,227.83
2017-11-30,228.04
2017-11-29,228.23
2017-11-28,228.04
2017-11-27,227.87
2017-11-26,228.40
2017-11-25,228.46
2017-11-24,228.34
2017-11-23,228.13
2017-11-22,228.14
2017-11-21,227.80
2017-11-20,228.30
2017-11-19,228.34
2017-11-18,228.09
2017-11-17,227.81
2017-11-16,227.94
2017-11-15,227.81
2017-11-14,227.85
2017-11-13,228.05
2017-11-12,228.14
2017-11-11,228.11
2017-11-10,228.16
2017-11-09,227.88
2017-11-08,228.23
2017-11-07,228.20
2017-11-06,228.38
2017-11-05,228.28
2017-11-04,227.91
2017-11-03,227.99
2017-11-02,227.90
2017-11-01,228.05
2017-10-31,228.37
2017-10-30,228.37
2017-10-29,228.21
2017-10-28,228.15
2017-10-27,227.86
2017-10-26,228.01
2017-10-25,228.24
2017-10-24,228.44
2017-10-23,228.19
2017-10-22,228.12
2017-10-21,227.85
2017-10-20,227.84
2017-10-19,228.19
2017-10-18,228.46
2017-10-17,228.93
2017-10-16,228.98
2017-10-15,229.26
2017-10-14,228.81
2017-10-13,228.92
2017-10-12,228.80
2017-10-11,228.90
2017-10-10,228.81
2017-10-09,228.42
2017-10-08,228.36
2017-10-07,228.32
2017-10-06,228.22
2017-10-05,228.27
2017-10-04,228.21
2017-10-03,228.14
2017-10-02,228.14
2017-10-01,228.18
2017-09-30,228.18
2017-09-29,228.11
2017-09-28,228.00
2017-09-27,227.86
2017-09-26,227.68
2017-09-25,227.61
2017-09-24,227.80
2017-09-23,227.83
2017-09-22,227.65
2017-09-21,227.66
2017-09-20,227.77
2017-09-19,228.06
2017-09-18,227.79
2017-09-17,228.08
2017-09-16,227.78
2017-09-15,227.73
2017-09-14,227.74
2017-09-13,228.01
2017-09-12,228.02
2017-09-11,227.62
2017-09-10,227.85
2017-09-09,227.79
2017-09-08,227.34
2017-09-07,227.45
2017-09-06,228.15
2017-09-05,227.87
2017-09-04,227.81
2017-09-03,227.40
2017-09-02,227.52
2017-09-01,227.40
2017-08-31,227.29
2017-08-30,227.26
2017-08-29,227.55
2017-08-28,227.65
2017-08-27,227.28
2017-08-26,227.23
2017-08-25,227.72
2017-08-24,227.32
2017-08-23,227.39
2017-08-22,227.57
2017-08-21,227.62
2017-08-20,227.60
2017-08-19,227.66
2017-08-18,227.15
2017-08-17,227.13
2017-08-16,227.70
2017-08-15,227.23
2017-08-14,226.94
2017-08-13,227.24
2017-08-12,227.55
2017-08-11,227.14
2017-08-10,227.35
2017-08-09,227.00
2017-08-08,227.06
2017-08-07,226.98
2017-08-06,227.19
2017-08-05,227.01
2017-08-04,227.10
2017-08-03,226.73
2017-08-02,226.86
2017-08-01,227.42
2017-07-31,227.83
2017-07-30,228.24
2017-07-29,227.90
2017-07-28,227.76
2017-07-27,227.28
2017-07-26,227.06
2017-07-25,227.23
2017-07-24,227.10
2017-07-23,227.63
2017-07-22,227.24
2017-07-21,226.98
2017-07-20,226.73
2017-07-19,226.57
2017-07-18,226.40
2017-07-17,226.47
2017-07-16,226.23
2017-07-15,226.57
2017-07-14,226.67
2017-07-13,226.64
2017-07-12,227.02
2017-07-11,226.72
2017-07-10,228.80
2017-07-09,227.16
2017-07-08,226.59
2017-07-07,226.14
2017-07-06,226.06
2017-07-05,226.55
2017-07-04,226.31
2017-07-03,227.21
2017-07-02,227.75
2017-07-01,226.07
2017-06-30,226.12
2017-06-29,225.85
2017-06-28,225.83
2017-06-27,225.74
2017-06-26,225.92
2017-06-25,225.91
2017-06-24,225.71
2017-06-23,226.08
2017-06-22,225.85
2017-06-21,226.87
2017-06-20,226.32
2017-06-19,226.64
2017-06-18,226.39
2017-06-17,225.92
2017-06-16,226.06
2017-06-15,226.38
2017-06-14,226.58
2017-06-13,226.39
2017-06-12,226.41
2017-06-11,226.80
2017-06-10,226.79
2017-06-09,227.48
2017-06-08,227.39
2017-06-07,225.96
2017-06-06,226.60
2017-06-05,226.79
2017-06-04,226.67
2017-06-03,226.33
2017-06-02,226.22
2017-06-01,226.07
2017-05-31,226.17
2017-05-30,226.16
2017-05-29,226.06
2017-05-28,225.71
2017-05-27,225.78
2017-05-26,225.67
2017-05-25,225.89
2017-05-24,225.58
2017-05-23,226.01
2017-05-22,226.22
2017-05-21,226.38
2017-05-20,225.57
2017-05-19,225.80
2017-05-18,226.16
2017-05-17,226.71
2017-05-16,226.17
2017-05-15,225.65
2017-05-14,225.50
2017-05-13,225.48
2017-05-12,225.50
2017-05-11,225.73
2017-05-10,226.47
2017-05-09,226.53
2017-05-08,226.33
2017-05-07,226.27
2017-05-06,225.77
2017-05-05,225.89
2017-05-04,225.87
2017-05-03,225.61
2017-05-02,225.52
2017-05-01,225.51
2017-04-30,225.68
2017-04-29,225.71
2017-04-28,225.67
2017-04-27,225.60
2017-04-26,225.59
2017-04-25,225.72
2017-04-24,225.56
2017-04-23,225.87
2017-04-22,225.81
2017-04-21,226.39
2017-04-20,226.90
2017-04-19,227.22
2017-04-18,226.40
2017-04-17,225.54
2017-04-16,226.24
2017-04-15,226.12
2017-04-14,226.08
2017-04-13,226.01
2017-04-12,226.17
2017-04-11,225.85
2017-04-10,225.47
2017-04-09,225.47
2017-04-08,225.47
2017-04-07,225.68
2017-04-06,225.88
2017-04-05,226.24
2017-04-04,226.41
2017-04-03,226.75
2017-04-02,226.81
2017-04-01,226.89
2017-03-31,225.87
2017-03-30,225.33
2017-03-29,225.37
