datetime,water_level(ft below land surface)
2018-02-07,108.51
2018-02-06,108.52
2018-02-05,108.53
2018-02-04,108.54
2018-02-03,108.56
2018-02-02,108.57
2018-02-01,108.58
2018-01-31,105.53
2018-01-30,105.87
2018-01-29,105.87
2018-01-28,106.15
2018-01-27,106.76
2018-01-26,107.34
2018-01-25,108.48
2018-01-24,109.65
2018-01-23,110.54
2018-01-22,110.73
2018-01-21,111.91
2018-01-20,112.85
2018-01-19,112.95
2018-01-18,113.27
2018-01-17,112.43
2018-01-16,111.70
2018-01-15,112.33
2018-01-14,111.60
2018-01-13,111.14
2018-01-12,110.63
2018-01-11,109.38
2018-01-10,110.48
2018-01-09,110.76
2018-01-08,110.94
2018-01-07,111.52
2018-01-06,111.77
2018-01-05,112.24
2018-01-04,113.00
2018-01-03,112.43
2018-01-02,111.46
2018-01-01,110.67
2017-12-31,110.53
2017-12-30,110.30
2017-12-29,109.03
2017-12-28,109.00
2017-12-27,109.10
2017-12-26,107.67
2017-12-25,107.25
2017-12-24,107.71
2017-12-23,107.50
2017-12-22,107.28
2017-12-21,107.46
2017-12-20,107.53
2017-12-19,107.44
2017-12-18,107.87
2017-12-17,107.30
2017-12-16,105.37
2017-12-15,106.02
2017-12-14,107.02
2017-12-13,108.91
2017-12-12,109.71
2017-12-11,108.82
2017-12-10,108.28
2017-12-09,107.16
2017-12-08,105.51
2017-12-07,105.34
2017-12-06,106.12
2017-12-05,106.87
2017-12-04,106.95
2017-12-03,106.55
2017-12-02,106.72
2017-12-01,106.48
2017-11-30,107.03
2017-11-29,106.64
2017-11-28,106.35
2017-11-27,106.41
2017-11-26,105.89
2017-11-25,105.28
2017-11-24,105.03
2017-11-23,105.94
2017-11-22,106.10
2017-11-21,105.79
2017-11-20,106.17
2017-11-19,106.25
2017-11-18,106.50
2017-11-17,106.50
2017-11-16,106.86
2017-11-15,106.98
2017-11-14,107.49
2017-11-13,108.56
2017-11-12,109.05
2017-11-11,110.06
2017-11-10,111.34
2017-11-09,113.96
2017-11-08,115.29
2017-11-07,113.64
2017-11-06,111.96
2017-11-05,111.72
2017-11-04,111.45
2017-11-03,109.96
2017-11-02,109.60
2017-11-01,109.37
2017-10-31,108.61
2017-10-30,108.18
2017-10-29,108.09
2017-10-28,108.55
2017-10-27,108.74
2017-10-26,108.92
2017-10-25,109.29
2017-10-24,109.31
2017-10-23,108.20
2017-10-22,107.49
2017-10-21,106.65
2017-10-20,105.88
2017-10-19,105.66
2017-10-18,105.68
2017-10-17,105.89
2017-10-16,106.32
2017-10-15,106.23
2017-10-14,106.44
2017-10-13,106.97
2017-10-12,107.85
2017-10-11,108.54
2017-10-10,108.60
2017-10-09,108.27
2017-10-08,108.73
2017-10-07,109.47
2017-10-06,110.64
2017-10-05,112.27
2017-10-04,114.52
2017-10-03,115.50
2017-10-02,116.85
2017-10-01,117.90
2017-09-30,118.40
2017-09-29,118.58
2017-09-28,120.05
2017-09-27,121.37
2017-09-26,122.88
2017-09-25,123.31
2017-09-24,123.18
2017-09-23,124.64
2017-09-22,126.29
2017-09-21,126.77
2017-09-20,126.03
2017-09-19,125.28
2017-09-18,123.55
2017-09-17,122.68
2017-09-16,122.83
2017-09-15,121.78
2017-09-14,120.77
2017-09-13,120.23
2017-09-12,119.69
2017-09-11,119.51
2017-09-10,119.20
2017-09-09,119.63
2017-09-08,119.80
2017-09-07,120.38
2017-09-06,120.13
2017-09-05,120.08
2017-09-04,119.83
2017-09-03,120.23
2017-09-02,121.20
2017-09-01,123.79
2017-08-31,124.18
2017-08-30,121.34
2017-08-29,121.44
2017-08-28,120.91
2017-08-27,120.64
2017-08-26,120.40
2017-08-25,122.09
2017-08-24,125.45
2017-08-23,127.90
2017-08-22,129.99
2017-08-21,130.34
2017-08-20,130.24
2017-08-19,129.63
2017-08-18,129.32
2017-08-17,129.28
2017-08-16,127.77
2017-08-15,123.12
2017-08-14,120.84
2017-08-13,119.77
2017-08-12,120.98
2017-08-11,121.52
2017-08-10,122.87
2017-08-09,124.19
2017-08-08,124.54
2017-08-07,124.24
2017-08-06,123.20
2017-08-05,123.07
2017-08-04,123.37
2017-08-03,124.43
2017-08-02,123.72
2017-08-01,123.31
2017-07-31,123.24
2017-07-30,121.87
2017-07-29,121.49
2017-07-28,120.70
2017-07-27,119.41
2017-07-26,119.91
2017-07-25,120.85
2017-07-24,119.47
2017-07-23,118.25
2017-07-22,117.11
2017-07-21,116.19
2017-07-20,115.93
2017-07-19,116.24
2017-07-18,116.64
2017-07-17,118.32
2017-07-16,118.00
2017-07-15,117.71
2017-07-14,117.97
2017-07-13,119.41
2017-07-12,119.30
2017-07-11,118.24
2017-07-10,117.07
2017-07-09,117.12
2017-07-08,118.44
2017-07-07,119.94
2017-07-06,120.08
2017-07-05,119.17
2017-07-04,118.57
2017-07-03,118.20
2017-07-02,117.46
2017-07-01,117.17
2017-06-30,116.61
2017-06-29,115.93
2017-06-28,115.66
2017-06-27,116.56
2017-06-26,118.07
2017-06-25,120.22
2017-06-24,121.75
