datetime,water_level(ft below land surface)
2018-01-22,46.61
2018-01-21,46.61
2018-01-20,46.61
2018-01-19,46.60
2018-01-18,46.60
2018-01-17,46.60
2018-01-16,46.60
2018-01-15,47.12
2018-01-14,47.22
2018-01-12,46.11
2018-01-11,45.14
2018-01-10,45.67
2018-01-09,46.03
2018-01-08,46.29
2018-01-01,45.34
2017-12-31,45.77
2017-12-30,46.90
2017-12-29,46.82
2017-12-26,46.34
2017-12-25,47.35
2017-12-24,47.50
2017-12-17,44.98
2017-12-16,45.89
2017-12-15,47.02
2017-12-14,46.79
2017-12-13,46.69
2017-12-12,47.09
2017-12-11,47.21
2017-12-10,47.22
2017-12-09,47.29
2017-12-08,46.98
2017-12-07,46.81
2017-12-06,46.32
2017-12-05,46.22
2017-12-04,46.36
2017-12-03,46.53
2017-12-02,46.84
2017-12-01,47.17
2017-11-30,47.20
2017-11-29,47.41
2017-11-28,46.92
2017-11-27,47.42
2017-11-26,47.43
2017-11-25,47.31
2017-11-24,47.18
2017-11-23,46.79
2017-11-22,46.41
2017-11-21,46.18
2017-11-20,46.22
2017-11-19,46.58
2017-11-18,46.55
2017-11-17,46.64
2017-11-16,46.60
2017-11-15,46.59
2017-11-14,46.65
2017-11-13,46.65
2017-11-12,46.60
2017-11-11,46.53
2017-11-10,46.54
2017-11-09,46.36
2017-11-08,46.35
2017-11-07,46.24
2017-11-06,46.02
2017-11-05,46.31
2017-11-04,46.18
2017-11-03,46.07
2017-11-02,45.94
2017-11-01,45.73
2017-10-31,45.81
2017-10-30,45.44
2017-10-29,44.18
2017-10-28,41.98
2017-10-27,44.21
2017-10-26,43.68
2017-10-25,44.09
2017-10-24,44.72
2017-10-23,45.62
2017-10-22,45.40
2017-10-21,44.75
2017-10-20,43.52
2017-10-19,43.27
2017-10-18,41.67
2017-10-17,37.88
2017-10-16,43.75
2017-10-15,45.37
2017-10-14,44.63
2017-10-13,41.51
2017-10-12,45.49
2017-10-11,47.40
2017-10-10,46.68
2017-10-09,46.18
2017-10-08,47.24
2017-10-07,46.94
2017-10-06,47.69
2017-10-05,48.50
2017-10-04,48.13
2017-10-03,48.06
2017-10-02,48.02
2017-10-01,48.17
2017-09-30,48.30
2017-09-29,47.79
2017-09-28,47.19
2017-09-27,47.44
2017-09-26,47.11
2017-09-25,46.56
2017-09-24,46.78
2017-09-23,46.75
2017-09-22,46.79
2017-09-21,46.83
2017-09-20,47.68
2017-09-19,47.58
2017-09-18,48.62
2017-09-17,48.62
2017-09-16,48.35
2017-09-15,47.21
2017-09-14,46.52
2017-09-13,46.17
2017-09-12,46.28
2017-09-11,47.00
2017-09-10,47.00
2017-09-09,46.88
2017-09-08,46.84
2017-09-07,47.33
2017-09-06,46.76
2017-09-05,46.38
2017-09-04,46.64
2017-09-03,46.68
2017-09-02,46.73
2017-09-01,46.67
2017-08-31,46.35
2017-08-30,45.18
2017-08-29,46.44
2017-08-28,46.88
2017-08-27,46.00
2017-08-26,45.85
2017-08-25,46.63
2017-08-24,47.30
2017-08-23,46.68
2017-08-22,46.78
2017-08-21,47.56
2017-08-20,47.51
2017-08-19,47.28
2017-08-18,46.56
2017-08-17,46.11
2017-08-16,46.28
2017-08-15,46.67
2017-08-14,48.91
2017-08-13,48.35
2017-08-12,46.64
2017-08-11,47.47
2017-08-10,48.57
2017-08-09,48.44
2017-08-08,48.78
2017-08-07,49.27
2017-08-06,48.87
2017-08-05,48.36
2017-08-04,49.19
2017-08-03,47.77
2017-08-02,47.44
2017-08-01,47.75
2017-07-31,47.65
2017-07-30,47.43
2017-07-29,47.17
2017-07-28,46.71
2017-07-27,45.93
2017-07-26,45.46
2017-07-25,44.16
2017-07-24,45.54
2017-07-23,46.72
2017-07-22,46.66
2017-07-21,46.66
2017-07-20,46.52
2017-07-19,46.01
2017-07-18,45.87
2017-07-17,45.54
2017-07-16,45.60
2017-07-15,45.57
2017-07-14,45.69
2017-07-13,45.66
2017-07-12,45.10
2017-07-11,47.09
2017-07-10,48.36
2017-07-09,46.82
2017-07-08,46.97
2017-07-07,47.31
2017-07-06,47.55
2017-07-05,47.21
2017-07-04,47.17
2017-07-03,46.99
2017-07-02,46.69
2017-07-01,46.64
2017-06-30,46.24
2017-06-29,45.57
2017-06-28,44.63
2017-06-27,44.59
2017-06-26,43.21
2017-06-25,44.04
2017-06-24,44.41
2017-06-23,44.43
2017-06-22,44.90
2017-06-21,45.53
2017-06-20,45.49
2017-06-19,44.95
2017-06-18,43.76
2017-06-17,43.42
2017-06-16,44.78
2017-06-15,44.81
2017-06-14,45.13
2017-06-13,45.82
2017-06-12,45.86
2017-06-11,45.58
2017-06-10,44.94
2017-06-09,43.80
2017-06-08,43.76
2017-06-07,44.19
2017-06-06,44.73
2017-06-05,46.36
2017-06-04,46.51
2017-06-03,46.56
2017-06-02,46.55
2017-06-01,46.42
2017-05-31,46.10
2017-05-30,45.26
2017-05-29,44.14
2017-05-28,45.51
2017-05-27,45.81
2017-05-26,46.13
2017-05-25,45.97
2017-05-24,46.02
2017-05-23,47.33
2017-05-22,47.50
2017-05-21,46.15
2017-05-20,45.88
2017-05-19,45.91
2017-05-18,46.20
2017-05-17,47.61
2017-05-16,47.73
2017-05-15,47.84
2017-05-14,47.80
2017-05-13,47.72
2017-05-12,47.87
2017-05-11,47.78
2017-05-10,47.71
2017-05-09,47.64
2017-05-08,47.54
2017-05-07,47.41
2017-05-06,47.28
2017-05-05,47.11
2017-05-04,46.78
