datetime,water_level(ft below land surface)
2018-02-08,443.48
2018-02-07,443.48
2018-02-06,443.48
2018-02-05,443.48
2018-02-04,443.48
2018-02-03,443.48
2018-02-02,443.48
2018-02-01,494.17
2018-01-31,448.29
2018-01-30,448.25
2018-01-29,448.19
2018-01-28,448.23
2018-01-27,448.22
2018-01-26,448.27
2018-01-25,448.26
2018-01-24,448.25
2018-01-23,448.25
2018-01-22,448.27
2018-01-21,448.30
2018-01-20,448.25
2018-01-19,448.22
2018-01-18,448.15
2018-01-17,448.12
2018-01-16,448.11
2018-01-15,448.14
2018-01-14,448.18
2018-01-13,448.18
2018-01-12,448.23
2018-01-11,448.22
2018-01-10,448.30
2018-01-09,448.23
2018-01-08,448.16
2018-01-07,448.18
2018-01-06,448.14
2018-01-05,448.11
2018-01-04,448.10
2018-01-03,448.08
2018-01-02,448.08
2018-01-01,448.07
2017-12-31,448.07
2017-12-30,448.14
2017-12-29,448.15
2017-12-28,448.12
2017-12-27,448.11
2017-12-26,448.12
2017-12-25,448.18
2017-12-24,448.12
2017-12-23,448.19
2017-12-22,448.17
2017-12-21,448.19
2017-12-20,448.18
2017-12-19,448.15
2017-12-18,448.14
2017-12-17,448.12
2017-12-16,448.14
2017-12-15,448.07
2017-12-14,447.88
2017-12-13,447.83
2017-12-12,447.76
2017-12-11,447.77
2017-12-10,447.76
2017-12-09,447.76
2017-12-08,447.80
2017-12-07,447.77
2017-12-06,447.79
2017-12-05,447.80
2017-12-04,447.86
2017-12-03,447.86
2017-12-02,447.80
2017-12-01,447.82
2017-11-30,447.78
2017-11-29,447.80
2017-11-28,447.80
2017-11-27,447.86
2017-11-26,447.79
2017-11-25,447.77
2017-11-24,447.84
2017-11-23,447.78
2017-11-22,447.75
2017-11-21,447.76
2017-11-20,447.81
2017-11-19,447.76
2017-11-18,447.75
2017-11-17,447.81
2017-11-16,447.76
2017-11-15,447.70
2017-11-14,447.75
2017-11-13,447.70
2017-11-12,447.67
2017-11-11,447.73
2017-11-10,447.71
2017-11-09,447.70
2017-11-08,447.69
2017-11-07,447.70
2017-11-06,447.74
2017-11-05,447.77
2017-11-04,447.77
2017-11-03,447.74
2017-11-02,447.73
2017-11-01,447.77
2017-10-31,447.70
2017-10-30,447.65
2017-10-29,447.70
2017-10-28,447.64
2017-10-27,447.62
2017-10-26,447.67
2017-10-25,447.64
2017-10-24,447.58
2017-10-23,447.62
2017-10-22,447.62
2017-10-21,447.66
2017-10-20,447.67
2017-10-19,447.61
2017-10-18,447.61
2017-10-17,447.59
2017-10-16,447.56
2017-10-15,447.54
2017-10-14,447.63
2017-10-13,447.62
2017-10-12,447.62
2017-10-11,447.62
2017-10-10,447.58
2017-10-09,447.62
2017-10-08,447.67
2017-10-07,447.60
2017-10-06,447.60
2017-10-05,447.54
2017-10-04,447.53
2017-10-03,447.54
2017-10-02,447.59
2017-10-01,447.56
2017-09-30,447.52
2017-09-29,447.50
2017-09-28,447.52
2017-09-27,447.54
2017-09-26,447.55
2017-09-25,447.59
2017-09-24,447.60
2017-09-23,447.60
2017-09-22,447.59
2017-09-21,447.59
2017-09-20,447.56
2017-09-19,447.58
2017-09-18,447.53
2017-09-17,447.52
2017-09-16,447.53
2017-09-15,447.54
2017-09-14,447.52
2017-09-13,447.50
2017-09-12,447.45
2017-09-11,447.42
2017-09-10,447.40
2017-09-09,447.42
2017-09-08,447.42
2017-09-07,447.42
2017-09-06,447.39
2017-09-05,447.39
2017-09-04,447.42
2017-09-03,447.40
2017-09-02,447.41
2017-09-01,447.40
2017-08-31,447.39
2017-08-30,447.39
2017-08-29,447.39
2017-08-28,447.38
2017-08-27,447.39
2017-08-26,447.38
2017-08-25,447.40
2017-08-24,447.40
2017-08-23,447.39
2017-08-22,447.38
2017-08-21,447.39
2017-08-20,447.41
2017-08-19,447.41
2017-08-18,447.67
2017-08-17,448.25
2017-08-16,448.39
2017-08-15,448.44
2017-08-14,448.48
2017-08-13,448.52
2017-08-12,448.54
2017-08-11,448.67
2017-08-10,449.71
2017-08-09,450.04
2017-08-08,450.09
2017-08-07,450.12
2017-08-06,450.17
2017-08-05,450.26
2017-08-04,450.27
2017-08-03,450.29
2017-08-02,450.31
2017-08-01,450.35
2017-07-31,450.39
2017-07-30,450.41
2017-07-29,450.44
2017-07-28,450.45
2017-07-27,450.46
2017-07-26,450.49
2017-07-25,450.42
2017-07-24,450.52
2017-07-23,450.52
2017-07-22,450.52
2017-07-21,450.51
2017-07-20,450.48
2017-07-19,450.44
2017-07-18,450.29
2017-07-17,449.16
2017-07-16,449.01
2017-07-15,449.00
2017-07-14,449.00
2017-07-13,449.01
2017-07-12,449.02
2017-07-11,449.03
2017-07-10,449.01
2017-07-09,448.99
2017-07-08,448.97
2017-07-07,448.98
2017-07-06,449.22
2017-07-05,449.45
2017-07-04,449.73
2017-07-03,449.86
2017-07-02,449.88
