datetime,water_level(ft below land surface)
2018-02-07,203.76
2018-02-06,203.77
2018-02-05,203.77
2018-02-04,203.78
2018-02-03,203.78
2018-02-02,203.79
2018-02-01,203.80
2018-01-31,211.24
2018-01-30,212.54
2018-01-29,213.06
2018-01-28,212.72
2018-01-27,212.66
2018-01-26,212.43
2018-01-25,212.56
2018-01-24,212.88
2018-01-23,213.83
2018-01-22,214.56
2018-01-21,214.61
2018-01-20,214.85
2018-01-19,215.21
2018-01-18,215.49
2018-01-17,215.30
2018-01-16,214.97
2018-01-15,214.08
2018-01-14,213.78
2018-01-13,212.72
2018-01-12,211.38
2018-01-11,211.13
2018-01-10,211.55
2018-01-09,212.07
2018-01-08,213.26
2018-01-07,213.75
2018-01-06,213.26
2018-01-05,213.60
2018-01-04,213.15
2018-01-03,212.43
2018-01-02,212.30
2018-01-01,211.78
2017-12-31,211.14
2017-12-30,210.65
2017-12-29,210.86
2017-12-28,210.48
2017-12-27,210.87
2017-12-26,210.68
2017-12-25,210.14
2017-12-24,210.69
2017-12-23,209.54
2017-12-22,209.50
2017-12-21,209.88
2017-12-20,209.60
2017-12-19,210.54
2017-12-18,211.74
2017-12-17,211.94
2017-12-16,211.36
2017-12-15,211.87
2017-12-14,212.70
2017-12-13,212.53
2017-12-12,212.32
2017-12-11,211.62
2017-12-10,212.20
2017-12-09,211.47
2017-12-08,212.61
2017-12-07,212.05
2017-12-06,210.65
2017-12-05,212.67
2017-12-04,212.88
2017-12-03,213.28
2017-12-02,213.43
2017-12-01,212.74
2017-11-30,212.48
2017-11-29,212.24
2017-11-28,213.00
2017-11-27,214.87
2017-11-26,214.29
2017-11-25,213.66
2017-11-24,214.17
2017-11-23,214.84
2017-11-22,212.94
2017-11-21,211.57
2017-11-20,212.26
2017-11-19,211.54
2017-11-18,211.40
2017-11-17,211.29
2017-11-16,210.92
2017-11-15,211.88
2017-11-14,211.17
2017-11-13,212.74
2017-11-12,212.79
2017-11-11,212.60
2017-11-10,213.71
2017-11-09,213.85
2017-11-08,212.90
2017-11-07,215.60
2017-11-06,215.96
2017-11-05,215.84
2017-11-04,215.43
2017-11-03,215.06
2017-11-02,216.36
2017-11-01,216.66
2017-10-31,216.82
2017-10-30,216.46
2017-10-29,215.12
2017-10-28,215.29
2017-10-27,214.63
2017-10-26,215.79
2017-10-25,213.91
2017-10-24,215.28
2017-10-23,214.19
2017-10-22,215.02
2017-10-21,215.45
2017-10-20,213.42
2017-10-19,214.36
2017-10-18,214.49
2017-10-17,215.88
2017-10-16,215.62
2017-10-15,215.21
2017-10-14,214.62
2017-10-13,214.80
2017-10-12,214.90
2017-10-11,214.47
2017-10-10,214.28
2017-10-09,214.05
2017-10-08,213.14
2017-10-07,213.08
2017-10-06,212.52
2017-10-05,211.92
2017-10-04,212.65
2017-10-03,214.45
2017-10-02,214.05
2017-10-01,213.61
2017-09-30,213.53
2017-09-29,214.49
2017-09-28,215.81
2017-09-27,216.19
2017-09-26,216.62
2017-09-25,216.84
2017-09-24,216.89
2017-09-23,217.12
2017-09-22,217.32
2017-09-21,217.18
2017-09-20,217.25
2017-09-19,216.58
2017-09-18,216.24
2017-09-17,216.31
2017-09-16,216.24
2017-09-15,216.05
2017-09-14,215.14
2017-09-13,214.66
2017-09-12,214.07
2017-09-11,213.16
2017-09-10,212.37
