datetime,water_level(ft below land surface)
2018-01-02,404.41
2018-01-01,404.41
2017-12-31,404.41
2017-12-30,404.41
2017-12-29,404.41
2017-12-28,404.41
2017-12-27,404.41
2017-12-26,404.91
2017-12-25,404.91
2017-12-24,404.91
2017-12-23,404.89
2017-12-22,404.95
2017-12-21,404.97
2017-12-20,404.93
2017-12-19,404.94
2017-12-18,404.89
2017-12-17,404.88
2017-12-16,404.83
2017-12-15,404.83
2017-12-14,404.85
2017-12-13,404.81
2017-12-12,404.79
2017-12-11,404.81
2017-12-10,404.81
2017-12-09,404.83
2017-12-08,404.85
2017-12-07,404.77
2017-12-06,404.86
2017-12-05,404.86
2017-12-04,404.92
2017-12-03,404.89
2017-12-02,404.86
2017-12-01,404.88
2017-11-30,404.88
2017-11-29,404.86
2017-11-28,404.87
2017-11-27,404.87
2017-11-26,404.84
2017-11-25,404.88
2017-11-24,404.85
2017-11-23,404.86
2017-11-22,404.85
2017-11-21,404.86
2017-11-20,404.84
2017-11-19,404.81
2017-11-18,404.84
2017-11-17,404.84
2017-11-16,404.82
2017-11-15,404.81
2017-11-14,404.80
2017-11-13,404.81
2017-11-12,404.82
2017-11-11,404.83
2017-11-10,404.86
2017-11-09,404.86
2017-11-08,404.81
2017-11-07,404.82
2017-11-06,404.82
2017-11-05,404.81
2017-11-04,404.81
2017-11-03,404.74
2017-11-02,404.71
2017-11-01,404.69
2017-10-31,404.66
2017-10-30,404.63
2017-10-29,404.62
2017-10-28,404.59
2017-10-27,404.59
2017-10-26,404.60
2017-10-25,404.61
2017-10-24,404.60
2017-10-23,404.63
2017-10-22,404.63
2017-10-21,404.62
2017-10-20,404.61
2017-10-19,404.58
2017-10-18,404.54
2017-10-17,404.54
2017-10-16,404.56
2017-10-15,404.60
2017-10-14,404.63
2017-10-13,404.62
2017-10-12,404.59
2017-10-11,404.60
2017-10-10,404.61
2017-10-09,404.60
2017-10-08,404.59
2017-10-07,404.57
2017-10-06,404.54
2017-10-05,404.55
2017-10-04,404.56
2017-10-03,404.54
2017-10-02,404.54
2017-10-01,404.53
2017-09-30,404.49
2017-09-29,404.51
2017-09-28,404.50
2017-09-27,404.53
2017-09-26,404.55
2017-09-25,404.54
2017-09-24,404.53
2017-09-23,404.56
2017-09-22,404.51
2017-09-21,404.46
2017-09-20,404.46
2017-09-19,404.43
2017-09-18,404.43
2017-09-17,404.39
2017-09-16,404.34
2017-09-15,404.33
2017-09-14,404.30
2017-09-13,404.29
2017-09-12,404.24
2017-09-11,404.21
2017-09-10,404.24
2017-09-09,404.24
2017-09-08,404.24
2017-09-07,404.23
2017-09-06,404.22
2017-09-05,404.22
2017-09-04,404.20
2017-09-03,404.20
2017-09-02,404.21
2017-09-01,404.20
2017-08-31,404.18
2017-08-30,404.14
2017-08-29,404.15
2017-08-28,404.16
2017-08-27,404.14
2017-08-26,404.16
2017-08-25,404.12
2017-08-24,404.12
2017-08-23,404.11
2017-08-22,404.13
2017-08-21,404.10
2017-08-20,404.07
2017-08-19,404.07
2017-08-18,404.06
2017-08-17,404.09
2017-08-16,404.07
2017-08-15,404.05
2017-08-14,404.08
2017-08-13,404.09
2017-08-12,404.11
2017-08-11,404.09
2017-08-10,404.07
2017-08-09,404.06
2017-08-08,404.07
2017-08-07,404.08
2017-08-06,404.10
2017-08-05,404.05
2017-08-04,404.04
2017-08-03,404.03
2017-08-02,404.01
2017-08-01,403.98
2017-07-31,403.98
2017-07-30,404.01
2017-07-29,404.01
2017-07-28,403.97
2017-07-27,403.98
2017-07-26,403.90
2017-07-25,403.93
2017-07-24,403.96
2017-07-23,403.95
2017-07-22,403.91
2017-07-21,403.85
2017-07-20,403.78
2017-07-19,403.78
2017-07-18,403.80
2017-07-17,403.81
2017-07-16,403.81
2017-07-15,403.77
2017-07-14,403.79
2017-07-13,403.78
2017-07-12,403.77
2017-07-11,403.73
2017-07-10,403.69
2017-07-09,403.68
2017-07-08,403.70
2017-07-07,403.70
2017-07-06,403.71
2017-07-05,403.73
2017-07-04,403.73
2017-07-03,403.67
2017-07-02,403.65
2017-07-01,403.66
2017-06-30,403.68
2017-06-29,403.63
2017-06-28,403.60
2017-06-27,403.62
2017-06-26,403.66
2017-06-25,403.69
2017-06-24,403.73
2017-06-23,403.71
2017-06-22,403.63
2017-06-21,403.66
2017-06-20,403.64
2017-06-19,403.65
2017-06-18,403.68
2017-06-17,403.61
2017-06-16,403.63
2017-06-15,403.60
2017-06-14,403.61
2017-06-13,403.60
2017-06-12,403.56
2017-06-11,403.52
2017-06-10,403.46
2017-06-09,403.45
2017-06-08,403.45
