datetime,water_level(ft below land surface)
2018-02-08,82.26
2018-02-07,82.26
2018-02-06,82.26
2018-02-05,82.26
2018-02-04,82.26
2018-02-03,82.26
2018-02-02,82.26
2018-02-01,79.58
2018-01-31,88.03
2018-01-30,87.65
2018-01-29,87.31
2018-01-28,87.64
2018-01-27,88.14
2018-01-26,87.67
2018-01-25,86.94
2018-01-24,86.15
2018-01-23,86.08
2018-01-22,85.96
2018-01-21,85.80
2018-01-20,85.77
2018-01-19,85.81
2018-01-18,85.95
2018-01-17,86.09
2018-01-16,86.20
2018-01-15,86.08
2018-01-14,86.10
2018-01-13,86.19
2018-01-12,86.14
2018-01-11,86.00
2018-01-10,85.83
2018-01-09,85.96
2018-01-08,86.06
2018-01-07,85.93
2018-01-06,86.04
2018-01-05,86.07
2018-01-04,86.08
2018-01-03,86.16
2018-01-02,86.21
2018-01-01,86.31
2017-12-31,86.26
2017-12-30,86.17
2017-12-29,86.16
2017-12-28,86.26
2017-12-27,86.33
2017-12-26,86.29
2017-12-25,86.27
2017-12-24,86.35
2017-12-23,86.29
2017-12-22,86.28
2017-12-21,86.16
2017-12-20,86.21
2017-12-19,86.26
2017-12-18,86.30
2017-12-17,86.25
2017-12-16,86.22
2017-12-15,86.38
2017-12-14,86.28
2017-12-13,86.19
2017-12-12,86.38
2017-12-11,86.41
2017-12-10,86.43
2017-12-09,86.42
2017-12-08,86.38
2017-12-07,86.53
2017-12-06,86.56
2017-12-05,86.59
2017-12-04,86.39
2017-12-03,86.45
2017-12-02,86.52
2017-12-01,86.56
2017-11-30,86.66
2017-11-29,86.68
2017-11-28,86.59
2017-11-27,86.58
2017-11-26,86.75
2017-11-25,86.73
2017-11-24,86.56
2017-11-23,86.70
2017-11-22,86.85
2017-11-21,86.76
2017-11-20,86.77
2017-11-19,86.96
2017-11-18,86.94
2017-11-17,86.86
2017-11-16,87.03
2017-11-15,87.12
2017-11-14,87.14
2017-11-13,87.36
2017-11-12,87.48
2017-11-11,87.51
2017-11-10,87.73
2017-11-09,87.94
2017-11-08,88.21
2017-11-07,88.45
2017-11-06,88.82
2017-11-05,89.29
2017-11-04,89.19
2017-11-03,89.06
2017-11-02,88.71
2017-11-01,88.34
2017-10-31,87.99
2017-10-30,87.43
2017-10-29,87.51
2017-10-28,87.90
2017-10-27,88.36
2017-10-26,88.72
2017-10-25,88.63
2017-10-24,88.58
2017-10-23,87.78
2017-10-22,86.75
2017-10-21,86.49
2017-10-20,86.55
2017-10-19,86.67
2017-10-18,86.67
2017-10-17,86.72
2017-10-16,86.86
2017-10-15,86.92
2017-10-14,86.77
2017-10-13,86.80
2017-10-12,86.84
2017-10-10,87.05
2017-10-09,86.92
2017-10-08,86.87
2017-10-07,86.97
2017-10-06,87.01
2017-10-05,87.15
2017-10-04,87.25
2017-10-03,87.28
2017-10-02,87.23
2017-10-01,87.30
2017-09-30,87.46
2017-09-29,87.56
2017-09-28,87.64
2017-09-27,87.73
2017-09-26,87.78
2017-09-25,87.77
2017-09-24,87.88
2017-09-23,88.00
2017-09-22,88.14
2017-09-21,88.31
2017-09-20,88.52
2017-09-19,88.79
2017-09-18,89.13
2017-09-17,89.65
2017-09-16,89.57
2017-09-15,89.30
2017-09-14,89.67
2017-09-13,89.58
2017-09-12,89.53
2017-09-11,89.40
2017-09-10,89.23
2017-09-09,89.01
2017-09-08,88.55
2017-09-07,87.90
2017-09-06,87.87
2017-09-05,88.03
2017-09-04,88.20
2017-09-03,88.59
2017-09-02,89.07
2017-09-01,88.77
2017-08-30,87.52
2017-08-29,87.34
2017-08-28,87.40
2017-08-27,87.47
2017-08-26,87.53
2017-08-25,87.57
2017-08-24,87.65
2017-08-23,87.80
2017-08-22,87.85
2017-08-21,87.92
2017-08-20,88.00
2017-08-19,88.12
2017-08-18,88.26
2017-08-17,88.45
2017-08-16,88.54
2017-08-15,88.68
2017-08-14,88.90
2017-08-13,89.23
2017-08-12,89.68
2017-08-11,89.56
2017-08-10,89.96
2017-08-09,90.04
2017-08-08,89.87
2017-08-07,89.62
2017-08-06,89.29
2017-08-05,88.75
2017-08-04,88.80
2017-08-03,89.07
2017-08-02,89.39
2017-08-01,89.80
2017-07-31,90.40
2017-07-30,90.42
2017-07-29,90.29
2017-07-28,90.15
2017-07-27,90.07
2017-07-26,90.00
2017-07-25,89.88
2017-07-24,89.79
2017-07-23,89.69
2017-07-22,89.60
2017-07-21,89.46
2017-07-20,89.36
2017-07-19,89.28
2017-07-18,89.07
2017-07-17,88.92
2017-07-16,88.80
2017-07-15,88.57
2017-07-14,88.34
2017-07-13,88.08
2017-07-12,87.58
2017-07-11,86.90
2017-07-10,85.97
2017-07-09,85.86
2017-07-08,85.94
2017-07-07,86.05
2017-07-06,86.04
2017-07-05,86.07
2017-07-04,86.09
2017-07-03,86.14
2017-07-02,86.26
2017-07-01,86.36
2017-06-30,86.38
2017-06-29,86.44
2017-06-28,86.57
