datetime,water_level(ft below land surface)
2018-02-08,411.79
2018-02-07,411.79
2018-02-06,411.79
2018-02-05,411.79
2018-02-04,411.79
2018-02-03,411.79
2018-02-02,411.79
2018-02-01,414.41
2018-01-31,414.50
2018-01-30,414.77
2018-01-29,414.88
2018-01-28,414.90
2018-01-27,415.00
2018-01-26,415.19
2018-01-25,415.45
2018-01-24,415.46
2018-01-23,415.46
2018-01-22,415.52
2018-01-21,415.70
2018-01-20,415.92
2018-01-19,416.08
2018-01-18,416.44
2018-01-17,416.51
2018-01-16,416.51
2018-01-15,416.57
2018-01-14,416.62
2018-01-13,416.62
2018-01-12,416.62
2018-01-11,416.76
2018-01-10,416.91
2018-01-09,417.09
2018-01-08,417.34
2018-01-07,417.45
2018-01-06,417.64
2018-01-05,417.82
2018-01-04,417.95
2018-01-03,418.09
2018-01-02,418.26
2018-01-01,418.36
2017-12-31,418.36
2017-12-30,418.43
2017-12-29,418.64
2017-12-28,418.88
2017-12-27,418.91
2017-12-26,418.93
2017-12-25,418.99
2017-12-24,419.01
2017-12-23,419.07
2017-12-22,419.12
2017-12-21,419.33
2017-12-20,419.48
2017-12-19,419.62
2017-12-18,419.90
2017-12-17,419.92
2017-12-16,420.00
2017-12-15,420.10
2017-12-14,420.12
2017-12-13,420.47
2017-12-12,420.58
2017-12-11,420.69
2017-12-10,420.73
2017-12-09,420.75
2017-12-08,420.84
2017-12-07,420.88
2017-12-06,420.88
2017-12-05,420.88
2017-12-04,420.91
2017-12-03,421.08
2017-12-02,421.21
2017-12-01,421.29
2017-11-30,421.37
2017-11-29,421.41
2017-11-28,421.43
2017-11-27,421.48
2017-11-26,421.50
2017-11-25,421.54
2017-11-24,421.63
2017-11-23,421.67
2017-11-22,421.67
2017-11-21,421.69
2017-11-20,421.71
2017-11-19,421.71
2017-11-18,421.71
2017-11-17,421.71
2017-11-16,421.71
2017-11-15,421.70
2017-10-20,423.72
2017-10-19,423.72
2017-10-18,423.72
2017-10-17,423.71
2017-10-16,423.69
2017-10-15,423.66
2017-10-14,423.66
2017-10-13,423.66
2017-10-12,423.66
2017-10-11,423.56
2017-10-10,423.35
2017-10-09,423.31
2017-10-08,423.30
2017-10-07,423.28
2017-10-06,423.28
2017-10-05,423.28
2017-10-04,423.21
2017-10-03,422.96
2017-10-02,422.84
2017-10-01,422.80
2017-09-30,422.74
2017-09-29,422.50
2017-09-28,422.31
2017-09-27,422.31
2017-09-26,422.23
2017-09-25,422.16
2017-09-24,421.88
2017-09-23,421.84
2017-09-22,421.73
2017-09-21,421.48
2017-09-20,421.31
2017-09-19,421.22
2017-09-18,421.09
2017-09-17,420.84
2017-09-16,420.75
2017-09-15,420.41
2017-09-14,420.33
2017-09-13,420.31
2017-09-12,420.31
2017-09-11,420.31
2017-09-10,420.31
2017-09-09,420.30
2017-09-08,420.30
2017-09-07,419.82
2017-09-06,419.58
2017-09-05,419.36
2017-09-04,419.35
2017-09-03,419.28
2017-09-02,419.08
2017-09-01,418.83
2017-08-31,418.63
2017-08-30,418.35
2017-08-29,418.32
2017-08-28,418.31
2017-08-27,418.26
2017-08-26,418.15
2017-08-25,418.11
2017-08-24,418.00
2017-08-23,417.87
2017-08-22,417.85
2017-08-21,417.82
2017-08-20,417.63
2017-08-19,417.34
2017-08-18,417.33
2017-08-17,417.32
