datetime,water_level(ft below land surface)
2020-03-25,64.04
2019-12-04,64.04
2019-08-14,64.04
2019-04-24,64.04
2019-01-02,64.04
2018-09-12,64.04
2018-05-23,64.04
2018-01-31,60.60
2018-01-30,60.92
2018-01-29,60.81
2018-01-28,60.02
2018-01-27,60.13
2018-01-26,60.53
2018-01-25,60.97
2018-01-24,60.60
2018-01-23,60.89
2018-01-22,60.69
2018-01-21,60.37
2018-01-20,60.24
2018-01-19,60.96
2018-01-18,61.11
2018-01-17,62.70
2018-01-16,60.48
2018-01-15,60.88
2018-01-14,60.09
2018-01-13,60.78
2018-01-12,61.63
2018-01-11,61.11
2018-01-10,60.82
2018-01-09,60.41
2018-01-08,60.12
2018-01-07,59.90
2018-01-06,60.63
2018-01-05,61.19
2018-01-04,61.52
2018-01-03,62.17
2018-01-02,60.54
2018-01-01,60.45
2017-12-31,60.59
2017-12-30,60.30
2017-12-29,61.32
2017-12-28,60.88
2017-12-27,61.41
2017-12-26,60.42
2017-12-25,60.25
2017-12-24,60.04
2017-12-23,60.57
2017-12-22,61.15
2017-12-21,61.51
2017-12-20,60.95
2017-12-19,61.44
2017-12-18,61.43
2017-12-17,60.99
2017-12-16,60.71
2017-12-15,61.49
2017-12-14,61.69
2017-12-13,62.05
2017-12-12,62.72
2017-12-11,62.19
2017-12-10,61.84
2017-12-09,63.20
2017-12-08,63.74
2017-12-07,62.79
2017-12-06,62.97
2017-12-05,63.05
2017-12-04,63.57
2017-12-03,62.43
2017-12-02,63.65
2017-12-01,65.02
2017-11-30,64.30
2017-11-29,65.16
2017-11-28,63.98
2017-11-27,64.22
2017-11-26,63.23
2017-11-25,63.54
2017-11-24,64.76
2017-11-23,64.39
2017-11-22,64.63
2017-11-21,64.19
2017-11-20,63.95
2017-11-19,62.79
2017-11-18,63.23
2017-11-17,64.04
2017-11-16,64.20
2017-11-15,64.20
2017-11-14,64.25
2017-11-13,64.05
2017-11-12,62.72
2017-11-11,63.31
2017-11-10,64.50
2017-11-09,64.67
2017-11-08,65.40
2017-11-07,65.62
2017-11-06,65.69
2017-11-05,63.60
2017-11-04,64.70
2017-11-03,66.93
2017-11-02,66.13
2017-11-01,65.41
2017-10-31,65.05
2017-10-30,65.24
2017-10-29,63.78
2017-10-28,64.35
2017-10-27,65.88
2017-10-26,66.36
2017-10-25,66.35
2017-10-24,65.57
2017-10-23,66.02
2017-10-22,64.21
2017-10-21,64.67
2017-10-20,66.05
2017-10-19,65.72
2017-10-18,65.79
2017-10-17,65.83
2017-10-16,65.75
2017-10-15,63.21
2017-10-14,64.42
2017-10-13,65.13
2017-10-12,64.88
2017-10-11,63.10
2017-10-10,61.18
2017-10-09,60.58
2017-10-08,59.60
2017-10-07,62.40
2017-10-06,64.76
2017-10-05,65.24
2017-10-04,65.21
2017-10-03,65.30
2017-10-02,64.92
2017-10-01,64.39
2017-09-30,64.69
2017-09-29,65.74
2017-09-28,66.00
2017-09-27,67.24
2017-09-26,67.87
2017-09-25,69.21
2017-09-24,67.69
2017-09-23,68.67
2017-09-22,70.66
2017-09-21,71.38
2017-09-20,70.49
2017-09-19,69.20
2017-09-18,67.72
2017-09-17,66.20
2017-09-16,67.65
2017-09-15,68.95
2017-09-14,69.38
2017-09-13,67.76
2017-09-12,68.21
2017-09-11,66.47
2017-09-10,65.39
2017-09-09,66.43
2017-09-08,68.65
2017-09-07,67.48
2017-09-06,67.42
2017-09-05,66.91
2017-09-04,67.39
2017-09-03,64.35
2017-09-02,64.33
2017-09-01,65.24
2017-08-31,64.94
2017-08-30,64.53
2017-08-29,64.05
2017-08-28,61.83
2017-08-27,62.28
2017-08-26,64.94
2017-08-25,66.18
2017-08-24,64.36
2017-08-23,67.64
2017-08-22,69.96
2017-08-21,68.43
2017-08-20,66.30
2017-08-19,67.09
2017-08-18,69.13
2017-08-17,68.42
2017-08-16,68.34
2017-08-15,67.66
2017-08-14,67.80
2017-08-13,65.14
2017-08-12,64.31
2017-08-11,69.53
2017-08-10,70.25
2017-08-09,66.74
2017-08-08,62.82
2017-08-07,65.08
2017-08-06,65.70
2017-08-05,66.49
2017-08-04,69.90
2017-08-03,69.08
2017-08-02,69.80
2017-08-01,69.54
2017-07-31,68.04
2017-07-30,65.93
2017-07-29,66.71
