datetime,water_level(ft below land surface)
2018-02-08,41.64
2018-02-07,41.64
2018-02-06,41.64
2018-02-05,41.64
2018-02-04,41.63
2018-02-03,41.63
2018-02-02,41.63
2018-02-01,41.14
2018-01-31,41.19
2018-01-30,41.43
2018-01-29,41.48
2018-01-28,41.42
2018-01-27,41.41
2018-01-26,41.49
2018-01-25,41.57
2018-01-24,41.60
2018-01-23,41.56
2018-01-22,41.45
2018-01-21,41.40
2018-01-20,41.45
2018-01-19,41.51
2018-01-18,41.59
2018-01-17,41.57
2018-01-16,41.43
2018-01-15,41.41
2018-01-14,41.49
2018-01-13,41.50
2018-01-12,41.43
2018-01-11,41.34
2018-01-10,41.42
2018-01-09,41.56
2018-01-08,41.57
2018-01-07,41.61
2018-01-06,41.74
2018-01-05,41.74
2018-01-04,41.73
2018-01-03,41.61
2018-01-02,41.45
2018-01-01,41.59
2017-12-31,41.57
2017-12-30,41.59
2017-12-29,41.32
2017-12-28,41.40
2017-12-27,41.49
2017-12-26,41.43
2017-12-25,41.51
2017-12-24,41.51
2017-12-23,40.99
2017-12-22,40.85
2017-12-21,40.90
2017-12-20,40.85
2017-12-19,40.89
2017-12-18,40.86
2017-12-17,40.94
2017-12-16,41.00
2017-12-15,41.13
2017-12-14,41.24
2017-12-13,41.21
2017-12-12,41.12
2017-12-11,41.12
2017-12-10,41.36
2017-12-09,41.23
2017-12-08,41.09
2017-12-07,41.15
2017-12-06,41.04
2017-12-05,41.16
2017-12-04,41.23
2017-12-03,41.36
2017-12-02,41.54
2017-12-01,41.32
2017-11-30,41.28
2017-11-29,41.31
2017-11-28,41.30
2017-11-27,41.32
2017-11-26,41.38
2017-11-25,41.24
2017-11-24,41.30
2017-11-23,41.41
2017-11-22,41.42
2017-11-21,41.40
2017-11-20,41.42
2017-11-19,41.52
2017-11-18,41.43
2017-11-17,41.46
2017-11-16,41.50
2017-11-15,41.49
2017-11-14,41.57
2017-11-13,41.61
2017-11-12,41.58
2017-11-11,41.55
2017-11-10,41.60
2017-11-09,41.60
2017-11-08,41.58
2017-11-07,41.53
2017-11-06,41.52
2017-11-05,41.41
2017-11-04,41.44
2017-11-03,41.47
2017-11-02,41.44
2017-11-01,41.36
2017-10-31,41.46
2017-10-30,41.41
2017-10-29,41.38
2017-10-28,41.47
2017-10-27,41.30
2017-10-26,41.12
2017-10-25,41.15
2017-10-24,41.21
2017-10-23,41.08
2017-10-22,40.96
2017-10-21,40.88
2017-10-20,40.94
2017-10-19,40.94
2017-10-18,41.03
2017-10-17,41.07
2017-10-16,41.00
2017-10-15,40.91
2017-10-14,40.83
2017-10-13,40.85
2017-10-12,40.85
2017-10-11,40.94
2017-10-10,40.90
2017-10-09,40.64
2017-10-08,40.59
2017-10-07,40.66
2017-10-06,40.71
2017-10-05,40.68
2017-10-04,40.94
2017-10-03,40.84
2017-10-02,40.81
2017-10-01,40.76
2017-09-30,40.87
2017-09-29,41.00
2017-09-28,40.95
2017-09-27,41.04
2017-09-26,41.13
2017-09-25,41.16
2017-09-24,41.01
2017-09-23,41.10
2017-09-22,41.24
2017-09-21,41.24
2017-09-20,41.28
2017-09-19,41.32
2017-09-18,41.32
