datetime,water_level(ft below land surface)
2018-06-21,195.99
2018-06-01,195.99
2018-05-12,195.99
2018-04-22,195.99
2018-04-02,195.99
2018-03-13,195.99
2018-02-21,195.99
2018-02-01,210.48
2018-01-31,193.91
2018-01-30,193.94
2018-01-29,194.05
2018-01-28,194.02
2018-01-27,194.06
2018-01-26,194.00
2018-01-25,194.01
2018-01-24,194.09
2018-01-23,194.10
2018-01-22,194.10
2018-01-21,194.04
2018-01-20,194.04
2018-01-19,194.03
2018-01-18,194.07
2018-01-17,194.11
2018-01-16,194.24
2018-01-15,194.18
2018-01-14,194.14
2018-01-13,194.25
2018-01-12,194.25
2018-01-11,194.40
2018-01-10,194.32
2018-01-09,194.32
2018-01-08,194.36
2018-01-07,194.33
2018-01-06,194.32
2018-01-05,194.33
2018-01-04,194.33
2018-01-03,194.33
2018-01-02,194.34
2018-01-01,194.39
2017-12-31,194.44
2017-12-30,194.37
2017-12-29,194.35
2017-12-28,194.35
2017-12-27,194.45
2017-12-26,194.44
2017-12-25,194.44
2017-12-24,194.49
2017-12-23,194.47
2017-12-22,194.51
2017-12-21,194.43
2017-12-20,194.46
2017-12-19,194.48
2017-12-18,194.53
2017-12-17,194.50
2017-12-16,194.45
2017-12-15,194.57
2017-12-14,194.54
2017-12-13,194.47
2017-12-12,194.61
2017-12-11,194.69
2017-12-10,194.81
2017-12-09,194.81
2017-12-08,194.74
2017-12-07,194.87
2017-12-06,194.88
2017-12-05,194.95
2017-12-04,194.78
2017-12-03,194.80
2017-12-02,194.84
2017-12-01,194.84
2017-11-30,194.91
2017-11-29,194.97
2017-11-28,194.88
2017-11-27,194.84
2017-11-26,194.98
2017-11-25,194.94
2017-11-24,194.84
2017-11-23,194.94
2017-11-22,195.09
2017-11-21,194.98
2017-11-20,194.91
2017-11-19,195.09
2017-11-18,195.12
2017-11-17,194.93
2017-11-16,195.03
2017-11-15,195.04
2017-11-14,194.98
2017-11-13,195.11
2017-11-12,195.16
2017-11-11,195.04
2017-11-10,195.09
2017-11-09,195.12
2017-11-08,195.19
2017-11-07,195.20
2017-11-06,195.15
2017-11-05,195.12
2017-11-04,195.14
2017-11-03,195.24
2017-11-02,195.18
2017-11-01,195.07
2017-10-31,195.19
2017-10-30,195.20
2017-10-29,195.16
2017-10-28,195.27
2017-10-27,195.32
2017-10-26,195.13
2017-10-25,195.28
2017-10-24,195.39
2017-10-23,195.31
2017-10-22,195.40
2017-10-21,195.24
2017-10-20,195.25
2017-10-19,195.29
2017-10-18,195.26
2017-10-17,195.29
2017-10-16,195.42
2017-10-15,195.49
2017-10-14,195.33
2017-10-13,195.34
2017-10-12,195.33
2017-10-11,195.40
2017-10-10,195.54
2017-10-09,195.41
2017-10-08,195.30
2017-10-07,195.36
2017-10-06,195.32
2017-10-05,195.42
2017-10-04,195.46
2017-10-03,195.45
2017-10-02,195.37
2017-10-01,195.39
2017-09-30,195.44
2017-09-27,195.52
2017-09-26,195.51
2017-09-25,195.47
2017-09-24,195.47
2017-09-23,195.47
2017-09-22,195.47
2017-09-21,195.47
2017-09-20,195.45
2017-09-19,195.43
2017-09-18,195.48
2017-09-17,195.52
2017-09-16,195.50
2017-09-15,195.45
2017-09-14,195.43
2017-09-13,195.41
2017-09-12,195.42
2017-09-11,195.47
2017-09-10,195.49
2017-09-09,195.47
2017-09-08,195.44
2017-09-07,195.44
2017-09-06,195.47
2017-09-05,195.46
2017-09-04,195.44
2017-09-03,195.46
2017-09-02,195.44
2017-09-01,195.44
2017-08-31,195.44
2017-08-30,195.44
2017-08-29,195.44
2017-08-28,195.44
2017-08-27,195.44
2017-08-26,195.46
2017-08-25,195.43
2017-08-24,195.41
2017-08-23,195.44
2017-08-22,195.45
2017-08-21,195.44
2017-08-20,195.43
2017-08-19,195.43
2017-08-18,195.44
2017-08-17,195.45
2017-08-16,195.41
2017-08-15,195.38
2017-08-14,195.37
2017-08-13,195.38
2017-08-12,195.38
2017-08-11,195.40
2017-08-10,195.38
2017-08-09,195.37
2017-08-08,195.40
2017-08-07,195.38
2017-08-06,195.32
2017-08-05,195.31
2017-08-04,195.34
2017-08-03,195.34
2017-08-02,195.33
2017-08-01,195.31
2017-07-31,195.31
2017-07-30,195.31
2017-07-29,195.27
2017-07-28,195.24
2017-07-27,195.20
2017-07-26,195.18
2017-07-25,195.16
2017-07-24,195.12
2017-07-23,195.08
2017-07-22,195.06
2017-07-21,195.05
2017-07-20,195.08
2017-07-19,195.10
2017-07-18,195.06
2017-07-17,195.05
2017-07-16,195.06
2017-07-15,195.09
2017-07-14,195.11
2017-07-13,195.11
2017-07-12,195.06
2017-07-11,195.05
2017-07-10,195.04
2017-07-09,195.06
2017-07-08,195.09
2017-07-07,195.10
2017-07-06,195.12
2017-07-05,195.10
2017-07-04,195.07
2017-07-03,195.05
2017-07-02,195.12
2017-07-01,195.14
2017-06-30,195.11
2017-06-29,195.02
2017-06-28,195.01
2017-06-27,195.05
2017-06-26,195.08
2017-06-25,195.13
2017-06-24,195.17
2017-06-23,195.04
2017-06-22,194.95
2017-06-21,194.98
2017-06-20,195.04
2017-06-19,195.06
2017-06-18,195.04
2017-06-17,194.96
2017-06-16,194.99
2017-06-15,195.03
2017-06-14,195.01
2017-06-13,194.99
2017-06-12,195.00
2017-06-11,194.99
2017-06-10,194.96
2017-06-09,194.96
2017-06-08,195.00
