datetime,water_level(ft below land surface)
2021-06-24,236.14
2020-12-29,236.14
2020-07-05,236.15
2020-01-10,236.15
2019-07-17,236.15
2019-01-21,236.15
2018-07-28,236.15
2018-02-01,303.48
2018-01-31,288.30
2018-01-30,257.43
2018-01-29,258.07
2018-01-28,257.73
2018-01-27,257.68
2018-01-26,257.57
2018-01-25,257.92
2018-01-24,244.03
2018-01-23,258.54
2018-01-22,257.97
2018-01-21,257.19
2018-01-20,250.52
2018-01-19,249.90
2018-01-18,250.61
2018-01-17,258.07
2018-01-16,258.17
2018-01-15,257.75
2018-01-14,257.74
2018-01-13,258.28
2018-01-12,258.44
2018-01-11,258.32
2018-01-10,258.69
2018-01-09,259.06
2018-01-08,258.22
2018-01-07,258.20
2018-01-06,258.58
2018-01-05,257.83
2018-01-04,295.31
2018-01-03,296.33
2018-01-02,295.12
2018-01-01,295.41
2017-12-31,295.08
2017-12-30,295.51
2017-12-29,296.25
2017-12-28,295.71
2017-12-27,296.03
2017-12-26,297.08
2017-12-25,296.04
2017-12-24,295.95
2017-12-23,296.35
2017-12-22,296.15
2017-12-21,296.78
2017-12-20,296.52
2017-12-19,289.71
2017-12-18,289.22
2017-12-17,296.66
2017-12-16,296.08
2017-12-15,296.47
2017-12-14,296.46
2017-12-13,296.48
2017-12-12,297.28
2017-12-11,296.53
2017-12-10,296.89
2017-12-09,297.31
2017-12-08,297.15
2017-12-07,297.80
2017-12-06,258.21
2017-12-05,260.35
2017-12-04,259.65
2017-12-03,260.39
2017-12-02,260.94
2017-12-01,260.49
2017-11-30,260.51
2017-11-29,260.95
2017-11-28,260.50
2017-11-27,260.17
2017-11-26,260.54
2017-11-25,259.86
2017-11-24,259.66
2017-11-23,260.13
2017-11-22,261.54
2017-11-21,259.90
2017-11-20,260.43
2017-11-19,259.44
2017-11-18,259.92
2017-11-17,259.97
2017-11-16,259.72
2017-11-15,260.45
2017-11-14,259.88
2017-11-13,260.09
2017-11-12,260.05
2017-11-11,259.85
2017-11-10,259.60
2017-11-09,260.39
2017-11-08,260.36
2017-11-07,259.94
2017-11-06,260.23
2017-11-05,259.89
2017-11-04,260.56
2017-11-03,259.96
2017-11-02,259.64
2017-11-01,259.91
2017-10-31,261.00
2017-10-30,260.74
2017-10-29,260.09
2017-10-28,260.78
2017-10-27,260.62
2017-10-26,259.85
2017-10-25,259.05
2017-10-24,259.67
2017-10-23,259.41
2017-10-22,259.81
2017-10-21,259.55
2017-10-20,259.74
2017-10-19,260.97
2017-10-18,259.89
2017-10-17,260.24
2017-10-16,260.12
2017-10-15,259.77
2017-10-14,259.38
2017-10-13,259.71
2017-10-12,259.29
2017-10-11,259.15
2017-10-10,250.42
2017-10-09,249.57
2017-10-08,258.41
2017-10-07,258.07
2017-10-06,258.64
2017-10-05,258.00
2017-10-04,258.95
2017-10-03,258.89
2017-10-02,259.07
2017-10-01,259.35
2017-09-30,259.99
2017-09-29,251.15
2017-09-28,251.52
2017-09-27,260.75
2017-09-26,252.12
2017-09-25,252.26
2017-09-24,251.27
2017-09-23,251.17
2017-09-22,252.09
2017-09-14,258.73
2017-09-11,258.64
2017-09-10,258.99
2017-09-09,260.58
2017-09-08,259.38
2017-09-07,259.67
2017-09-06,258.50
2017-09-05,258.99
2017-09-04,258.23
2017-09-03,259.15
2017-09-02,259.17
2017-09-01,261.05
2017-08-31,258.63
2017-08-30,259.21
2017-08-29,259.81
2017-08-28,259.97
2017-08-27,260.62
2017-08-26,261.10
2017-08-25,263.47
2017-08-24,262.12
2017-08-23,263.35
2017-08-22,262.68
2017-08-21,262.36
2017-08-20,261.64
2017-08-19,262.02
2017-08-18,261.78
2017-08-17,261.66
2017-08-16,261.22
2017-08-15,260.65
2017-08-14,260.15
2017-08-13,260.33
2017-08-12,260.39
2017-08-11,260.55
2017-08-10,259.92
2017-08-09,260.00
2017-08-08,260.29
2017-08-07,260.45
2017-08-06,261.10
2017-08-05,258.77
2017-08-04,257.74
2017-08-03,258.14
2017-08-02,257.17
2017-08-01,257.13
2017-07-31,257.28
2017-07-30,256.50
2017-07-29,256.48
2017-07-28,256.77
2017-07-27,255.10
2017-07-26,255.48
2017-07-25,255.49
2017-07-24,254.24
2017-07-23,254.45
2017-07-22,255.13
2017-07-21,253.20
2017-07-20,252.50
2017-07-19,252.45
2017-07-18,252.52
2017-07-17,251.10
2017-07-16,251.21
2017-07-15,243.09
2017-07-14,242.33
2017-07-13,242.35
2017-07-12,242.42
2017-07-11,241.25
2017-07-10,241.08
2017-07-09,240.33
2017-07-08,240.28
2017-07-07,239.82
2017-07-06,239.19
