datetime,water_level(ft below land surface)
2017-06-20,28.59
2017-06-19,28.59
2017-06-18,28.59
2017-06-17,28.58
2017-06-16,28.58
2017-06-15,28.58
2017-06-14,28.58
2017-06-13,28.80
2017-06-12,28.79
2017-06-11,28.77
2017-06-10,28.78
2017-06-09,28.76
2017-06-08,28.69
2017-06-07,28.69
2017-06-06,28.78
2017-06-05,28.83
2017-06-04,28.75
2017-06-03,28.70
2017-06-02,28.69
2017-06-01,28.66
2017-05-31,28.61
2017-05-30,28.59
2017-05-29,28.62
2017-05-28,28.76
2017-05-27,28.72
2017-05-26,28.76
2017-05-25,28.77
2017-05-24,28.66
2017-05-23,28.72
2017-05-22,28.64
2017-05-21,28.60
2017-05-20,28.71
2017-05-19,28.77
2017-05-18,28.74
2017-05-17,28.74
2017-05-16,28.66
2017-05-15,28.56
2017-05-14,28.52
2017-05-13,28.50
2017-05-12,28.53
2017-05-11,28.54
2017-05-10,28.50
2017-05-09,28.45
2017-05-08,28.43
2017-05-07,28.41
2017-05-06,28.35
2017-05-05,28.26
2017-05-04,28.27
2017-05-03,28.52
2017-05-02,28.38
2017-05-01,28.29
2017-04-30,28.34
2017-04-29,28.71
2017-04-28,28.66
2017-04-27,28.50
2017-04-26,28.63
2017-04-25,28.56
2017-04-24,28.24
2017-04-23,28.04
2017-04-22,28.27
2017-04-21,28.25
2017-04-20,28.14
2017-04-19,28.12
2017-04-18,28.14
2017-04-17,28.14
2017-04-16,28.13
2017-04-15,28.10
2017-04-14,28.05
2017-04-13,27.98
2017-04-12,27.97
2017-04-11,28.00
2017-04-10,28.08
2017-04-09,28.09
2017-04-08,27.95
2017-04-07,27.79
2017-04-06,27.74
2017-04-05,27.93
2017-04-04,28.19
2017-04-03,28.07
2017-04-02,28.18
2017-04-01,28.10
2017-03-31,28.04
2017-03-30,27.94
2017-03-29,28.07
2017-03-28,28.06
2017-03-27,27.98
2017-03-26,27.95
2017-03-25,27.82
2017-03-24,27.85
2017-03-23,27.74
2017-03-22,27.72
2017-03-21,27.71
2017-03-20,27.64
2017-03-19,27.58
2017-03-18,27.60
2017-03-17,27.67
2017-03-16,27.65
2017-03-15,27.64
2017-03-14,27.64
2017-03-13,27.77
2017-03-12,27.83
2017-03-11,27.98
2017-03-10,27.99
2017-03-09,27.98
2017-03-08,27.94
2017-03-07,28.09
2017-03-06,28.17
2017-03-05,28.05
2017-03-04,27.92
2017-03-03,27.76
2017-03-02,27.88
2017-03-01,28.19
2017-02-28,28.27
2017-02-27,28.25
2017-02-26,28.21
2017-02-25,28.11
2017-02-24,28.39
2017-02-23,28.42
2017-02-22,28.21
2017-02-21,28.10
2017-02-20,28.17
2017-02-19,28.33
2017-02-18,28.30
2017-02-17,28.19
2017-02-16,27.98
2017-02-15,27.94
2017-02-14,28.17
2017-02-13,28.09
2017-02-12,28.05
2017-02-11,28.05
2017-02-10,27.93
2017-02-09,27.90
2017-02-08,28.21
2017-02-07,28.24
2017-02-06,28.14
2017-02-05,28.04
2017-02-04,27.91
2017-02-03,27.88
2017-02-02,27.99
2017-02-01,28.08
2017-01-31,27.98
2017-01-30,27.81
2017-01-29,27.72
2017-01-28,27.74
2017-01-27,27.89
2017-01-26,27.90
2017-01-25,28.24
2017-01-24,28.32
2017-01-23,28.09
2017-01-22,28.24
2017-01-21,28.50
2017-01-20,28.34
2017-01-19,28.19
2017-01-18,28.06
2017-01-17,28.13
2017-01-16,28.16
2017-01-15,28.09
2017-01-14,27.88
2017-01-13,27.92
2017-01-12,28.07
2017-01-11,28.10
2017-01-10,28.03
2017-01-09,27.80
2017-01-08,27.53
2017-01-07,27.50
2017-01-06,28.05
2017-01-05,28.29
2017-01-04,28.11
2017-01-03,28.16
2017-01-02,28.27
2017-01-01,28.30
2016-12-31,28.23
2016-12-30,27.86
2016-12-29,27.95
2016-12-28,28.07
2016-12-27,28.01
2016-12-26,28.17
2016-12-25,28.30
2016-12-24,28.24
2016-12-23,28.17
2016-12-22,28.06
2016-12-21,28.00
2016-12-20,27.78
2016-12-19,27.68
2016-12-18,28.01
2016-12-17,28.48
2016-12-16,28.29
2016-12-15,28.07
2016-12-14,28.18
