datetime,water_level(ft below land surface)
2018-03-07,292.73
2018-03-02,292.73
2018-02-25,292.74
2018-02-20,292.74
2018-02-15,292.74
2018-02-10,292.75
2018-02-05,292.75
2018-01-31,289.68
2018-01-30,289.85
2018-01-29,289.92
2018-01-28,289.82
2018-01-27,289.78
2018-01-26,289.84
2018-01-25,289.98
2018-01-24,290.01
2018-01-23,289.94
2018-01-22,289.85
2018-01-21,289.87
2018-01-20,289.98
2018-01-19,290.09
2018-01-18,290.24
2018-01-17,290.39
2018-01-16,290.43
2018-01-15,290.26
2018-01-14,290.38
2018-01-13,290.46
2018-01-12,290.42
2018-01-11,290.28
2018-01-10,290.38
2018-01-09,290.61
2018-01-08,290.67
2018-01-07,290.72
2018-01-06,290.99
2018-01-05,291.08
2018-01-04,291.15
2018-01-03,291.26
2018-01-02,291.48
2018-01-01,291.62
2017-12-31,291.59
2017-12-30,291.62
2017-12-29,291.76
2017-12-28,291.96
2017-12-27,292.11
2017-12-26,292.12
2017-12-25,292.25
2017-12-24,292.31
2017-12-23,292.40
2017-12-22,292.40
2017-12-21,292.47
2017-12-20,292.61
2017-12-19,292.75
2017-12-18,292.92
2017-12-17,292.96
2017-12-16,293.06
2017-12-15,293.19
2017-12-14,293.12
2017-12-13,293.19
2017-12-12,293.36
2017-12-11,293.32
2017-11-24,294.31
2017-11-23,294.32
2017-11-22,294.36
2017-11-21,294.27
2017-11-20,294.51
2017-11-19,294.72
2017-11-18,294.67
2017-11-17,294.79
2017-11-16,295.02
2017-11-15,295.11
2017-11-14,295.28
2017-11-13,295.53
2017-11-12,295.60
2017-11-11,295.67
2017-11-10,295.85
2017-11-09,295.97
2017-11-08,296.07
2017-11-07,296.15
2017-11-06,296.16
2017-11-05,296.21
2017-11-04,296.38
2017-11-03,296.53
2017-11-02,296.54
2017-11-01,296.60
2017-10-31,296.88
2017-10-30,296.95
2017-10-29,297.09
2017-10-28,297.31
2017-10-27,297.32
2017-10-26,297.32
2017-10-25,297.60
2017-10-24,297.71
2017-10-23,297.76
2017-10-22,297.81
2017-10-21,297.84
2017-10-20,297.97
2017-10-19,298.06
2017-10-18,298.11
2017-10-17,298.18
2017-10-16,298.22
2017-10-15,298.15
2017-10-14,298.02
2017-10-13,297.93
2017-10-12,297.78
2017-10-11,297.66
2017-10-10,297.51
2017-10-09,297.15
2017-10-08,297.00
2017-10-07,296.86
2017-10-06,296.84
2017-10-05,296.84
2017-10-04,296.84
2017-10-03,296.78
2017-10-02,296.76
2017-10-01,296.82
2017-09-30,296.86
2017-09-29,296.84
2017-09-28,296.74
2017-09-27,296.59
2017-09-26,296.55
2017-09-25,296.54
2017-09-24,296.50
2017-09-23,296.48
2017-09-22,296.46
2017-09-21,296.36
2017-09-20,296.30
2017-09-19,296.28
2017-09-18,296.30
2017-09-17,296.26
2017-09-16,296.20
2017-09-15,296.16
2017-09-14,296.15
2017-09-13,296.16
2017-09-12,296.23
2017-09-11,296.39
2017-09-10,296.49
2017-09-09,296.53
2017-09-08,296.54
2017-09-07,296.58
2017-08-24,296.57
2017-08-23,296.52
2017-08-22,296.28
2017-08-21,296.15
2017-08-20,296.01
2017-08-19,295.93
2017-08-18,295.92
2017-08-17,295.91
2017-08-16,295.90
2017-08-15,295.91
2017-08-14,295.94
2017-08-13,295.98
2017-08-12,296.04
2017-08-11,296.06
2017-08-10,296.06
2017-08-09,296.05
2017-08-08,296.01
2017-08-07,295.97
2017-08-06,295.97
2017-08-05,295.99
2017-08-04,296.00
2017-08-03,295.98
2017-08-02,295.95
2017-08-01,295.90
2017-07-31,295.88
2017-07-30,295.84
2017-07-29,295.82
2017-07-28,295.82
2017-07-27,295.82
2017-07-26,295.81
2017-07-25,295.76
2017-07-24,295.71
2017-07-23,295.67
2017-07-22,295.68
2017-07-21,295.69
2017-07-20,295.71
2017-07-19,295.68
2017-07-18,295.59
2017-07-17,295.49
2017-07-16,295.44
2017-07-15,295.40
2017-07-14,295.32
2017-07-13,295.20
2017-07-12,295.07
2017-07-11,294.97
2017-07-10,294.95
2017-07-09,294.97
2017-07-08,295.02
2017-07-07,295.08
2017-07-06,295.12
2017-07-05,295.13
2017-07-04,295.17
2017-07-03,295.26
2017-07-02,295.32
2017-07-01,295.40
2017-06-30,295.39
2017-06-29,295.40
2017-06-28,295.41
2017-06-27,295.41
2017-06-26,295.41
2017-06-25,295.37
2017-06-24,295.30
2017-06-23,295.19
2017-06-22,295.15
2017-06-21,295.15
2017-06-20,295.14
2017-06-19,295.06
2017-06-18,294.92
2017-06-17,294.87
2017-06-16,294.88
2017-06-15,294.90
2017-06-14,294.90
2017-06-13,294.93
2017-06-12,294.98
2017-06-11,295.01
2017-06-10,295.07
2017-06-09,295.15
2017-06-08,295.25
2017-06-07,295.28
2017-06-06,295.28
2017-06-05,295.29
2017-06-04,295.34
2017-06-03,295.45
2017-06-02,295.55
2017-06-01,295.58
2017-05-31,295.58
2017-05-30,295.58
2017-05-29,295.56
2017-05-28,295.48
2017-05-27,295.36
2017-05-26,295.22
2017-05-25,295.04
2017-05-24,294.94
2017-05-23,294.77
2017-05-22,294.66
2017-05-21,294.60
2017-05-20,294.42
2017-05-19,294.31
2017-05-18,294.23
2017-05-17,294.20
2017-04-27,294.42
2017-04-26,294.38
2017-04-25,294.40
2017-04-24,294.63
2017-04-23,294.75
2017-04-22,294.69
2017-04-21,294.56
2017-04-20,294.55
2017-04-19,294.52
2017-04-18,294.50
2017-04-17,294.46
2017-04-16,294.39
2017-04-15,294.31
2017-04-14,294.27
2017-04-13,294.24
2017-04-12,294.19
2017-04-11,294.09
2017-04-10,293.91
2017-04-09,293.76
2017-04-08,293.73
2017-04-07,293.75
2017-04-06,293.69
2017-04-05,293.51
2017-04-04,293.15
2017-04-03,293.07
2017-04-02,293.06
