datetime,water_level(ft below land surface)
2018-02-08,191.56
2018-02-07,191.56
2018-02-06,191.57
2018-02-05,191.58
2018-02-04,191.58
2018-02-03,191.59
2018-02-02,191.59
2018-02-01,197.92
2018-01-31,197.66
2018-01-30,197.33
2018-01-29,196.77
2018-01-28,196.85
2018-01-27,196.77
2018-01-26,196.56
2018-01-25,196.25
2018-01-24,196.13
2018-01-23,196.13
2018-01-22,196.14
2018-01-21,195.78
2018-01-20,194.78
2018-01-19,191.96
2018-01-18,189.50
2018-01-17,195.44
2018-01-16,195.89
2018-01-15,195.92
2018-01-14,195.57
2018-01-13,195.26
2018-01-12,194.03
2018-01-11,195.50
2018-01-10,195.28
2018-01-09,194.35
2018-01-08,194.78
2018-01-07,194.76
2018-01-06,194.06
2018-01-05,194.58
2018-01-04,194.98
2018-01-03,194.78
2018-01-02,194.34
2018-01-01,193.92
2017-12-31,192.68
2017-12-30,193.50
2017-12-29,193.67
2017-12-28,193.20
2017-12-27,192.41
2017-12-26,190.72
2017-12-25,188.10
2017-12-24,189.21
2017-12-23,189.50
2017-12-22,190.85
2017-12-21,190.08
2017-12-20,188.77
2017-12-19,185.96
2017-12-18,182.17
2017-12-17,180.96
2017-12-16,179.61
2017-12-15,176.76
2017-12-14,178.11
2017-12-13,181.38
2017-12-12,181.59
2017-12-11,185.34
2017-12-10,191.77
2017-12-09,194.37
2017-12-08,192.46
2017-12-07,192.70
2017-12-06,195.79
2017-12-05,196.33
2017-12-04,194.76
2017-12-03,192.78
2017-12-02,196.04
2017-12-01,196.09
2017-11-30,194.46
2017-11-29,195.33
2017-11-28,193.82
2017-11-27,194.80
2017-11-26,195.00
2017-11-25,196.08
2017-11-24,197.05
2017-11-23,197.01
2017-11-22,196.47
2017-11-21,195.70
2017-11-20,196.29
2017-11-19,196.57
2017-11-18,196.35
2017-11-17,195.04
2017-11-16,194.94
2017-11-15,195.13
2017-11-14,195.27
2017-11-13,192.40
2017-11-12,192.84
2017-11-11,195.83
2017-11-10,194.89
2017-11-09,195.15
2017-11-08,193.26
2017-11-07,191.33
2017-11-06,190.50
2017-11-05,191.20
2017-11-04,191.53
2017-11-03,191.00
2017-11-02,192.02
2017-11-01,193.69
2017-10-31,196.77
2017-10-30,196.78
2017-10-29,196.59
2017-10-28,196.50
2017-10-26,196.44
2017-10-21,195.71
2017-10-19,194.20
2017-10-18,195.03
2017-10-16,194.59
2017-10-15,194.50
2017-10-14,194.04
2017-10-13,193.13
2017-10-12,191.79
2017-10-10,190.12
2017-10-08,190.18
2017-10-07,191.28
2017-10-03,193.11
2017-10-02,193.53
2017-10-01,193.18
2017-09-29,192.50
2017-09-28,191.84
2017-09-27,190.82
2017-09-26,189.18
2017-09-25,189.39
2017-09-24,186.45
2017-09-21,189.64
2017-09-20,186.99
2017-09-19,187.24
2017-09-17,183.33
2017-09-16,182.75
2017-09-15,183.51
2017-09-14,183.13
2017-09-13,181.45
2017-09-12,181.12
2017-09-08,173.48
2017-09-07,169.05
2017-09-06,163.55
2017-09-05,159.03
2017-09-04,154.10
2017-09-03,153.65
2017-09-02,160.54
2017-09-01,170.09
2017-08-31,181.82
2017-08-30,185.67
2017-08-29,192.69
2017-08-28,193.44
2017-08-27,196.87
2017-08-26,197.46
2017-08-24,197.42
2017-08-23,197.24
2017-08-22,196.75
2017-08-21,196.38
2017-08-20,196.84
2017-08-19,196.95
2017-08-18,196.73
2017-08-17,196.95
2017-08-16,196.97
2017-08-15,196.92
2017-08-14,196.58
2017-08-13,196.10
2017-08-12,195.16
2017-08-11,194.49
2017-08-10,193.11
2017-08-09,192.86
2017-08-08,192.99
2017-08-07,193.11
2017-08-06,193.18
2017-08-05,193.16
2017-08-04,193.14
2017-08-03,193.18
2017-08-02,193.15
2017-08-01,193.12
2017-07-31,193.24
2017-07-30,193.28
2017-07-29,193.41
2017-07-28,193.40
2017-07-27,193.34
2017-07-26,193.31
2017-07-25,193.36
2017-07-24,193.42
2017-07-23,193.47
2017-07-22,193.42
2017-07-21,193.34
2017-07-20,193.30
2017-07-19,193.28
2017-07-18,193.37
2017-07-17,193.38
2017-07-16,193.35
2017-07-15,193.32
2017-07-14,193.26
2017-07-13,193.21
2017-07-12,193.24
2017-07-11,193.29
2017-07-10,193.22
2017-07-09,193.20
2017-07-08,193.22
2017-07-07,193.21
2017-07-06,193.15
2017-07-05,193.09
2017-07-04,193.09
2017-07-03,192.97
2017-07-02,192.85
2017-07-01,192.79
2017-06-30,192.73
2017-06-29,192.66
2017-06-28,192.47
2017-06-27,192.26
2017-06-26,191.99
2017-06-25,191.77
2017-06-24,191.43
2017-06-23,189.91
2017-06-22,192.18
2017-06-21,192.19
2017-06-20,191.84
2017-06-19,191.94
2017-06-18,191.87
2017-06-17,191.71
2017-06-16,191.40
2017-06-15,191.07
2017-06-14,190.78
2017-06-13,189.80
2017-06-12,190.85
2017-06-11,190.83
2017-06-10,190.72
2017-06-09,190.57
2017-06-08,190.38
2017-06-07,190.35
2017-06-06,190.47
2017-06-05,190.42
2017-06-04,190.28
2017-06-03,190.15
2017-06-02,189.97
2017-06-01,189.75
2017-05-31,189.58
2017-05-30,189.34
2017-05-29,189.08
2017-05-28,188.68
2017-05-27,188.20
2017-05-26,187.65
2017-05-25,186.98
2017-05-24,186.31
2017-05-23,186.28
2017-05-22,185.18
2017-05-21,183.07
2017-05-20,184.94
2017-05-19,185.31
2017-05-18,184.23
2017-05-17,180.74
2017-05-16,181.12
2017-05-15,180.72
2017-05-14,178.41
2017-05-13,176.79
2017-05-12,175.25
2017-05-11,177.55
2017-05-10,180.03
2017-05-09,183.03
2017-05-08,183.90
2017-05-07,185.02
2017-05-06,183.53
2017-05-05,185.24
2017-05-04,183.95
2017-05-03,183.96
2017-05-02,185.45
2017-05-01,186.39
2017-04-30,188.63
2017-04-29,189.22
2017-04-28,188.52
2017-04-27,190.48
2017-04-26,191.00
2017-04-25,191.04
2017-04-24,190.95
2017-04-23,190.91
2017-04-22,191.14
2017-04-21,191.50
2017-04-20,191.53
2017-04-19,190.70
2017-04-18,190.28
2017-04-17,191.49
2017-04-16,194.17
2017-04-15,193.43
2017-04-14,195.72
2017-04-13,196.59
2017-04-12,195.59
2017-04-11,194.43
2017-04-10,193.77
2017-04-09,196.48
2017-04-08,196.16
2017-04-07,196.16
2017-04-06,195.21
2017-04-05,192.84
2017-04-04,194.18
2017-04-03,193.64
2017-04-02,193.86
2017-04-01,193.86
2017-03-31,194.23
2017-03-30,195.15
2017-03-29,198.21
2017-03-28,198.54
2017-03-27,198.21
2017-03-26,197.43
2017-03-25,197.18
2017-03-24,194.96
2017-03-23,193.79
2017-03-22,196.04
2017-03-21,194.26
2017-03-20,194.57
2017-03-19,195.62
2017-03-18,192.97
2017-03-17,192.39
2017-03-16,193.88
2017-03-15,191.20
2017-03-14,191.38
2017-03-13,192.80
2017-03-12,194.72
2017-03-11,194.17
2017-03-10,192.55
2017-03-09,193.86
2017-03-08,192.17
2017-03-07,193.06
2017-03-06,193.45
2017-03-05,192.32
2017-03-04,194.94
2017-03-03,195.81
2017-03-02,194.00
2017-03-01,193.92
2017-02-28,193.51
2017-02-27,193.64
2017-02-26,193.81
2017-02-25,193.85
2017-02-24,194.70
2017-02-23,195.82
2017-02-22,193.41
2017-02-21,193.33
