datetime,water_level(ft below land surface)
2018-03-07,386.37
2018-03-02,386.37
2018-02-25,386.37
2018-02-20,386.37
2018-02-15,386.37
2018-02-10,386.37
2018-02-05,386.37
2018-01-31,397.25
2018-01-30,397.20
2018-01-29,397.26
2018-01-28,397.25
2018-01-27,397.35
2018-01-26,397.37
2018-01-25,397.35
2018-01-24,397.36
2018-01-23,397.35
2018-01-22,386.15
2018-01-21,386.17
2018-01-20,386.17
2018-01-19,386.23
2018-01-18,386.33
2018-01-17,386.28
2018-01-16,386.40
2018-01-15,386.46
2018-01-14,386.37
2018-01-13,386.43
2018-01-12,386.58
2018-01-11,386.62
2018-01-10,386.69
2018-01-09,386.64
2018-01-08,386.69
2018-01-07,386.73
2018-01-06,386.67
2018-01-05,386.74
2018-01-04,386.78
2018-01-03,386.73
2018-01-02,386.69
2018-01-01,386.68
2017-12-31,386.80
2017-12-30,386.90
2017-12-29,386.98
2017-12-28,386.89
2017-12-27,378.44
2017-12-26,378.41
2017-12-25,378.38
2017-12-24,378.35
2017-12-23,378.40
2017-12-22,378.55
2017-12-21,386.97
2017-12-20,386.97
2017-12-19,387.08
2017-12-18,387.12
2017-12-17,387.17
2017-12-16,387.31
2017-12-15,387.27
2017-12-14,387.44
2017-12-13,387.45
2017-12-12,400.79
2017-12-11,409.59
2017-12-10,409.61
2017-12-09,409.70
2017-12-08,409.78
2017-12-07,409.80
2017-12-06,407.88
2017-12-05,410.07
2017-12-04,410.15
2017-12-03,410.12
2017-12-02,410.15
2017-12-01,408.07
2017-11-30,408.07
2017-11-29,410.17
2017-11-28,408.14
2017-11-27,408.17
2017-11-26,410.20
2017-11-25,410.26
2017-11-24,410.26
2017-11-23,410.20
2017-11-22,410.18
2017-11-21,410.27
2017-11-20,411.43
2017-11-19,485.70
2017-11-18,388.02
2017-11-17,388.05
2017-11-16,387.99
2017-11-15,388.00
2017-11-14,388.04
2017-11-13,388.13
2017-11-12,388.16
2017-11-11,388.28
2017-11-10,388.39
2017-11-09,395.92
2017-11-08,396.03
2017-11-07,396.08
2017-11-06,396.17
2017-11-05,396.28
2017-11-04,396.44
2017-11-03,396.53
2017-11-02,396.44
2017-11-01,396.35
2017-10-31,396.45
2017-10-30,396.60
2017-10-29,389.23
2017-10-28,389.54
2017-10-27,389.62
2017-10-26,389.68
2017-10-25,389.50
2017-10-24,389.43
2017-10-23,389.35
2017-10-22,389.21
2017-10-21,389.41
2017-10-20,389.44
2017-10-19,389.42
2017-10-18,389.47
2017-10-17,389.53
2017-10-16,389.53
2017-10-15,389.56
2017-10-14,389.71
2017-10-13,389.63
2017-10-12,389.64
2017-10-11,389.63
2017-10-10,389.80
2017-10-09,389.90
2017-10-08,389.81
2017-10-07,389.88
2017-10-06,389.94
2017-10-05,389.99
2017-10-04,390.07
2017-10-03,390.18
2017-10-02,390.39
2017-10-01,405.21
2017-09-30,391.17
2017-09-29,406.35
2017-09-28,406.33
2017-09-27,406.10
2017-09-26,406.17
2017-09-25,406.12
2017-09-24,405.93
2017-09-23,405.86
2017-09-22,405.64
2017-09-21,390.93
2017-09-20,390.94
2017-09-19,391.08
2017-09-18,390.96
2017-09-17,390.62
2017-09-16,390.44
2017-09-15,390.21
2017-09-14,390.09
2017-09-13,389.86
2017-09-12,389.81
2017-09-11,389.83
2017-09-10,389.84
2017-09-09,390.01
2017-09-08,389.81
2017-09-07,389.61
2017-09-06,389.37
2017-09-05,389.20
2017-09-04,389.00
2017-09-03,388.77
2017-09-02,388.70
2017-09-01,388.70
2017-08-31,388.74
2017-08-30,388.81
2017-08-29,389.04
2017-08-28,389.16
2017-08-27,389.18
2017-08-26,389.51
2017-08-25,389.48
2017-08-24,389.66
2017-08-23,389.71
2017-08-22,389.69
2017-08-21,389.58
2017-08-20,389.30
2017-08-19,389.10
2017-08-18,389.03
2017-08-17,389.16
2017-08-16,389.23
2017-08-15,389.36
2017-08-14,389.21
2017-08-13,388.86
2017-08-12,388.74
2017-08-11,388.40
2017-08-10,388.47
2017-08-09,388.67
2017-08-08,388.96
2017-08-07,389.17
2017-08-06,389.14
2017-08-05,389.22
2017-08-04,389.10
2017-08-03,389.24
2017-08-02,389.18
2017-08-01,389.08
2017-07-31,388.82
2017-07-30,388.63
2017-07-29,388.33
2017-07-28,387.97
2017-07-27,387.65
2017-07-26,387.32
2017-07-25,386.98
2017-07-24,386.97
2017-07-23,386.70
2017-07-22,386.33
2017-07-21,386.10
2017-07-20,385.98
2017-07-19,385.84
2017-07-18,385.85
2017-07-17,386.00
2017-07-16,385.84
2017-07-15,385.60
2017-07-14,385.31
2017-07-13,385.04
2017-07-12,384.99
2017-07-11,384.81
2017-07-10,384.87
2017-07-09,384.82
2017-07-08,384.89
2017-07-07,384.84
2017-07-06,389.98
2017-07-05,389.59
2017-07-04,389.54
2017-07-03,389.33
2017-07-02,389.08
2017-07-01,389.07
2017-06-30,388.92
2017-06-29,388.70
2017-06-28,388.71
2017-06-27,389.01
2017-06-26,388.98
2017-06-25,388.69
2017-06-24,388.69
2017-06-23,388.52
2017-06-22,388.34
2017-06-21,388.18
2017-06-20,388.21
2017-06-19,388.13
2017-06-18,388.09
2017-06-17,388.06
2017-06-16,387.75
2017-06-15,387.52
2017-06-14,387.49
2017-06-13,387.37
2017-06-12,387.42
2017-06-11,387.27
2017-06-10,387.15
2017-06-09,387.10
2017-06-08,386.79
2017-06-07,386.59
2017-06-06,386.68
2017-06-05,386.76
2017-06-04,386.78
2017-06-03,381.35
2017-06-02,381.48
2017-06-01,381.59
2017-05-31,381.76
2017-05-30,381.85
2017-05-29,382.00
2017-05-28,381.97
2017-05-27,381.95
2017-05-26,382.01
2017-05-25,381.90
2017-05-24,381.82
2017-05-23,381.87
2017-05-22,381.99
2017-05-21,382.04
2017-05-20,382.09
2017-05-19,382.17
2017-05-18,382.04
2017-05-17,381.90
2017-05-16,381.99
2017-05-15,381.94
2017-05-14,381.84
2017-05-13,381.82
2017-05-12,381.76
2017-05-11,381.56
2017-05-10,381.60
2017-05-09,381.55
2017-05-08,381.56
2017-05-07,381.44
2017-05-06,381.25
2017-05-05,381.11
2017-05-04,381.03
2017-05-03,380.94
2017-05-02,380.77
2017-05-01,380.72
2017-04-30,380.65
2017-04-29,380.62
2017-04-28,380.49
2017-04-27,380.45
2017-04-26,380.33
2017-04-25,390.61
2017-04-24,390.63
2017-04-23,390.47
2017-04-22,390.53
2017-04-21,390.47
2017-04-20,390.40
2017-04-19,390.45
2017-04-18,390.40
2017-04-17,390.54
2017-04-16,380.33
2017-04-15,380.39
2017-04-14,380.60
2017-04-13,380.66
2017-04-12,380.71
2017-04-11,380.82
2017-04-10,380.92
2017-04-09,381.15
2017-04-08,381.20
2017-04-07,381.33
2017-04-06,381.15
2017-04-05,380.87
2017-04-04,380.70
2017-04-03,380.57
2017-04-02,380.46
2017-04-01,380.58
2017-03-31,380.78
2017-03-30,380.67
2017-03-29,380.56
2017-03-28,380.74
2017-03-27,380.45
2017-03-26,380.38
2017-03-25,380.35
2017-03-24,380.55
2017-03-23,380.55
2017-03-22,380.52
2017-03-21,380.49
2017-03-20,380.54
2017-03-19,380.54
2017-03-18,380.62
2017-03-17,380.83
2017-03-16,380.82
2017-03-15,380.81
2017-03-14,380.87
2017-03-13,381.02
2017-03-12,381.05
2017-03-11,381.13
2017-03-10,381.29
2017-03-09,381.46
2017-03-08,381.64
2017-03-07,381.65
2017-03-06,381.84
2017-03-05,382.00
2017-03-04,382.10
2017-03-03,382.20
2017-03-02,382.35
2017-03-01,382.58
2017-02-28,382.72
2017-02-27,382.90
2017-02-26,383.07
2017-02-25,383.26
2017-02-24,383.60
2017-02-23,383.51
2017-02-22,383.34
2017-02-21,383.14
2017-02-20,383.19
2017-02-19,383.06
2017-02-18,382.94
2017-02-17,382.75
2017-02-16,382.50
2017-02-15,368.61
2017-02-14,368.54
2017-02-13,368.75
2017-02-12,368.85
2017-02-11,368.93
2017-02-10,369.14
2017-02-09,369.03
2017-02-08,369.11
2017-02-07,369.18
2017-02-06,382.93
2017-02-05,383.05
2017-02-04,383.16
2017-02-03,383.41
2017-02-02,383.53
2017-02-01,383.72
2017-01-31,383.71
2017-01-30,383.51
2017-01-29,383.32
2017-01-28,383.14
2017-01-27,383.12
2017-01-26,382.78
2017-01-25,382.62
2017-01-24,382.40
2017-01-23,382.25
2017-01-22,382.03
2017-01-21,382.04
2017-01-20,382.28
2017-01-19,382.28
2017-01-18,382.32
2017-01-17,382.50
2017-01-16,382.63
2017-01-15,382.70
2017-01-14,382.68
2017-01-13,382.81
2017-01-12,382.89
2017-01-11,382.96
2017-01-10,382.94
2017-01-09,390.16
2017-01-08,390.04
