datetime,water_level(ft below land surface)
2018-02-08,184.75
2018-02-07,184.75
2018-02-06,184.75
2018-02-05,184.75
2018-02-04,184.74
2018-02-03,184.74
2018-02-02,184.74
2018-02-01,186.58
2018-01-31,186.54
2018-01-30,186.56
2018-01-29,186.60
2018-01-28,186.53
2018-01-27,186.48
2018-01-26,186.41
2018-01-25,186.42
2018-01-24,186.43
2018-01-23,186.38
2018-01-22,186.34
2018-01-21,186.22
2018-01-20,186.18
2018-01-19,186.13
2018-01-18,186.14
2018-01-17,186.15
2018-01-16,186.20
2018-01-15,186.02
2018-01-14,186.00
2018-01-13,186.02
2018-01-12,185.92
2018-01-11,185.87
2018-01-10,185.70
2018-01-09,185.71
2018-01-08,185.70
2018-01-07,185.58
2018-01-06,185.58
2018-01-05,185.54
2018-01-04,185.47
2018-01-03,185.41
2018-01-02,185.36
2018-01-01,185.37
2017-12-31,185.30
2017-12-30,185.15
2017-12-29,185.12
2017-12-28,185.08
2017-12-27,185.07
2017-12-26,184.94
2017-12-25,184.89
2017-12-24,184.83
2017-12-23,184.77
2017-12-22,184.68
2017-12-21,184.54
2017-12-20,184.50
2017-12-19,184.42
2017-12-18,184.38
2017-12-17,184.30
2017-12-16,184.20
2017-12-15,184.23
2017-12-14,184.09
2017-12-13,184.00
2017-12-12,184.01
2017-12-11,183.91
2017-12-10,183.90
2017-12-09,183.82
2017-12-08,183.71
2017-12-07,183.68
2017-12-06,183.60
2017-12-05,183.52
2017-12-04,183.34
2017-12-03,183.24
2017-12-02,183.18
2017-12-01,183.08
2017-11-30,182.99
2017-11-29,182.92
2017-11-28,182.77
2017-11-27,182.66
2017-11-26,182.64
2017-11-25,182.50
2017-11-24,182.37
2017-11-23,182.32
2017-11-22,182.34
2017-11-21,182.16
2017-11-20,182.10
2017-11-19,182.11
2017-11-18,182.02
2017-11-17,181.90
2017-11-16,181.89
2017-11-15,181.84
2017-11-14,181.78
2017-11-13,181.80
2017-11-12,181.78
2017-11-11,181.70
2017-11-10,181.70
2017-11-09,181.68
2017-11-08,181.67
2017-11-07,181.60
2017-11-06,181.55
2017-11-05,181.50
2017-11-04,181.47
2017-11-03,181.47
2017-11-02,181.44
2017-11-01,181.35
2017-10-31,181.59
2017-10-30,181.82
2017-10-29,181.79
2017-10-28,181.80
2017-10-27,181.78
2017-10-26,181.63
2017-10-25,181.68
2017-10-24,181.75
2017-10-23,181.67
2017-10-22,181.71
2017-10-21,181.64
2017-10-20,181.67
2017-10-19,181.72
2017-10-18,181.76
2017-10-17,181.81
2017-10-16,181.90
2017-10-15,181.97
2017-10-14,181.98
2017-10-13,182.08
2017-10-12,182.17
2017-10-11,182.30
2017-10-10,182.50
2017-10-09,182.54
2017-10-08,182.65
2017-10-07,182.84
2017-10-06,183.03
2017-10-05,183.27
2017-10-04,183.55
2017-10-03,183.83
2017-10-02,184.11
2017-10-01,184.49
2017-09-30,185.03
2017-09-29,185.68
2017-09-28,186.52
2017-09-27,187.27
2017-09-26,187.34
2017-09-25,187.30
2017-09-24,187.28
2017-09-23,187.25
2017-09-22,187.22
2017-09-21,187.20
2017-09-20,187.16
2017-09-19,187.13
2017-09-18,187.10
2017-09-17,187.08
2017-09-16,187.05
2017-09-15,187.00
2017-09-14,186.94
2017-09-13,186.89
2017-09-12,186.85
2017-09-11,186.84
2017-09-10,186.82
2017-09-09,186.78
2017-09-08,186.73
2017-09-07,186.68
2017-09-06,186.65
2017-09-05,186.59
2017-09-04,186.53
2017-09-03,186.51
2017-09-02,186.46
2017-09-01,186.41
2017-08-31,186.35
2017-08-30,186.30
2017-08-29,186.25
2017-08-28,186.18
2017-08-27,186.13
2017-08-26,186.08
2017-08-25,186.02
2017-08-24,185.97
2017-08-23,185.92
2017-08-22,185.88
2017-08-21,185.84
2017-08-20,185.77
2017-08-19,185.70
2017-08-18,185.65
2017-08-17,185.60
2017-08-16,185.54
2017-08-15,185.46
2017-08-14,185.39
2017-08-13,185.34
2017-08-12,185.28
2017-08-11,185.24
2017-08-10,185.21
2017-08-09,185.16
2017-08-08,185.12
2017-08-07,185.08
2017-08-06,184.97
2017-08-05,184.92
2017-08-04,184.86
2017-08-03,184.78
2017-08-02,184.71
2017-08-01,184.62
2017-07-31,184.54
2017-07-30,184.45
2017-07-29,184.35
2017-07-28,184.25
2017-07-27,184.17
2017-07-26,184.09
2017-07-25,184.01
2017-07-24,183.90
2017-07-23,183.80
2017-07-22,183.70
2017-07-21,183.60
2017-07-20,183.52
2017-07-19,183.43
2017-07-18,183.31
2017-07-17,183.19
2017-07-16,183.08
2017-07-15,182.98
2017-07-14,182.88
2017-07-13,182.77
2017-07-12,182.65
2017-07-11,182.52
2017-07-10,182.40
2017-07-09,182.30
2017-07-08,182.21
2017-07-07,182.12
2017-07-06,182.03
2017-07-05,181.94
2017-07-04,181.85
2017-07-03,181.77
2017-07-02,181.73
2017-07-01,181.67
2017-06-30,181.59
2017-06-29,181.51
2017-06-28,181.46
2017-06-27,181.43
2017-06-26,181.39
2017-06-25,181.36
2017-06-24,181.33
2017-06-23,181.21
2017-06-22,181.13
2017-06-21,181.09
2017-06-20,181.08
2017-06-19,181.05
2017-06-18,180.95
2017-06-17,180.88
2017-06-16,180.84
2017-06-15,180.82
2017-06-14,180.77
2017-06-13,180.71
2017-06-12,180.65
2017-06-11,180.61
2017-06-10,180.54
2017-06-09,180.48
2017-06-08,180.43
2017-06-07,180.39
2017-06-06,180.33
2017-06-05,180.23
2017-06-04,180.17
2017-06-03,180.15
2017-06-02,180.08
2017-06-01,180.01
2017-05-31,179.97
2017-05-30,179.93
2017-05-29,179.87
2017-05-28,179.78
2017-05-27,179.71
2017-05-26,179.68
2017-05-25,179.57
2017-05-24,179.54
2017-05-23,179.52
2017-05-22,179.47
2017-05-21,179.47
2017-05-20,179.42
2017-05-19,179.34
2017-05-18,179.29
2017-05-17,179.30
2017-05-16,179.25
2017-05-15,179.28
2017-05-14,179.29
2017-05-13,179.29
2017-05-12,179.32
2017-05-11,179.31
2017-05-10,179.32
2017-05-09,179.34
2017-05-08,179.40
2017-05-07,179.42
2017-05-06,179.44
2017-05-05,179.50
2017-05-04,179.58
2017-05-03,179.52
2017-05-02,179.56
2017-05-01,179.61
2017-04-30,179.70
2017-04-29,179.66
2017-04-28,179.65
2017-04-27,179.73
2017-04-26,179.79
2017-04-25,179.76
2017-04-24,179.86
2017-04-23,180.01
2017-04-22,180.08
2017-04-21,180.05
2017-04-20,180.16
2017-04-19,180.24
2017-04-18,180.31
2017-04-17,180.38
2017-04-16,180.47
2017-04-15,180.56
2017-04-14,180.65
2017-04-13,180.77
2017-04-12,180.91
2017-04-11,181.04
2017-04-10,181.16
2017-04-09,181.28
2017-04-08,181.45
2017-04-07,181.69
2017-04-06,181.94
2017-04-05,182.25
2017-04-04,182.39
2017-04-03,182.74
2017-04-02,183.10
2017-04-01,183.11
2017-03-31,182.99
2017-03-30,182.98
2017-03-29,182.93
2017-03-28,182.78
2017-03-27,182.77
2017-03-26,182.68
2017-03-25,182.66
2017-03-24,182.59
2017-03-23,182.50
2017-03-22,182.49
2017-03-21,182.42
2017-03-20,182.36
2017-03-19,182.33
2017-03-18,182.30
2017-03-17,182.21
2017-03-16,182.15
2017-03-15,182.14
2017-03-14,182.07
2017-03-13,182.02
2017-03-12,181.98
2017-03-11,181.90
2017-03-10,181.88
2017-03-09,181.82
2017-03-08,181.83
2017-03-07,181.80
2017-03-06,181.67
2017-03-05,181.66
2017-03-04,181.67
2017-03-03,181.70
2017-03-02,181.67
2017-03-01,181.60
2017-02-28,181.47
2017-02-27,181.44
2017-02-26,181.39
2017-02-25,181.45
2017-02-24,181.38
2017-02-23,181.27
2017-02-22,181.34
2017-02-21,181.44
2017-02-20,181.54
2017-02-19,181.45
2017-02-18,181.34
2017-02-17,181.24
2017-02-16,181.21
2017-02-15,181.18
2017-02-14,181.07
2017-02-13,180.94
2017-02-12,180.92
2017-02-11,180.80
