datetime,water_level(ft below land surface)
2018-02-08,137.49
2018-02-07,137.49
2018-02-06,137.49
2018-02-05,137.49
2018-02-04,137.49
2018-02-03,137.49
2018-02-02,137.49
2018-02-01,139.78
2018-01-31,139.77
2018-01-30,140.00
2018-01-29,140.08
2018-01-28,140.03
2018-01-27,140.05
2018-01-26,140.23
2018-01-25,140.29
2018-01-24,140.11
2018-01-23,139.75
2018-01-22,139.59
2018-01-21,139.49
2018-01-20,139.53
2018-01-19,139.64
2018-01-18,139.84
2018-01-17,139.96
2018-01-16,139.96
2018-01-15,139.74
2018-01-14,139.84
2018-01-13,139.86
2018-01-12,139.69
2018-01-11,139.41
2018-01-10,139.38
2018-01-09,139.55
2018-01-08,139.55
2018-01-07,139.47
2018-01-06,139.64
2018-01-05,139.67
2018-01-04,139.70
2018-01-03,139.80
2018-01-02,139.88
2018-01-01,139.94
2017-12-31,139.72
2017-12-30,139.61
2017-12-29,139.72
2017-12-28,139.80
2017-12-27,139.81
2017-12-26,139.68
2017-12-25,139.76
2017-12-24,139.71
2017-12-23,139.68
2017-12-22,139.48
2017-12-21,139.47
2017-12-20,139.53
2017-12-19,139.56
2017-12-18,139.57
2017-12-17,139.51
2017-12-16,139.58
2017-12-15,139.68
2017-12-14,139.51
2017-12-13,139.61
2017-12-12,139.78
2017-12-11,139.79
2017-12-10,139.83
2017-12-09,139.73
2017-12-08,139.76
2017-12-07,139.84
2017-12-06,139.84
2017-12-05,139.72
2017-12-04,139.54
2017-12-03,139.64
2017-12-02,139.66
2017-12-01,139.72
2017-11-30,139.76
2017-11-29,139.76
2017-11-28,139.63
2017-11-27,139.73
2017-11-26,139.80
2017-11-25,139.59
2017-11-24,139.63
2017-11-23,139.81
2017-11-22,139.87
2017-11-21,139.62
2017-11-20,139.80
2017-11-19,139.93
2017-11-18,139.63
2017-11-17,139.55
2017-11-16,139.65
2017-11-15,139.59
2017-11-14,139.70
2017-11-13,139.82
2017-11-12,139.76
2017-11-11,139.76
2017-11-10,139.87
2017-11-09,139.89
2017-11-08,139.89
2017-11-07,139.77
2017-11-06,139.68
2017-11-05,139.64
2017-11-04,139.67
2017-11-03,139.68
2017-11-02,139.58
2017-11-01,139.57
2017-10-31,139.73
2017-10-30,139.68
2017-10-29,139.78
2017-10-28,139.82
2017-10-27,139.71
2017-10-26,139.60
2017-10-25,139.89
2017-10-24,139.96
2017-10-23,139.88
2017-10-22,139.86
2017-10-21,139.64
2017-10-20,139.69
2017-10-19,139.74
2017-10-18,139.75
2017-10-17,139.86
2017-10-16,139.93
2017-10-15,139.80
2017-10-14,139.68
2017-10-13,139.70
2017-10-12,139.74
2017-10-11,139.80
2017-10-10,139.77
2017-10-09,139.47
2017-10-08,139.50
2017-10-07,139.55
2017-10-06,139.69
2017-10-05,139.84
2017-10-04,139.90
2017-10-03,139.81
2017-10-02,139.88
2017-10-01,140.01
2017-09-30,140.08
2017-09-29,140.10
2017-09-28,140.11
2017-09-27,140.11
2017-09-26,140.10
2017-09-25,140.12
2017-09-24,140.13
2017-09-23,140.12
2017-09-22,140.18
