datetime,water_level(ft below land surface)
2018-02-08,869.81
2018-02-07,869.81
2018-02-06,869.81
2018-02-05,869.81
2018-02-04,869.81
2018-02-03,869.81
2018-02-02,869.81
2018-02-01,827.26
2018-01-31,828.80
2018-01-30,828.63
2018-01-29,833.06
2018-01-28,830.47
2018-01-27,828.67
2018-01-26,829.33
2018-01-25,833.04
2018-01-24,827.52
2018-01-23,831.02
2018-01-22,831.05
2018-01-21,833.82
2018-01-20,832.54
2018-01-19,830.04
2018-01-18,830.10
2018-01-17,831.42
2018-01-16,830.37
2018-01-15,832.78
2018-01-14,832.83
2018-01-13,830.28
2018-01-12,836.32
2018-01-11,836.75
2018-01-10,833.66
2018-01-09,839.53
2018-01-08,834.23
2018-01-07,841.25
2018-01-06,838.57
2018-01-05,844.42
2018-01-04,844.66
2018-01-03,847.13
2018-01-02,842.21
2018-01-01,838.18
2017-12-31,837.66
2017-12-30,837.90
2017-12-29,834.48
2017-12-28,834.32
2017-12-27,838.88
2017-12-26,834.05
2017-12-25,836.65
2017-12-24,832.15
2017-12-23,834.74
2017-12-22,834.49
2017-12-21,833.68
2017-12-20,834.70
2017-12-19,837.74
2017-12-18,842.37
2017-12-17,837.51
2017-12-16,839.36
2017-12-15,844.28
2017-12-14,842.70
2017-12-13,849.25
2017-12-12,848.59
2017-12-11,848.67
2017-10-03,907.84
2017-10-02,908.46
2017-10-01,901.01
2017-09-30,904.45
2017-09-29,909.03
2017-09-28,909.64
2017-09-27,920.70
2017-09-26,920.48
2017-09-25,920.62
2017-09-24,914.62
2017-09-23,918.47
2017-09-22,917.35
2017-09-21,919.94
2017-09-20,917.55
2017-09-19,920.66
2017-09-18,919.85
2017-09-17,918.20
2017-09-16,917.61
2017-09-15,916.71
2017-09-14,917.14
2017-09-13,915.64
2017-09-12,916.24
2017-09-11,915.66
2017-09-10,914.39
2017-09-09,912.45
2017-09-08,907.13
2017-09-07,909.47
2017-09-06,909.36
2017-09-05,906.28
2017-09-04,903.61
2017-09-03,899.06
2017-09-02,894.16
2017-09-01,888.98
2017-08-31,890.55
2017-08-30,887.03
2017-08-29,887.39
2017-08-28,893.97
2017-08-27,894.66
2017-08-26,897.01
2017-08-25,902.16
2017-08-24,906.37
2017-08-23,911.06
2017-08-22,909.44
2017-08-21,909.39
2017-08-20,909.69
2017-08-19,909.88
2017-08-18,908.15
2017-08-17,911.21
2017-08-16,909.19
2017-08-15,906.41
2017-08-14,905.52
2017-08-13,900.59
2017-08-12,897.77
2017-08-11,899.94
2017-08-10,896.03
2017-08-09,898.60
2017-08-08,899.93
2017-08-07,901.68
2017-08-06,907.09
2017-08-05,912.16
2017-08-04,913.63
2017-08-03,910.66
2017-08-02,917.28
2017-08-01,917.63
2017-07-31,916.07
2017-07-30,914.87
2017-07-29,912.66
2017-07-28,909.87
2017-07-27,909.52
2017-07-26,907.24
2017-07-25,904.80
2017-07-24,909.46
2017-07-23,908.85
2017-07-22,907.84
2017-07-21,906.13
2017-07-20,901.41
2017-07-19,906.68
2017-07-18,904.18
2017-07-17,901.50
2017-07-16,901.66
2017-07-15,898.54
2017-07-14,897.22
2017-07-13,896.69
2017-07-12,896.79
2017-07-11,895.62
2017-07-10,892.76
2017-07-09,895.66
2017-07-08,893.37
2017-07-07,890.22
2017-07-06,890.82
2017-07-05,889.01
2017-07-04,891.01
2017-07-03,890.26
2017-07-02,886.75
2017-07-01,893.71
2017-06-30,893.50
2017-06-29,888.07
2017-06-28,887.92
2017-06-27,888.12
2017-06-26,891.87
2017-06-25,887.73
2017-06-24,894.87
2017-06-23,898.46
2017-06-22,898.80
2017-06-21,902.91
2017-06-20,903.48
2017-06-19,902.07
2017-06-18,901.61
2017-06-17,901.30
2017-06-16,898.13
2017-06-15,895.66
2017-06-14,895.21
2017-06-13,892.95
2017-06-12,891.07
2017-06-11,886.27
2017-06-10,886.35
2017-06-09,884.64
2017-06-08,883.23
2017-06-07,882.35
2017-06-06,879.78
2017-06-05,881.74
2017-06-04,881.19
2017-06-03,886.25
2017-06-02,887.84
2017-06-01,883.97
2017-05-31,884.65
2017-05-30,891.80
2017-05-07,880.16
2017-05-06,877.65
2017-05-05,874.48
2017-05-04,872.07
2017-05-03,871.35
2017-05-02,869.44
2017-05-01,869.02
2017-04-30,868.33
2017-04-29,868.31
2017-04-28,867.70
2017-04-27,864.03
2017-04-26,864.05
2017-04-25,863.17
2017-04-24,858.82
2017-04-23,856.16
2017-04-22,858.89
2017-04-21,857.30
2017-04-20,855.25
2017-04-19,855.75
2017-04-18,859.38
2017-04-17,858.83
2017-04-16,856.88
2017-04-15,854.62
2017-04-14,856.42
2017-04-13,856.63
2017-04-12,860.15
2017-04-11,862.20
2017-04-10,861.84
2017-04-09,861.41
2017-04-08,860.73
2017-04-07,860.28
2017-04-06,859.72
2017-04-05,857.24
2017-04-04,859.85
2017-04-03,861.95
2017-04-02,861.44
2017-04-01,859.86
2017-03-31,855.74
2017-03-30,851.37
2017-03-29,862.35
2017-03-28,863.18
2017-03-27,862.86
2017-03-26,862.86
2017-03-25,862.84
2017-03-24,863.19
2017-03-23,862.43
2017-03-22,859.51
2017-03-21,859.14
2017-03-20,858.11
2017-03-19,857.01
2017-03-18,854.93
2017-03-17,853.26
2017-03-16,852.00
2017-03-15,849.20
2017-03-14,847.13
2017-03-13,849.32
2017-03-12,849.77
2017-03-11,851.15
2017-03-10,850.74
2017-03-09,852.94
2017-03-08,856.81
2017-03-07,858.93
2017-03-06,857.59
2017-03-05,858.49
2017-03-04,862.23
2017-03-03,861.19
2017-03-02,862.88
2017-03-01,863.89
2017-02-28,864.28
2017-02-27,865.72
2017-02-26,866.94
2017-02-25,865.36
2017-02-24,865.25
2017-02-23,861.72
2017-02-22,860.37
2017-02-21,857.08
2017-02-20,858.81
2017-02-19,858.38
2017-02-18,853.45
2017-02-17,855.59
2017-02-16,855.27
2017-02-15,855.63
2017-02-14,857.13
2017-02-13,860.32
2017-02-12,860.62
2017-02-11,856.38
2017-02-10,857.77
2017-02-09,861.78
2017-02-08,861.26
2017-02-07,862.83
2017-02-06,863.42
2017-02-05,859.45
2017-02-04,856.80
2017-02-03,859.29
2017-02-02,859.06
2017-02-01,861.18
2017-01-31,860.72
2017-01-30,861.32
2017-01-29,859.14
2017-01-28,856.26
2017-01-27,857.84
2017-01-26,855.92
2017-01-25,858.43
2017-01-24,856.93
2017-01-23,860.08
2017-01-22,858.04
2017-01-21,858.32
2017-01-20,856.94
2017-01-19,857.48
2017-01-18,858.67
2017-01-17,860.78
2017-01-16,862.30
2017-01-15,862.23
2017-01-14,860.64
2017-01-13,863.57
2017-01-12,866.06
2017-01-11,864.05
2017-01-10,862.41
2017-01-09,862.03
2017-01-08,864.85
2017-01-07,858.38
2017-01-06,864.58
2017-01-05,865.10
2017-01-04,863.88
2017-01-03,866.23
2017-01-02,866.10
2017-01-01,866.55
2016-12-31,868.73
2016-12-30,869.20
2016-12-29,872.23
2016-12-28,870.66
2016-12-27,867.59
2016-12-26,868.22
2016-12-25,870.06
2016-12-24,867.21
2016-12-22,877.44
2016-12-21,875.94
2016-12-20,873.12
2016-12-19,875.58
2016-12-18,875.40
2016-12-17,871.28
2016-12-16,876.77
2016-12-15,871.82
2016-12-14,877.96
2016-12-13,874.41
2016-12-12,878.94
2016-12-11,878.47
2016-12-10,871.33
2016-12-09,872.56
2016-12-08,869.07
2016-12-07,863.70
2016-12-06,870.32
2016-12-05,880.93
2016-12-04,880.34
2016-12-03,877.24
2016-12-02,884.20
2016-12-01,887.60
2016-11-30,891.25
2016-11-29,891.84
2016-11-28,890.90
2016-11-27,889.33
2016-11-26,888.87
2016-11-25,890.44
2016-11-24,892.65
2016-11-23,887.74
2016-11-22,894.75
2016-11-21,896.88
2016-11-20,895.58
2016-11-19,896.24
2016-11-18,898.12
2016-11-17,897.35
2016-11-16,897.98
2016-11-15,897.29
2016-11-14,898.83
2016-11-13,898.60
2016-11-12,899.47
2016-11-11,899.82
2016-11-10,899.97
2016-11-09,903.58
2016-11-08,903.99
2016-11-07,904.85
2016-11-06,905.29
2016-11-05,907.68
2016-11-04,911.53
2016-11-03,913.85
2016-11-02,915.03
2016-11-01,922.93
2016-10-31,926.61
2016-10-30,924.59
2016-10-29,927.43
2016-10-28,925.57
2016-10-27,924.71
2016-10-26,923.43
2016-10-25,922.26
2016-10-24,918.03
2016-10-23,913.80
2016-10-22,911.62
2016-10-21,914.63
2016-10-20,913.95
2016-10-19,914.00
2016-10-18,913.80
2016-10-17,915.14
2016-10-16,911.23
2016-10-15,911.38
2016-10-14,915.78
2016-10-13,915.58
2016-10-12,914.66
2016-10-11,914.73
2016-10-10,915.02
2016-10-09,912.21
2016-10-08,915.33
2016-10-07,919.51
2016-10-06,920.30
2016-10-05,916.50
2016-10-04,916.61
2016-10-03,915.24
2016-10-02,912.40
2016-10-01,911.77
2016-09-30,911.21
2016-09-29,910.00
2016-09-28,909.79
2016-09-27,909.18
2016-09-26,911.88
2016-09-25,917.42
2016-09-24,922.98
2016-09-23,923.95
2016-09-22,922.94
2016-09-21,921.49
2016-09-20,919.64
2016-09-19,917.51
2016-09-18,915.01
2016-09-17,913.38
2016-09-16,909.18
2016-09-15,909.97
2016-09-14,909.49
2016-09-13,909.55
2016-09-12,907.95
2016-09-11,903.07
2016-09-10,899.25
2016-09-09,899.51
2016-09-08,902.83
2016-09-07,901.32
2016-09-06,899.02
2016-09-05,902.11
2016-09-04,898.47
2016-09-03,899.30
2016-09-02,897.95
2016-09-01,896.35
2016-08-31,896.41
2016-08-30,897.47
2016-08-29,901.82
2016-08-28,900.00
2016-08-27,898.26
2016-08-26,898.93
2016-08-25,898.97
2016-08-24,899.40
2016-08-23,900.90
2016-08-22,902.46
2016-08-21,903.24
2016-08-20,906.01
2016-08-19,904.95
2016-08-18,907.27
2016-08-17,910.37
2016-08-16,913.36
2016-08-15,921.68
2016-08-14,924.32
2016-08-13,924.83
2016-08-12,923.55
2016-08-11,923.76
2016-08-10,922.13
2016-08-09,920.51
2016-08-08,918.92
2016-08-07,916.68
2016-08-06,915.67
2016-08-05,915.19
2016-08-04,914.86
2016-08-03,914.09
2016-08-02,911.76
2016-08-01,908.24
2016-07-31,908.69
2016-07-30,908.14
2016-07-29,905.93
2016-07-28,906.12
2016-07-27,909.31
2016-07-26,908.62
2016-07-25,907.41
2016-07-24,906.17
2016-07-23,904.77
2016-07-22,901.41
2016-07-21,901.29
2016-07-20,899.18
2016-07-19,899.58
2016-07-18,899.83
2016-07-17,899.93
2016-07-16,899.76
2016-07-15,898.94
2016-07-14,895.77
2016-07-13,891.40
2016-07-12,887.85
2016-07-11,891.93
2016-07-10,890.70
2016-07-09,886.72
2016-07-08,881.26
2016-07-07,874.75
2016-07-06,880.02
2016-07-05,881.60
2016-07-04,878.43
2016-07-03,876.55
2016-07-02,874.46
2016-07-01,872.72
2016-06-30,871.42
2016-06-29,869.95
2016-06-28,867.87
2016-06-27,863.69
2016-06-26,860.34
2016-06-25,858.52
2016-06-24,854.58
2016-06-23,850.56
2016-06-22,846.36
2016-06-21,843.42
2016-06-20,841.00
2016-06-19,838.30
2016-06-18,833.55
2016-06-17,833.05
2016-06-16,833.16
2016-06-15,831.52
2016-06-14,833.53
2016-06-13,832.58
2016-06-12,833.40
2016-06-11,829.40
2016-06-10,831.50
2016-06-09,827.51
2016-06-08,828.67
2016-06-07,825.32
2016-06-06,824.78
2016-06-05,822.50
2016-06-04,820.23
2016-06-03,823.45
2016-06-02,821.54
2016-06-01,824.10
2016-05-31,825.93
2016-05-30,824.04
2016-05-29,822.40
2016-05-28,821.46
2016-05-27,823.59
2016-05-26,826.76
2016-05-25,826.98
2016-05-24,827.14
2016-05-23,826.80
2016-05-22,825.78
2016-05-21,826.66
2016-05-20,827.26
2016-05-19,833.11
2016-05-18,835.01
2016-05-17,838.55
2016-05-16,843.26
2016-05-15,843.32
2016-05-14,843.87
2016-05-13,844.67
2016-05-12,844.07
2016-05-11,846.88
2016-05-10,850.67
2016-05-09,852.54
2016-05-08,852.18
2016-05-07,853.93
2016-05-06,850.62
2016-05-05,848.03
2016-05-04,844.31
2016-05-03,842.91
2016-05-02,836.91
2016-05-01,844.21
2016-04-30,846.16
2016-04-29,846.76
2016-04-28,846.68
2016-04-27,838.98
2016-04-26,831.50
2016-04-25,830.91
2016-04-24,830.53
2016-04-23,830.67
2016-04-22,831.44
2016-04-21,832.66
2016-04-20,834.26
2016-04-19,835.50
2016-04-18,836.69
2016-04-17,837.63
2016-04-16,838.47
2016-04-15,841.11
2016-04-14,839.58
2016-04-13,839.82
2016-04-12,840.90
2016-04-11,840.71
2016-04-10,841.07
2016-04-09,841.15
2016-04-08,840.31
2016-04-07,839.41
2016-04-06,838.19
2016-04-05,836.34
2016-04-04,835.89
2016-04-03,835.43
2016-04-02,835.88
2016-04-01,836.39
2016-03-31,836.34
2016-03-30,836.59
2016-03-29,836.22
2016-03-28,835.70
2016-03-27,835.75
2016-03-26,835.89
2016-03-25,835.56
2016-03-24,835.45
2016-03-23,835.12
2016-03-22,834.89
2016-03-21,834.48
2016-03-20,834.04
2016-03-19,833.96
2016-03-18,833.96
2016-03-17,833.97
2016-03-16,834.08
2016-03-15,834.26
2016-03-14,834.81
2016-03-13,835.18
2016-03-12,834.60
2016-03-11,835.55
2016-03-10,837.18
2016-03-09,837.94
2016-03-08,836.72
2016-03-07,836.26
2016-03-06,836.79
2016-03-05,836.60
2016-03-04,836.21
2016-03-03,836.81
2016-03-02,837.60
2016-03-01,838.15
2016-02-29,838.14
2016-02-28,837.62
2016-02-27,837.45
2016-02-26,838.42
2016-02-25,839.51
2016-02-24,840.76
2016-02-23,842.21
2016-02-22,842.61
2016-02-21,843.30
2016-02-20,843.52
2016-02-19,844.03
2016-02-18,843.72
2016-02-17,843.05
2016-02-16,844.21
2016-02-15,844.34
2016-02-14,844.04
2016-02-13,844.58
2016-02-12,844.41
2016-02-11,844.02
2016-02-10,844.47
2016-02-09,848.93
2016-02-08,849.15
2016-02-07,845.51
2016-02-06,845.49
2016-02-05,847.72
2016-02-04,845.68
2016-02-03,849.46
2016-02-02,849.43
2016-02-01,856.32
2016-01-31,854.25
2016-01-30,851.99
2016-01-29,850.80
2016-01-28,848.45
2016-01-27,849.09
2016-01-26,850.40
2016-01-25,851.56
2016-01-24,852.02
2016-01-23,850.00
2016-01-22,848.14
2016-01-21,846.21
2016-01-20,847.77
2016-01-19,852.11
2016-01-18,853.61
2016-01-17,851.78
2016-01-16,850.62
2016-01-15,851.63
2016-01-14,851.29
2016-01-13,851.73
2016-01-12,852.16
2016-01-11,854.65
2016-01-10,853.76
2016-01-09,852.59
2016-01-08,853.71
2016-01-07,852.30
2016-01-06,854.41
2016-01-05,856.72
2016-01-04,857.83
2016-01-03,855.69
2016-01-02,856.24
2016-01-01,857.46
2015-12-31,858.27
2015-12-30,856.11
2015-12-29,855.01
2015-12-28,858.28
2015-12-27,860.79
2015-12-26,860.37
2015-12-25,863.87
2015-12-24,862.42
2015-12-23,864.17
2015-12-22,864.53
2015-12-21,866.47
2015-12-20,865.76
2015-12-19,869.44
2015-12-18,864.80
2015-12-17,861.01
2015-12-16,860.49
2015-12-15,861.11
2015-12-14,862.51
2015-12-13,860.53
2015-12-12,859.32
2015-12-11,861.29
2015-12-10,859.00
2015-12-09,858.92
2015-12-08,859.38
2015-12-07,861.75
2015-12-06,859.35
2015-12-05,855.49
2015-12-04,856.49
2015-12-03,856.92
2015-12-02,854.91
2015-12-01,856.99
2015-11-30,854.17
2015-11-29,854.37
2015-11-28,857.05
2015-11-27,857.35
2015-11-26,858.73
2015-11-25,859.77
2015-11-24,857.82
2015-11-23,862.48
2015-11-22,862.00
2015-11-21,863.12
2015-11-20,859.46
2015-11-19,860.33
2015-11-18,860.77
2015-11-17,865.35
2015-11-16,865.36
2015-11-15,865.10
2015-11-14,864.62
2015-11-13,863.28
2015-11-12,860.08
2015-11-11,861.16
2015-11-10,866.03
2015-11-09,871.24
2015-11-08,869.21
2015-11-07,871.29
2015-11-06,872.83
