datetime,water_level(ft below land surface)
2018-04-12,101.26
2018-04-02,101.26
2018-03-23,101.26
2018-03-13,101.26
2018-03-03,101.26
2018-02-21,101.26
2018-02-11,101.26
2018-02-01,100.12
2018-01-31,100.07
2018-01-30,100.07
2018-01-29,100.14
2018-01-28,100.23
2018-01-27,100.34
2018-01-26,100.43
2018-01-25,100.40
2018-01-24,100.38
2018-01-23,100.44
2018-01-22,100.49
2018-01-21,100.54
2018-01-20,100.57
2018-01-19,100.52
2018-01-18,100.41
2018-01-17,100.29
2018-01-16,100.30
2018-01-15,100.39
2018-01-14,100.39
2018-01-13,100.41
2018-01-12,100.50
2018-01-11,100.65
2018-01-10,100.71
2018-01-09,100.77
2018-01-08,100.86
2018-01-07,100.96
2018-01-06,101.01
2018-01-05,100.98
2018-01-04,100.91
2018-01-03,100.70
2018-01-02,100.55
2018-01-01,100.56
2017-12-31,100.64
2017-12-30,100.72
2017-12-29,100.73
2017-12-28,100.70
2017-12-27,100.75
2017-12-26,100.85
2017-12-25,100.94
2017-12-24,101.01
2017-12-23,101.06
2017-12-22,101.10
2017-12-21,101.18
2017-12-20,101.17
2017-12-19,101.25
2017-12-18,101.30
2017-12-17,101.36
2017-12-16,101.48
2017-12-15,101.54
2017-12-14,101.60
2017-12-13,101.60
2017-12-12,101.58
2017-12-11,101.61
2017-12-10,101.63
2017-12-09,101.70
2017-12-08,101.74
2017-12-07,101.80
2017-12-06,101.91
2017-12-05,102.02
2017-12-04,102.11
2017-12-03,102.19
2017-12-02,102.23
2017-12-01,102.25
2017-11-30,102.29
2017-11-29,102.34
2017-11-28,102.34
2017-11-27,102.34
2017-11-26,102.33
2017-11-25,102.39
2017-11-24,102.38
2017-11-23,102.28
2017-11-22,102.20
2017-11-21,102.26
2017-11-20,102.27
2017-11-19,102.30
2017-11-18,102.42
2017-11-17,102.50
2017-11-16,102.52
2017-11-15,102.48
2017-11-14,102.42
2017-11-13,102.40
2017-11-12,102.38
2017-11-11,102.38
2017-11-10,102.42
2017-11-09,102.45
2017-11-08,102.52
2017-11-07,102.58
2017-11-06,102.55
2017-11-05,102.55
2017-11-04,102.62
2017-11-03,102.69
2017-11-02,102.72
2017-11-01,102.77
2017-10-31,102.91
2017-10-30,102.91
2017-10-29,102.89
2017-10-28,102.90
2017-10-27,102.95
2017-10-26,102.98
2017-10-25,102.93
2017-10-24,102.94
2017-10-23,102.98
2017-10-22,103.06
2017-10-21,103.18
2017-10-20,103.23
2017-10-19,103.27
2017-10-18,103.37
2017-10-17,103.42
2017-10-16,103.39
2017-10-15,103.36
2017-10-14,103.30
2017-10-13,103.14
2017-10-12,103.04
2017-10-11,103.03
2017-10-10,103.06
2017-10-09,103.09
2017-10-08,103.08
2017-10-07,103.10
2017-10-06,103.15
2017-10-05,103.17
2017-10-04,103.22
2017-10-03,103.27
2017-10-02,103.32
2017-10-01,103.29
2017-09-30,103.24
2017-09-29,103.15
2017-09-28,103.10
2017-09-27,103.13
2017-09-26,103.12
2017-09-25,103.12
2017-09-24,103.11
2017-09-23,103.10
2017-09-22,103.12
2017-09-21,103.14
2017-09-20,103.16
2017-09-19,103.23
2017-09-18,104.77
2017-09-17,106.70
2017-09-16,106.42
2017-09-15,106.43
2017-09-14,106.26
2017-09-13,106.19
2017-09-12,106.10
2017-09-11,106.05
2017-09-10,106.01
2017-09-09,105.92
2017-09-08,102.81
2017-09-07,101.71
2017-09-06,101.67
2017-09-05,101.67
2017-09-04,101.64
2017-09-03,101.63
2017-09-02,101.61
2017-09-01,101.58
2017-08-31,101.60
2017-08-30,101.66
2017-08-29,101.52
2017-08-28,101.61
2017-08-27,102.37
2017-08-26,103.10
2017-08-25,103.39
2017-08-24,103.48
2017-08-23,103.52
2017-08-22,103.45
2017-08-21,103.35
2017-08-20,103.22
2017-08-19,103.05
2017-08-18,102.88
2017-08-17,102.74
2017-08-16,102.67
2017-08-15,102.60
2017-08-14,102.56
2017-08-13,102.54
2017-08-12,102.52
2017-08-11,102.47
2017-08-10,102.45
2017-08-09,102.50
2017-08-08,102.59
2017-08-07,102.78
2017-08-06,102.79
2017-08-05,102.85
2017-08-04,102.93
2017-08-03,102.97
2017-08-02,103.06
2017-08-01,103.00
2017-07-31,102.87
2017-07-30,102.79
2017-07-29,102.70
2017-07-28,102.55
2017-07-27,102.35
2017-07-26,102.24
2017-07-25,102.13
2017-07-24,102.08
2017-07-23,102.06
2017-07-22,102.04
2017-07-21,101.99
2017-07-20,101.89
2017-07-19,101.85
2017-07-18,101.82
2017-07-17,101.81
2017-07-16,101.77
2017-07-15,101.77
2017-07-14,101.76
2017-07-13,101.81
2017-07-12,101.83
2017-07-11,101.90
2017-07-10,102.05
2017-07-09,102.29
2017-07-08,102.19
2017-07-07,102.10
2017-07-06,102.07
2017-07-05,102.11
2017-07-04,102.20
2017-07-03,102.12
2017-07-02,102.00
2017-07-01,101.92
2017-06-30,101.86
2017-06-29,101.86
2017-06-28,101.86
2017-06-27,101.84
2017-06-26,101.85
2017-06-25,108.66
2017-06-24,102.00
2017-06-23,102.01
2017-06-22,102.12
2017-06-21,102.25
2017-06-20,102.23
2017-06-19,102.06
2017-06-18,101.88
2017-06-17,108.47
2017-06-16,101.63
2017-06-15,101.60
2017-06-14,101.50
2017-06-13,101.42
2017-06-12,101.35
2017-06-11,101.30
2017-06-10,101.24
2017-06-09,101.18
2017-06-08,101.08
2017-06-07,101.04
2017-06-06,101.02
2017-06-05,101.10
2017-06-04,101.26
2017-06-03,101.38
2017-06-02,101.43
2017-06-01,101.50
2017-05-31,101.45
2017-05-30,101.41
2017-05-29,101.44
2017-05-28,101.46
2017-05-27,101.44
2017-05-26,101.44
2017-05-25,101.45
2017-05-24,101.57
2017-05-23,101.76
2017-05-22,101.99
2017-05-21,102.09
2017-05-20,102.10
2017-05-19,101.96
2017-05-18,101.83
2017-05-17,101.63
2017-05-16,101.44
2017-05-15,101.25
2017-05-14,101.17
2017-05-13,101.15
2017-05-12,101.18
2017-05-11,101.36
2017-05-10,101.60
2017-05-09,101.57
2017-05-08,101.45
2017-05-07,101.27
2017-05-06,101.17
2017-05-05,101.09
2017-05-04,100.99
2017-05-03,100.91
2017-05-02,100.81
2017-05-01,100.39
2017-04-30,100.33
2017-04-29,100.30
2017-04-28,100.24
2017-04-27,100.23
2017-04-26,100.01
2017-04-25,99.88
2017-04-24,99.86
2017-04-23,99.94
2017-04-22,99.94
2017-04-21,99.83
2017-04-20,99.80
2017-04-19,99.83
2017-04-18,99.87
2017-04-17,99.90
2017-04-16,99.94
2017-04-15,99.96
2017-04-14,100.02
2017-04-13,100.06
2017-04-12,99.93
2017-04-11,99.98
2017-04-10,100.02
2017-04-09,99.95
2017-04-08,99.92
2017-04-07,99.94
2017-04-06,99.93
2017-04-05,99.85
2017-04-04,99.78
2017-04-03,99.81
2017-04-02,99.90
2017-04-01,100.01
2017-03-31,100.04
2017-03-30,100.12
2017-03-29,100.06
2017-03-28,99.98
2017-03-27,99.95
2017-03-26,99.93
2017-03-25,99.98
2017-03-24,100.05
2017-03-23,100.11
2017-03-22,99.95
2017-03-21,99.83
2017-03-20,99.82
2017-03-19,99.79
2017-03-18,99.72
2017-03-17,99.65
2017-03-16,99.67
2017-03-15,99.72
2017-03-14,99.74
2017-03-13,99.73
2017-03-12,99.79
2017-03-11,99.86
2017-03-10,99.91
2017-03-09,99.88
2017-03-08,99.92
2017-03-07,99.94
2017-03-06,99.95
2017-03-05,100.03
2017-03-04,100.14
2017-03-03,100.20
2017-03-02,100.12
2017-03-01,100.01
2017-02-28,99.95
2017-02-27,99.96
2017-02-26,99.97
2017-02-25,100.00
2017-02-24,99.97
2017-02-23,99.93
2017-02-22,99.93
2017-02-21,100.03
2017-02-20,100.11
2017-02-19,100.19
2017-02-18,100.21
2017-02-17,100.29
2017-02-16,100.38
2017-02-15,100.44
2017-02-14,100.42
2017-02-13,100.47
2017-02-12,100.50
2017-02-11,100.53
2017-02-10,100.62
2017-02-09,100.70
2017-02-08,100.66
2017-02-07,100.66
2017-02-06,100.63
2017-02-05,100.62
2017-02-04,100.71
2017-02-03,100.77
2017-02-02,100.79
2017-02-01,100.81
2017-01-31,100.84
2017-01-30,100.90
2017-01-29,100.92
2017-01-28,100.97
2017-01-27,101.04
2017-01-26,101.07
2017-01-25,101.03
2017-01-24,101.05
2017-01-23,101.13
2017-01-22,101.13
2017-01-21,101.16
2017-01-20,101.26
2017-01-19,101.36
2017-01-18,101.49
2017-01-17,101.67
2017-01-16,101.78
2017-01-15,101.92
2017-01-14,102.05
2017-01-13,102.15
2017-01-12,102.11
2017-01-11,102.00
2017-01-10,101.99
2017-01-09,102.05
2017-01-08,102.13
2017-01-07,102.14
2017-01-06,102.16
2017-01-05,102.21
2017-01-04,102.28
2017-01-03,102.38
2017-01-02,102.43
2017-01-01,102.55
2016-12-31,102.65
2016-12-30,102.80
2016-12-29,102.80
2016-12-28,102.73
2016-12-27,102.75
2016-12-26,102.78
2016-12-25,102.83
2016-12-24,102.89
2016-12-23,102.94
2016-12-22,103.00
2016-12-21,103.03
2016-12-20,103.05
2016-12-19,103.10
2016-12-18,103.08
2016-12-17,103.02
2016-12-16,103.09
2016-12-15,103.18
2016-12-14,103.21
2016-12-13,103.24
2016-12-12,103.24
2016-12-11,103.27
2016-12-10,103.37
2016-12-09,103.47
2016-12-08,103.51
2016-12-07,103.48
