datetime,water_level(ft below land surface)
2018-02-07,402.26
2018-02-06,402.26
2018-02-05,402.27
2018-02-04,402.27
2018-02-03,402.27
2018-02-02,402.27
2018-02-01,402.27
2018-01-31,382.74
2018-01-30,382.84
2018-01-29,382.87
2018-01-28,382.94
2018-01-27,382.97
2018-01-26,382.93
2018-01-25,383.05
2018-01-24,383.01
2018-01-23,383.01
2018-01-22,431.96
2018-01-21,432.01
2018-01-20,431.89
2018-01-19,431.82
2018-01-18,431.91
2018-01-17,383.10
2018-01-16,383.21
2018-01-15,383.17
2018-01-14,383.25
2018-01-13,383.32
2018-01-12,383.38
2018-01-11,383.50
2018-01-10,383.31
2018-01-09,383.38
2018-01-08,383.43
2018-01-07,383.42
2018-01-06,410.67
2018-01-05,410.65
2018-01-04,410.62
2018-01-03,410.59
2018-01-02,410.61
2018-01-01,410.80
2017-12-31,410.91
2017-12-30,410.76
2017-12-29,410.86
2017-12-28,411.06
2017-12-27,411.16
2017-12-26,411.07
2017-12-25,411.13
2017-12-24,391.80
2017-12-23,391.85
2017-12-22,391.88
2017-12-21,391.85
2017-12-20,391.89
2017-12-19,391.99
2017-12-18,438.94
2017-12-17,438.88
2017-12-16,438.90
2017-12-15,438.84
2017-12-14,372.44
2017-12-13,411.32
2017-12-12,411.43
2017-12-11,411.42
2017-12-10,411.52
2017-12-09,411.57
2017-12-08,438.80
2017-12-07,411.96
2017-12-06,439.22
2017-12-05,438.77
2017-12-04,411.81
2017-12-03,411.84
2017-12-02,438.65
2017-12-01,411.75
2017-11-30,411.86
2017-11-29,411.94
2017-11-28,411.85
2017-11-27,411.74
2017-11-26,411.85
2017-11-25,411.96
2017-11-24,412.06
2017-11-23,412.04
2017-11-22,412.18
2017-11-21,412.33
2017-11-20,412.30
2017-11-19,438.81
2017-11-18,412.50
2017-11-17,412.50
2017-11-16,412.47
2017-11-15,412.49
2017-11-14,412.64
2017-11-13,412.77
2017-11-12,412.90
2017-11-11,412.73
2017-11-10,412.76
2017-11-09,412.84
2017-11-08,412.94
2017-11-07,412.83
2017-11-06,412.79
2017-11-05,412.75
2017-11-04,412.70
2017-11-03,412.75
2017-11-02,412.85
2017-11-01,412.85
2017-10-31,412.89
2017-10-30,412.83
2017-10-29,393.45
2017-10-28,393.51
2017-10-27,393.58
2017-10-26,393.58
2017-10-25,393.66
2017-10-24,393.72
2017-10-23,393.73
2017-10-22,393.82
2017-10-21,393.87
2017-10-20,393.89
2017-10-19,393.92
2017-10-18,394.03
2017-10-17,415.56
2017-10-16,415.68
2017-10-15,416.00
2017-10-14,415.91
2017-10-13,415.96
2017-10-12,416.01
2017-10-11,415.97
2017-10-10,415.97
2017-10-09,416.00
2017-10-08,415.93
2017-10-07,377.63
2017-10-06,415.90
2017-10-05,415.89
2017-10-04,416.03
2017-10-03,416.06
2017-10-02,416.02
2017-10-01,416.11
2017-09-30,416.61
2017-09-29,416.90
2017-09-28,417.12
2017-09-27,417.42
2017-09-26,417.22
2017-09-25,417.25
2017-09-24,417.10
2017-09-23,378.77
2017-09-22,416.89
2017-09-21,416.88
2017-09-20,395.27
2017-09-19,395.18
2017-09-18,395.66
2017-09-17,397.06
2017-09-16,397.25
2017-09-15,397.36
2017-09-14,397.28
2017-09-13,397.22
2017-09-12,397.15
2017-09-11,397.11
2017-09-10,397.08
2017-09-09,396.97
2017-09-08,396.85
2017-09-07,386.16
2017-09-06,409.30
2017-09-05,409.15
2017-09-04,409.06
2017-09-03,409.07
2017-09-02,409.21
2017-09-01,409.30
2017-08-31,409.14
2017-08-30,408.92
2017-08-29,409.04
2017-08-28,409.11
2017-08-27,409.32
2017-08-26,409.67
2017-08-25,409.81
2017-08-24,409.97
2017-08-23,410.91
2017-08-22,411.58
2017-08-21,411.74
2017-08-20,367.37
2017-08-19,383.14
2017-08-18,367.53
2017-08-17,383.12
2017-08-16,383.08
2017-08-15,383.01
2017-08-14,382.91
2017-08-13,367.27
2017-08-12,382.82
2017-08-11,382.87
2017-08-10,367.11
2017-08-09,382.78
2017-08-08,366.52
2017-08-07,409.96
2017-08-06,410.05
2017-08-05,419.07
2017-08-04,419.57
2017-08-03,419.61
2017-08-02,419.24
2017-08-01,420.09
2017-07-31,398.48
2017-07-30,398.41
2017-07-29,362.26
2017-07-28,398.24
2017-07-27,398.24
2017-07-26,361.98
2017-07-25,397.81
2017-07-24,418.47
2017-07-23,418.57
2017-07-22,418.63
2017-07-21,418.92
2017-07-20,398.07
2017-07-19,398.04
2017-07-18,397.98
2017-07-17,398.00
2017-07-16,398.06
2017-07-15,397.97
2017-07-14,397.98
2017-07-13,397.93
2017-07-12,397.76
2017-07-11,397.64
2017-07-10,397.52
2017-07-09,397.63
2017-07-08,397.64
2017-07-07,360.82
2017-07-06,396.73
2017-07-05,396.87
2017-07-04,396.88
2017-07-03,396.76
2017-07-02,396.79
2017-07-01,396.76
2017-06-30,396.73
2017-06-29,397.32
2017-06-28,397.57
2017-06-27,397.55
2017-06-26,397.41
2017-06-25,397.43
2017-06-24,397.49
2017-06-23,397.38
2017-06-22,396.40
2017-06-21,396.19
2017-06-20,396.27
2017-06-19,396.29
2017-06-18,396.10
2017-06-17,395.99
2017-06-16,396.08
2017-06-15,359.82
2017-06-14,385.22
2017-06-13,342.90
2017-06-12,395.77
2017-06-11,385.56
2017-06-10,396.79
2017-06-09,396.68
2017-06-08,396.58
2017-06-07,396.60
2017-06-06,395.94
2017-06-05,395.54
2017-06-04,395.62
2017-06-03,395.69
2017-06-02,395.96
2017-06-01,396.03
2017-05-31,395.89
2017-05-30,395.92
2017-05-29,395.90
2017-05-28,395.92
2017-05-27,374.99
2017-05-26,359.84
2017-05-25,359.53
2017-05-24,395.74
2017-05-23,359.50
2017-05-22,359.46
2017-05-21,395.84
2017-05-20,395.92
2017-05-19,395.98
2017-05-18,395.87
2017-05-17,395.66
2017-05-16,359.26
2017-05-15,395.37
2017-05-14,395.40
2017-05-13,395.44
2017-05-12,395.33
2017-05-11,395.28
2017-05-10,395.11
2017-05-09,395.08
2017-05-08,395.00
2017-05-07,394.99
2017-05-06,395.03
2017-05-05,394.88
2017-05-04,394.88
2017-05-03,394.92
2017-05-02,394.81
2017-05-01,394.70
2017-04-30,394.63
2017-04-29,394.64
2017-04-28,394.48
2017-04-27,394.35
2017-04-26,394.21
2017-04-25,394.10
2017-04-24,394.00
2017-04-23,393.91
2017-04-22,393.72
2017-04-21,393.58
2017-04-20,393.49
2017-04-19,393.81
2017-04-18,394.35
2017-04-17,394.40
2017-04-16,394.50
2017-04-15,394.45
2017-04-14,394.42
2017-04-13,394.41
2017-04-12,344.20
2017-04-11,290.14
2017-04-10,344.06
2017-04-09,290.13
2017-04-08,370.81
2017-04-07,370.21
2017-04-06,369.75
2017-04-05,325.77
2017-04-04,326.02
2017-04-03,370.14
2017-04-02,370.33
2017-04-01,370.16
2017-03-31,370.14
2017-03-30,370.29
2017-03-29,370.34
2017-03-28,326.29
2017-03-27,370.06
2017-03-26,326.02
2017-03-25,393.39
2017-03-24,393.38
