datetime,water_level(ft below land surface)
2018-03-07,286.20
2018-03-02,286.20
2018-02-25,286.20
2018-02-20,286.20
2018-02-15,286.20
2018-02-10,286.20
2018-02-05,286.20
2018-01-31,289.37
2018-01-30,289.55
2018-01-29,289.71
2018-01-28,289.61
2018-01-27,289.56
2018-01-26,289.40
2018-01-25,289.50
2018-01-24,289.56
2018-01-23,289.47
2018-01-22,289.30
2018-01-21,289.27
2018-01-20,289.33
2018-01-19,289.41
2018-01-18,289.59
2018-01-17,289.71
2018-01-16,289.76
2018-01-15,289.59
2018-01-14,289.58
2018-01-13,289.61
2018-01-12,289.47
2018-01-11,289.30
2018-01-10,289.19
2018-01-09,289.37
2018-01-08,289.46
2018-01-07,289.34
2018-01-06,289.50
2018-01-05,289.52
2018-01-04,289.54
2018-01-03,289.61
2018-01-02,289.65
2018-01-01,289.68
2017-12-31,289.52
2017-12-30,289.41
2017-12-29,289.39
2017-12-28,289.45
2017-12-27,289.50
2017-12-26,289.38
2017-12-25,289.33
2017-12-24,289.34
2017-12-23,289.25
2017-12-22,289.22
2017-12-21,289.11
2017-12-20,289.21
2017-12-19,289.26
2017-12-18,289.27
2017-12-17,289.22
2017-12-16,289.23
2017-12-15,289.39
2017-12-14,289.36
2017-12-13,289.32
2017-12-12,289.48
2017-12-11,289.46
2017-12-10,289.46
2017-12-09,289.39
2017-12-08,289.38
2017-12-07,289.49
2017-12-06,289.44
2017-12-05,289.27
2017-12-04,288.92
2017-12-03,289.01
2017-12-02,289.06
2017-12-01,289.09
2017-11-30,289.15
2017-11-29,289.12
2017-11-28,288.99
2017-11-27,289.00
2017-11-26,289.11
2017-11-25,289.04
2017-11-24,288.95
2017-11-23,289.10
2017-11-22,289.15
2017-11-21,289.00
2017-11-20,288.99
2017-11-19,289.10
2017-11-18,288.98
2017-11-17,288.90
2017-11-16,289.03
2017-11-15,289.02
2017-11-14,289.01
2017-11-13,289.12
2017-11-12,289.10
2017-11-11,288.99
2017-11-10,289.06
2017-11-09,289.09
2017-11-08,289.10
2017-11-07,289.03
2017-11-06,288.94
2017-11-05,288.89
2017-11-04,288.92
2017-11-03,288.96
2017-11-02,288.84
2017-11-01,288.81
2017-10-31,289.00
2017-10-30,288.98
2017-10-29,288.98
2017-10-28,289.06
2017-10-27,289.05
2017-10-26,288.86
2017-10-25,289.13
2017-10-24,289.21
2017-10-23,289.04
2017-10-22,289.00
2017-10-21,288.81
2017-10-20,288.92
2017-10-19,289.02
2017-10-18,289.03
2017-10-17,289.10
2017-10-16,289.19
2017-10-15,289.14
2017-10-14,288.89
2017-10-13,288.90
2017-10-12,288.93
2017-10-11,289.01
2017-10-10,289.01
2017-10-09,288.71
2017-10-08,288.64
2017-10-07,288.70
2017-10-06,288.83
2017-10-05,288.99
2017-10-04,289.00
2017-10-03,288.86
2017-10-02,288.76
2017-10-01,288.87
2017-09-30,289.00
2017-09-29,288.99
2017-09-28,288.96
2017-09-27,288.90
2017-09-26,288.81
2017-09-25,288.70
2017-09-24,288.70
2017-09-23,288.69
2017-09-22,288.69
2017-09-21,288.69
2017-09-20,288.67
2017-09-19,288.73
2017-09-18,288.85
2017-09-17,288.83
2017-09-16,288.72
2017-09-15,288.72
2017-09-14,288.76
2017-09-13,288.82
2017-09-12,288.90
2017-09-11,288.94
2017-09-10,288.93
2017-09-09,288.90
2017-09-08,288.87
2017-09-07,288.90
2017-09-06,288.92
2017-09-05,288.88
2017-09-04,288.80
2017-09-03,288.80
2017-09-02,288.79
2017-09-01,288.79
2017-08-31,288.80
2017-08-30,288.80
2017-08-29,288.80
2017-08-28,288.80
2017-08-27,288.80
2017-08-26,288.79
2017-08-25,288.78
2017-08-24,288.81
2017-08-23,288.81
2017-08-22,288.80
2017-08-21,288.78
2017-08-20,288.78
2017-08-19,288.79
2017-08-18,288.80
2017-08-17,288.76
2017-08-16,288.70
2017-08-15,288.71
2017-08-14,288.73
2017-08-13,288.81
2017-08-12,288.86
2017-08-11,288.88
2017-08-10,288.88
2017-08-09,288.90
2017-08-08,288.89
2017-08-07,288.80
2017-08-06,288.69
2017-08-05,288.76
2017-08-04,288.87
2017-08-03,288.87
2017-08-02,288.86
2017-08-01,288.85
2017-07-31,288.85
2017-07-30,288.84
2017-07-29,288.78
2017-07-28,288.78
2017-07-27,288.77
2017-07-26,288.75
2017-07-25,288.75
2017-07-24,288.76
2017-07-23,288.76
2017-07-22,288.76
2017-07-21,288.79
2017-07-20,288.81
2017-07-19,288.81
2017-07-18,288.78
2017-07-17,288.80
2017-07-16,288.82
2017-07-15,288.83
2017-07-14,288.81
2017-07-13,288.77
2017-07-12,288.73
2017-07-11,288.73
