datetime,water_level(ft below land surface)
2018-02-07,147.77
2018-02-06,147.77
2018-02-05,147.78
2018-02-04,147.78
2018-02-03,147.78
2018-02-02,147.78
2018-02-01,147.78
2018-01-31,148.39
2018-01-30,148.49
2018-01-29,148.50
2018-01-28,148.44
2018-01-27,148.43
2018-01-26,148.45
2018-01-25,148.50
2018-01-24,148.49
2018-01-23,148.44
2018-01-22,148.37
2018-01-21,148.36
2018-01-20,148.39
2018-01-19,148.44
2018-01-18,148.51
2018-01-17,148.56
2018-01-16,148.55
2018-01-15,148.47
2018-01-14,148.51
2018-01-13,148.53
2018-01-12,148.44
2018-01-11,148.35
2018-01-10,148.40
2018-01-09,148.47
2018-01-08,148.45
2018-01-07,148.50
2018-01-06,148.59
2018-01-05,148.60
2018-01-04,148.61
2018-01-03,148.61
2018-01-02,148.65
2018-01-01,148.68
2017-12-31,148.59
2017-12-30,148.54
2017-12-29,148.59
2017-12-28,148.62
2017-12-27,148.64
2017-12-26,148.60
2017-12-25,148.63
2017-12-24,148.60
2017-12-23,148.58
2017-12-22,148.51
2017-12-21,148.50
2017-12-20,148.51
2017-12-19,148.65
2017-12-18,148.74
2017-12-17,148.71
2017-12-16,148.82
2017-12-15,148.85
2017-12-14,148.78
2017-12-13,148.79
2017-12-12,148.85
2017-12-11,148.84
2017-12-10,148.88
2017-12-09,148.85
2017-12-08,148.84
2017-12-07,148.88
2017-12-06,148.88
2017-12-05,148.85
2017-12-04,148.79
2017-12-03,148.84
2017-12-02,148.84
2017-12-01,148.85
2017-11-30,148.86
2017-11-29,148.83
2017-11-28,148.80
2017-11-27,148.81
2017-11-26,148.83
2017-11-25,148.76
2017-11-24,148.74
2017-11-23,148.80
2017-11-22,148.82
2017-11-21,148.73
2017-11-20,148.78
2017-11-19,148.83
2017-11-18,148.72
2017-11-17,148.73
2017-11-16,148.78
2017-11-15,148.77
2017-10-14,148.74
2017-10-13,148.74
2017-10-12,148.73
2017-10-11,148.74
2017-10-09,148.62
2017-10-08,148.58
2017-10-07,148.58
2017-10-06,148.62
2017-10-05,148.66
2017-10-04,148.69
2017-10-03,148.67
2017-10-02,148.62
2017-10-01,148.61
2017-09-30,148.63
2017-09-29,148.62
2017-09-28,148.59
2017-09-27,148.57
2017-09-26,148.55
2017-09-25,148.54
2017-09-24,148.53
2017-09-23,148.53
2017-09-22,148.53
2017-09-21,148.53
2017-09-20,148.51
2017-09-19,148.50
2017-09-18,148.51
2017-09-17,148.52
2017-09-16,148.50
2017-09-15,148.48
2017-09-14,148.46
2017-09-13,148.44
2017-09-12,148.45
2017-09-11,148.49
2017-09-10,148.51
2017-09-09,148.51
2017-09-08,148.51
2017-09-07,148.51
2017-09-06,148.48
2017-09-05,148.44
2017-09-04,148.44
2017-09-03,148.46
2017-09-02,148.44
2017-09-01,148.41
2017-08-31,148.37
2017-08-30,148.36
2017-08-29,148.41
2017-08-28,148.42
2017-08-27,148.44
2017-08-26,148.44
2017-08-25,148.40
2017-08-24,148.38
2017-08-23,148.38
2017-08-22,148.39
2017-08-21,148.39
2017-08-20,148.35
2017-08-19,148.33
2017-08-18,148.32
2017-08-17,148.32
2017-08-16,148.30
2017-08-15,148.26
2017-08-14,148.24
2017-08-13,148.26
2017-08-12,148.29
2017-08-11,148.29
2017-08-10,148.30
2017-08-09,148.29
2017-08-08,148.28
2017-08-07,148.27
2017-08-06,148.25
2017-08-05,148.26
2017-08-04,148.26
2017-08-03,148.25
2017-08-02,148.25
2017-08-01,148.30
2017-07-31,148.28
2017-07-30,148.26
2017-07-29,148.22
2017-07-28,148.21
2017-07-27,148.22
2017-07-26,148.23
2017-07-25,148.22
2017-07-24,148.17
2017-07-23,148.18
2017-07-22,148.18
2017-07-10,144.51
2017-07-09,144.52
2017-07-08,144.54
2017-07-07,144.54
2017-07-06,144.53
2017-07-05,144.51
2017-07-04,144.49
2017-07-03,144.49
2017-07-02,144.50
2017-07-01,144.49
2017-06-30,148.00
2017-06-29,147.97
2017-06-28,147.95
