datetime,water_level(ft below land surface)
2018-02-08,266.78
2018-02-07,266.78
2018-02-06,266.78
2018-02-05,266.79
2018-02-04,266.79
2018-02-03,266.79
2018-02-02,266.79
2018-02-01,269.64
2018-01-31,269.45
2018-01-30,269.22
2018-01-29,269.17
2018-01-28,269.26
2018-01-27,268.04
2018-01-26,268.04
2018-01-25,268.04
2018-01-24,268.04
2018-01-23,268.11
2018-01-22,268.18
2018-01-21,268.22
2018-01-20,268.18
2018-01-19,268.09
2018-01-18,267.97
2018-01-17,267.91
2018-01-16,267.00
2018-01-15,268.06
2018-01-14,268.02
2018-01-13,267.99
2018-01-12,268.05
2018-01-11,268.12
2018-01-10,268.07
2018-01-09,267.98
2018-01-08,267.94
2018-01-07,267.96
2018-01-06,267.92
2018-01-05,267.91
2018-01-04,267.89
2018-01-03,267.87
2018-01-02,267.81
2018-01-01,267.79
2017-12-31,269.26
2017-12-30,269.25
2017-12-29,269.21
2017-12-28,269.17
2017-12-27,269.12
2017-12-26,269.16
2017-12-25,269.15
2017-12-24,269.11
2017-12-23,269.15
2017-12-22,269.20
2017-12-21,269.23
2017-12-20,269.21
2017-12-19,269.20
2017-12-18,269.17
2017-12-17,269.18
2017-12-16,269.18
2017-12-15,269.13
2017-12-14,269.17
2017-12-13,269.18
2017-12-12,269.11
2017-12-11,269.10
2017-12-10,269.11
2017-12-09,269.24
2017-12-08,269.23
2017-12-07,269.10
2017-12-06,269.14
2017-12-05,269.16
2017-12-04,269.26
2017-12-03,269.80
2017-12-02,269.94
2017-12-01,270.01
2017-11-30,270.02
2017-11-29,270.03
2017-11-28,270.09
2017-11-27,270.06
2017-11-26,270.02
2017-11-25,270.09
2017-11-24,270.07
2017-11-23,270.03
2017-11-22,270.01
2017-11-21,270.09
2017-11-20,270.05
2017-11-19,270.02
2017-11-18,270.12
2017-11-17,270.09
2017-11-16,270.06
2017-11-15,270.08
2017-11-14,270.07
2017-11-13,270.06
2017-11-12,270.12
2017-11-11,270.17
2017-11-10,270.13
2017-11-09,270.02
2017-11-08,270.07
2017-11-07,270.06
2017-11-06,270.08
2017-11-05,270.07
2017-11-04,270.08
2017-11-03,270.08
2017-11-02,270.04
2017-11-01,270.04
2017-10-31,270.00
2017-10-30,270.01
2017-10-29,269.98
2017-10-28,269.93
2017-10-27,269.94
2017-10-26,269.96
2017-10-25,269.89
2017-10-24,269.88
2017-10-23,269.93
2017-10-22,269.92
2017-10-21,269.96
2017-10-20,269.95
2017-10-19,269.94
2017-10-18,269.94
2017-10-17,269.92
2017-10-16,269.92
2017-10-15,269.96
2017-10-14,269.99
2017-10-13,269.99
2017-10-12,269.99
2017-10-11,270.01
2017-10-10,270.06
2017-10-09,270.16
2017-10-08,270.16
2017-10-07,270.10
2017-10-06,270.06
2017-10-05,270.01
2017-10-04,270.01
2017-10-03,270.02
2017-10-02,270.04
2017-10-01,269.99
2017-09-30,269.99
2017-09-29,270.05
2017-09-28,270.10
2017-09-27,270.18
2017-09-26,270.24
2017-09-25,270.28
2017-09-24,270.31
2017-09-23,270.30
2017-09-22,270.28
2017-09-21,270.24
2017-09-20,270.33
2017-09-19,270.27
2017-09-18,270.12
2017-09-17,270.06
2017-09-16,270.11
2017-09-15,270.11
2017-09-14,270.09
2017-09-13,270.02
2017-09-12,269.94
2017-09-11,269.87
2017-09-10,269.84
2017-09-09,269.82
2017-09-08,269.82
2017-09-07,258.59
2017-09-06,258.57
2017-09-05,258.53
2017-09-04,258.52
2017-09-03,258.52
2017-09-02,258.46
2017-09-01,258.43
2017-08-31,258.43
2017-08-30,258.45
2017-08-29,258.46
2017-08-28,258.45
2017-08-27,258.41
2017-08-26,258.37
2017-08-25,258.39
2017-08-24,258.38
2017-08-23,258.33
2017-08-22,258.23
2017-08-21,258.18
2017-08-20,258.19
2017-08-19,258.16
2017-08-18,258.17
2017-08-17,258.16
2017-08-16,258.15
2017-08-15,269.29
2017-08-14,269.20
2017-08-13,269.18
2017-08-12,269.16
2017-08-11,269.13
2017-08-10,269.12
2017-08-09,269.15
2017-08-08,269.20
2017-08-07,269.24
2017-08-06,269.20
2017-08-05,269.13
2017-08-04,269.12
2017-08-03,269.17
2017-08-02,269.23
2017-08-01,269.26
2017-07-31,269.31
2017-07-30,269.33
2017-07-29,269.32
2017-07-28,269.32
2017-07-27,269.30
2017-07-26,269.27
2017-07-25,269.22
2017-07-24,269.10
2017-07-23,265.50
2017-07-22,265.44
2017-07-21,265.40
2017-07-20,265.37
2017-07-19,265.35
2017-07-18,265.34
2017-07-17,265.33
2017-07-16,265.30
2017-07-15,265.29
2017-07-14,265.29
2017-07-13,266.92
2017-07-12,266.97
2017-07-11,266.99
2017-07-10,267.02
2017-07-09,267.07
2017-07-08,267.13
2017-07-07,267.07
2017-07-06,267.36
2017-07-05,267.85
2017-07-04,267.87
2017-07-03,267.82
2017-07-02,267.80
2017-07-01,267.78
2017-06-30,267.76
2017-06-29,267.70
2017-06-28,267.61
2017-06-27,267.58
2017-06-26,267.58
2017-06-25,267.60
2017-06-24,267.65
2017-06-23,269.65
2017-06-22,269.66
2017-06-21,269.56
2017-06-20,269.45
2017-06-19,269.39
2017-06-18,269.46
2017-06-17,269.38
2017-06-16,269.21
2017-06-15,269.11
2017-06-14,269.10
2017-06-13,269.08
2017-06-12,269.04
2017-06-11,269.01
2017-06-10,269.00
2017-06-09,268.97
2017-06-08,268.94
2017-06-07,268.94
2017-06-06,268.95
2017-06-05,268.96
2017-06-04,268.94
2017-06-03,268.93
2017-06-02,268.90
2017-06-01,268.87
2017-05-31,268.87
2017-05-30,268.89
2017-05-29,268.91
2017-05-28,268.94
2017-05-27,268.96
2017-05-26,268.96
2017-05-25,268.99
2017-05-24,268.97
2017-05-23,268.98
2017-05-22,269.00
2017-05-21,269.04
2017-05-20,269.14
2017-05-19,269.24
2017-05-18,269.29
2017-05-17,269.20
2017-05-16,269.16
2017-05-15,269.04
2017-05-14,268.96
2017-05-13,268.93
2017-05-12,268.91
2017-05-11,268.93
2017-05-10,268.97
2017-05-09,268.89
2017-05-08,268.89
2017-05-07,268.91
2017-05-06,268.74
2017-05-05,268.60
2017-05-04,268.57
2017-05-03,268.59
2017-05-02,268.48
2017-05-01,268.45
2017-04-30,268.48
2017-04-29,268.59
2017-04-28,268.57
2017-04-27,268.49
2017-04-26,268.57
2017-04-25,267.54
2017-04-24,267.44
2017-04-23,267.37
2017-04-22,267.42
2017-04-21,267.45
2017-04-20,267.40
2017-04-19,267.39
2017-04-18,267.36
2017-04-17,267.36
2017-04-16,267.39
2017-04-15,267.39
2017-04-14,267.39
2017-04-13,267.39
2017-04-12,267.39
2017-04-11,267.40
2017-04-10,267.44
2017-04-09,267.47
2017-04-08,267.42
2017-04-07,267.37
2017-04-06,267.37
2017-04-05,267.43
2017-04-04,267.50
2017-04-03,267.50
2017-04-02,268.30
2017-04-01,268.32
2017-03-31,268.30
2017-03-30,268.26
2017-03-29,268.30
2017-03-28,268.30
2017-03-27,268.24
2017-03-26,268.20
2017-03-25,268.14
2017-03-24,268.13
2017-03-23,268.12
2017-03-22,268.08
2017-03-21,268.08
2017-03-20,268.10
2017-03-19,268.06
2017-03-18,267.98
2017-03-17,267.97
2017-03-16,267.92
2017-03-15,267.86
2017-03-14,267.57
2017-03-13,267.57
2017-03-12,267.55
2017-03-11,267.52
2017-03-10,267.50
2017-03-09,267.48
2017-03-08,267.41
2017-03-07,267.36
2017-03-06,267.32
2017-03-05,267.24
2017-03-04,267.21
2017-03-03,267.17
2017-03-02,267.19
2017-03-01,267.26
2017-02-28,267.29
2017-02-27,267.24
2017-02-26,267.23
2017-02-25,267.22
2017-02-24,267.28
2017-02-23,267.30
2017-02-22,267.24
2017-02-21,267.21
2017-02-20,267.17
2017-02-19,267.17
2017-02-18,267.19
2017-02-17,267.19
2017-02-16,267.15
2017-02-15,267.13
2017-02-14,267.19
2017-02-13,267.22
2017-02-12,267.18
2017-02-11,267.17
2017-02-10,267.13
2017-02-09,267.11
2017-02-08,267.17
2017-02-07,267.20
2017-02-06,267.21
2017-02-05,267.17
2017-02-04,267.07
2017-02-03,267.05
2017-02-02,267.07
2017-02-01,267.09
2017-01-31,267.07
2017-01-30,267.02
2017-01-29,267.01
2017-01-28,267.05
2017-01-27,267.41
2017-01-26,267.40
2017-01-25,267.45
2017-01-24,267.48
2017-01-23,266.74
2017-01-22,266.77
2017-01-21,266.82
2017-01-20,266.78
2017-01-19,266.74
2017-01-18,266.71
2017-01-17,266.75
2017-01-16,266.75
2017-01-15,266.70
2017-01-14,266.63
2017-01-13,266.64
2017-01-12,266.67
2017-01-11,266.66
2017-01-10,266.61
2017-01-09,266.56
2017-01-08,266.50
2017-01-07,266.49
2017-01-06,267.35
2017-01-05,267.36
2017-01-04,267.22
2017-01-03,267.20
2017-01-02,267.25
2017-01-01,267.23
2016-12-31,267.19
2016-12-30,267.11
2016-12-29,267.10
2016-12-28,267.12
2016-12-27,267.10
2016-12-26,267.14
2016-12-25,267.19
2016-12-24,267.18
2016-12-22,267.12
2016-12-21,267.12
2016-12-20,267.14
2016-12-19,267.08
2016-12-18,267.11
2016-12-17,267.16
