datetime,water_level(ft below land surface)
2018-03-08,189.58
2018-03-03,189.58
2018-02-26,189.58
2018-02-21,189.58
2018-02-16,189.58
2018-02-11,189.58
2018-02-06,189.58
2018-02-01,189.57
2018-01-31,189.56
2018-01-30,189.58
2018-01-29,189.60
2018-01-28,189.61
2018-01-27,189.61
2018-01-26,189.57
2018-01-25,189.59
2018-01-24,189.60
2018-01-23,189.60
2018-01-22,189.60
2018-01-21,189.57
2018-01-20,189.56
2018-01-19,189.56
2018-01-18,189.57
2018-01-17,189.59
2018-01-16,189.60
2018-01-15,189.59
2018-01-14,189.58
2018-01-13,189.59
2018-01-12,189.60
2018-01-11,189.62
2018-01-10,189.55
2018-01-09,189.57
2018-01-08,189.59
2018-01-07,189.57
2018-01-06,189.57
2018-01-05,189.57
2018-01-04,189.56
2018-01-03,189.56
2018-01-02,189.56
2018-01-01,189.56
2017-12-31,189.56
2017-12-30,189.57
2017-12-29,189.55
2017-12-28,189.55
2017-12-27,189.56
2017-12-26,189.57
2017-12-25,189.54
2017-12-24,189.58
2017-12-23,189.55
2017-12-22,189.57
2017-12-21,189.55
2017-12-20,189.55
2017-12-19,189.56
2017-12-18,189.56
2017-12-17,189.55
2017-12-16,189.53
2017-12-15,189.56
2017-12-14,189.55
2017-12-13,189.52
2017-12-12,189.55
2017-12-11,189.68
2017-12-10,189.72
2017-12-09,189.72
2017-12-08,189.70
2017-12-07,189.71
2017-12-06,189.72
2017-12-05,189.73
2017-12-04,189.69
2017-12-03,189.69
2017-12-02,189.70
2017-12-01,189.70
2017-11-30,189.71
2017-11-29,189.71
2017-11-28,189.71
2017-11-27,189.69
2017-11-26,189.71
2017-11-25,189.72
2017-11-24,189.69
2017-11-23,189.70
2017-11-22,189.72
2017-11-21,189.71
2017-11-20,189.68
2017-11-19,189.71
2017-11-18,189.73
2017-11-17,189.68
2017-11-16,189.70
2017-11-15,189.71
2017-11-14,189.68
2017-11-13,189.69
2017-11-12,189.71
2017-11-11,189.69
2017-11-10,189.69
2017-11-09,189.69
2017-11-08,189.70
2017-11-07,189.70
2017-11-06,189.69
2017-11-05,189.68
2017-11-04,189.68
2017-11-03,189.70
2017-11-02,189.68
2017-11-01,189.65
2017-10-31,189.68
2017-10-30,189.70
2017-10-29,189.68
2017-10-28,189.69
2017-10-27,189.71
2017-10-26,189.66
2017-10-25,189.67
2017-10-24,189.69
2017-10-23,189.68
2017-10-22,189.69
2017-10-21,189.67
2017-10-20,189.67
2017-10-19,189.67
2017-10-18,189.66
2017-10-17,189.66
2017-10-16,189.68
2017-10-15,189.71
2017-10-14,189.67
2017-10-13,189.67
2017-10-12,189.66
2017-10-11,189.67
2017-10-10,189.69
2017-10-09,189.68
2017-10-08,189.66
2017-10-07,189.66
2017-10-06,189.65
2017-10-05,189.65
2017-10-04,189.65
2017-10-03,189.65
2017-10-02,189.64
2017-10-01,189.64
2017-09-30,189.64
2017-09-29,189.64
2017-09-28,189.64
2017-09-27,189.64
2017-09-26,189.64
2017-09-25,189.62
2017-09-24,189.62
2017-09-23,189.62
2017-09-22,189.62
2017-09-21,189.62
2017-09-20,189.62
2017-09-19,189.62
2017-09-18,189.62
2017-09-17,189.62
2017-09-16,189.62
2017-09-15,189.62
2017-09-14,189.62
2017-09-13,189.62
2017-09-12,189.63
2017-09-11,189.63
2017-09-10,189.63
2017-09-09,189.63
2017-09-08,189.63
2017-09-07,189.63
2017-09-06,189.63
2017-09-05,189.63
2017-09-04,189.62
2017-09-03,189.62
2017-09-02,189.62
2017-09-01,189.62
2017-08-31,189.62
2017-08-30,189.62
2017-08-29,189.60
2017-08-28,189.56
2017-08-27,189.56
2017-08-26,189.56
2017-08-25,189.56
2017-08-24,189.55
2017-08-23,189.55
2017-08-22,189.55
2017-08-21,189.55
2017-08-20,189.55
2017-08-19,189.55
2017-08-18,189.55
2017-08-17,189.55
2017-08-16,189.55
2017-08-15,189.55
2017-08-14,189.55
2017-08-13,189.54
2017-08-12,189.54
2017-08-11,189.54
2017-08-10,189.54
2017-08-09,189.54
2017-08-08,189.54
2017-08-07,189.54
2017-08-06,189.54
2017-08-05,189.54
2017-08-04,189.54
2017-08-03,189.54
2017-08-02,189.54
2017-08-01,189.54
2017-07-31,189.54
2017-07-30,189.54
2017-07-29,189.54
2017-07-28,189.54
2017-07-27,189.54
2017-07-26,189.54
2017-07-25,189.54
2017-07-24,189.54
2017-07-23,189.54
2017-07-22,189.54
2017-07-21,189.54
2017-07-20,189.54
2017-07-19,189.54
2017-07-18,189.54
2017-07-17,189.54
2017-07-16,189.54
2017-07-15,189.54
2017-07-14,189.54
2017-07-13,189.54
2017-07-12,189.54
2017-07-11,189.54
2017-07-10,189.54
2017-07-09,189.54
2017-07-08,189.54
2017-07-07,189.54
2017-07-06,189.54
2017-07-05,189.54
2017-07-04,189.53
2017-07-03,189.53
2017-07-02,189.53
2017-07-01,189.53
2017-06-30,189.53
2017-06-29,189.52
2017-06-28,189.52
2017-06-27,189.52
2017-06-26,189.52
2017-06-25,189.53
2017-06-24,189.53
2017-06-23,189.53
2017-06-22,189.52
2017-06-21,189.53
2017-06-20,189.63
2017-06-19,189.63
2017-06-18,189.63
2017-06-17,189.62
2017-06-16,189.62
2017-06-15,189.62
2017-06-14,189.62
2017-06-13,189.62
2017-06-12,189.62
2017-06-11,189.62
2017-06-10,189.62
2017-06-09,189.62
2017-06-08,189.62
2017-06-07,189.62
2017-06-06,189.62
2017-06-05,189.61
2017-06-04,189.61
2017-06-03,189.61
2017-06-02,189.61
2017-06-01,189.61
2017-05-31,189.61
2017-05-30,189.61
2017-05-29,189.62
2017-05-28,189.63
2017-05-27,189.62
2017-05-26,189.62
2017-05-25,189.60
2017-05-24,189.61
2017-05-23,189.62
2017-05-22,189.62
2017-05-21,189.62
2017-05-20,189.62
2017-05-19,189.61
2017-05-18,189.61
2017-05-17,189.61
2017-05-16,189.60
2017-05-15,189.61
2017-05-14,189.61
2017-05-13,189.62
2017-05-12,189.62
2017-05-11,189.61
2017-05-10,189.61
2017-05-09,189.61
2017-05-08,189.61
2017-05-07,189.60
2017-05-06,189.60
2017-05-05,189.61
2017-05-04,189.62
2017-05-03,189.62
2017-05-02,189.60
2017-05-01,189.61
2017-04-30,189.61
2017-04-29,189.62
2017-04-28,189.60
2017-04-27,189.59
2017-04-26,189.61
2017-04-25,189.57
2017-04-24,189.58
2017-04-23,189.60
2017-04-22,189.61
2017-04-21,189.59
2017-04-20,189.60
2017-04-19,189.60
2017-04-18,189.60
2017-04-17,189.61
2017-04-16,189.59
2017-04-15,189.59
2017-04-14,189.59
2017-04-13,189.59
2017-04-12,189.59
2017-04-11,189.60
2017-04-10,189.60
2017-04-09,189.58
2017-04-08,189.57
2017-04-07,189.58
2017-04-06,189.60
2017-04-05,189.61
2017-04-04,189.59
2017-04-03,189.58
2017-04-02,189.58
2017-04-01,189.60
2017-03-31,189.58
2017-03-30,189.59
2017-03-29,189.59
2017-03-28,189.57
2017-03-27,189.58
2017-03-26,189.56
2017-03-25,189.58
2017-03-24,189.58
2017-03-23,189.56
2017-03-22,189.58
2017-03-21,189.58
2017-03-20,189.57
2017-03-19,189.57
2017-03-18,189.58
2017-03-17,189.57
2017-03-16,189.57
2017-03-15,189.58
2017-03-14,189.57
2017-03-13,189.58
2017-03-12,189.55
2017-03-11,189.57
2017-03-10,189.57
2017-03-09,189.56
2017-03-08,189.57
2017-03-07,189.58
