datetime,water_level(ft below land surface)
2018-02-08,47.03
2018-02-07,47.03
2018-02-06,47.04
2018-02-05,47.04
2018-02-04,47.04
2018-02-03,47.04
2018-02-02,47.04
2018-02-01,46.91
2018-01-31,49.11
2018-01-30,49.19
2018-01-29,49.37
2018-01-28,49.15
2018-01-27,49.16
2018-01-26,49.58
2018-01-25,49.45
2018-01-24,49.59
2018-01-23,49.26
2018-01-22,49.15
2018-01-21,49.54
2018-01-20,49.31
2018-01-19,49.31
2018-01-18,49.14
2018-01-17,49.24
2018-01-16,49.28
2018-01-15,49.12
2018-01-14,49.15
2018-01-13,49.23
2018-01-12,49.55
2018-01-11,49.06
2018-01-10,49.00
2018-01-09,49.34
2018-01-08,49.11
2018-01-07,49.02
2018-01-06,49.11
2018-01-05,49.15
2018-01-04,49.18
2018-01-03,49.27
2018-01-02,49.28
2018-01-01,49.33
2017-12-31,49.23
2017-12-30,49.17
2017-12-29,49.22
2017-12-28,49.28
2017-12-27,49.34
2017-12-26,49.28
2017-12-25,49.31
2017-12-24,49.33
2017-12-23,49.33
2017-12-22,49.31
2017-12-21,49.29
2017-12-20,49.34
2017-12-19,49.37
2017-12-18,49.41
2017-12-17,49.43
2017-12-16,49.47
2017-12-15,49.59
2017-12-14,49.54
2017-12-13,49.86
2017-12-12,49.97
2017-12-11,49.97
2017-12-10,50.25
2017-12-09,49.72
2017-12-08,49.75
2017-12-07,49.88
2017-12-06,49.91
2017-12-05,49.96
2017-12-04,49.99
2017-12-03,50.77
2017-12-02,50.45
2017-12-01,50.05
2017-11-30,50.36
2017-11-29,50.30
2017-11-28,49.79
2017-11-27,49.78
2017-11-26,49.83
2017-11-25,49.79
2017-11-24,49.79
2017-11-23,49.91
2017-11-22,50.02
2017-11-21,49.91
2017-11-20,49.99
2017-11-19,50.09
2017-11-18,50.08
2017-11-17,50.07
2017-11-16,50.19
2017-11-15,50.20
2017-11-14,50.29
2017-11-13,50.41
2017-11-12,50.45
2017-11-11,50.51
2017-11-10,50.60
2017-11-09,50.69
2017-11-08,50.74
2017-11-07,50.80
2017-11-06,50.89
2017-11-05,51.33
2017-11-04,51.66
2017-11-03,51.61
2017-11-02,52.34
2017-11-01,51.70
2017-10-31,50.99
2017-10-30,51.02
2017-10-29,51.12
2017-10-28,51.28
2017-10-27,51.36
2017-10-26,51.38
2017-10-25,51.56
2017-10-24,51.71
2017-10-23,52.19
2017-10-22,52.23
2017-10-21,51.84
2017-10-20,52.37
2017-10-19,52.57
2017-10-18,52.51
2017-10-17,52.25
2017-10-16,52.41
2017-10-15,52.52
2017-10-14,52.55
2017-10-13,52.64
2017-10-12,52.78
2017-10-11,52.93
2017-10-10,53.34
2017-10-09,53.38
2017-10-08,53.23
2017-10-07,53.42
2017-10-06,53.60
2017-10-05,53.82
2017-10-04,54.04
2017-10-03,54.30
2017-10-02,54.50
2017-10-01,54.80
2017-09-30,55.14
2017-09-29,55.46
2017-09-28,55.80
2017-09-27,56.16
2017-09-26,56.58
2017-09-25,57.20
2017-09-24,58.92
2017-09-23,61.22
2017-09-22,61.49
2017-09-21,61.16
2017-09-20,60.60
2017-09-19,60.30
2017-09-18,58.89
2017-09-17,61.45
2017-09-16,62.22
2017-09-15,60.75
2017-09-14,60.35
2017-09-13,59.86
2017-09-12,58.47
2017-09-11,55.89
2017-09-10,55.56
2017-09-09,56.94
2017-09-08,57.76
2017-09-07,55.89
2017-09-06,55.75
2017-09-05,55.80
2017-09-04,56.24
2017-09-03,56.91
2017-09-02,58.53
2017-09-01,57.92
