datetime,water_level(ft below land surface)
2018-02-08,143.00
2018-02-07,143.01
2018-02-06,143.01
2018-02-05,143.01
2018-02-04,143.01
2018-02-03,143.01
2018-02-02,143.01
2018-02-01,143.20
2018-01-31,143.20
2018-01-30,143.21
2018-01-29,143.21
2018-01-28,143.21
2018-01-27,143.21
2018-01-26,143.21
2018-01-25,143.21
2018-01-24,143.21
2018-01-23,143.21
2018-01-22,143.21
2018-01-21,143.21
2018-01-20,143.21
2018-01-19,143.21
2018-01-18,143.21
2018-01-17,143.21
2018-01-16,143.21
2018-01-15,143.21
2018-01-14,143.21
2018-01-13,143.21
2018-01-12,143.21
2018-01-11,143.21
2018-01-10,143.22
2018-01-09,143.22
2018-01-08,143.22
2018-01-07,143.22
2018-01-06,143.23
2018-01-05,143.23
2018-01-04,143.23
2018-01-03,143.23
2018-01-02,143.23
2018-01-01,143.23
2017-12-31,143.23
2017-12-30,143.23
2017-12-29,143.23
2017-12-28,143.23
2017-12-27,143.23
2017-12-26,143.23
2017-12-25,143.23
2017-12-24,143.23
2017-12-23,143.23
2017-12-22,143.23
2017-12-21,143.23
2017-12-20,143.24
2017-12-19,143.24
2017-12-18,143.24
2017-12-17,143.24
2017-12-16,143.24
2017-12-15,143.24
2017-12-14,143.24
2017-12-13,143.24
2017-12-12,143.24
2017-12-11,143.24
2017-12-10,143.24
2017-12-09,143.24
2017-12-08,143.24
2017-12-07,143.24
2017-12-06,143.24
2017-12-05,143.24
2017-12-04,143.24
2017-12-03,143.25
2017-12-02,143.25
2017-12-01,143.25
2017-11-30,143.25
2017-11-29,143.25
2017-11-28,143.25
2017-11-27,143.25
2017-11-26,143.25
2017-11-25,143.25
2017-11-24,143.25
2017-11-23,143.25
2017-11-22,143.25
2017-11-21,143.25
2017-11-20,143.26
2017-11-19,143.26
2017-11-18,143.26
2017-11-17,143.26
2017-11-16,143.26
2017-11-15,143.26
2017-11-14,143.26
2017-11-13,143.26
2017-11-12,143.26
2017-11-11,143.26
2017-11-10,143.26
2017-11-09,143.26
2017-11-08,143.26
2017-11-07,143.26
2017-11-06,143.26
2017-11-05,143.26
2017-11-04,143.26
2017-11-03,143.26
2017-11-02,143.26
2017-11-01,143.26
2017-10-31,143.26
2017-10-30,143.25
2017-10-29,143.25
2017-10-28,143.25
2017-10-27,143.25
2017-10-26,143.25
2017-10-25,143.25
2017-10-24,143.25
2017-10-23,143.25
2017-10-22,143.25
2017-10-21,143.25
2017-10-20,143.25
2017-10-19,143.25
2017-10-18,143.25
2017-10-16,143.26
2017-10-15,143.26
2017-10-14,143.26
2017-10-13,143.26
2017-10-12,143.26
2017-10-11,143.26
2017-10-10,143.26
2017-10-09,143.26
2017-10-08,143.26
2017-10-07,143.26
2017-10-06,143.26
2017-10-05,143.26
2017-10-04,143.26
2017-10-03,143.26
2017-10-02,143.26
2017-10-01,143.26
2017-09-30,143.26
2017-09-29,143.26
2017-09-28,143.26
2017-09-27,143.26
2017-09-26,143.26
2017-09-25,143.26
2017-09-24,143.26
2017-09-23,143.26
2017-09-22,143.27
2017-09-21,143.28
2017-09-20,143.28
