datetime,water_level(ft below land surface)
2018-02-08,233.48
2018-02-07,233.48
2018-02-06,233.48
2018-02-05,233.48
2018-02-04,233.48
2018-02-03,233.48
2018-02-02,233.48
2018-02-01,194.04
2018-01-31,194.11
2018-01-30,194.24
2018-01-29,194.24
2018-01-28,194.23
2018-01-27,194.26
2018-01-26,194.35
2018-01-24,194.40
2018-01-23,194.41
2018-01-22,194.42
2018-01-21,194.51
2018-01-20,194.76
2018-01-19,194.94
2018-01-18,195.14
2018-01-17,195.36
2018-01-16,195.39
2018-01-15,195.45
2018-01-14,195.63
2018-01-13,195.59
2018-01-12,195.56
2018-01-11,195.39
2018-01-10,195.32
2018-01-09,195.34
2018-01-08,195.34
2018-01-07,195.39
2018-01-06,195.51
2018-01-05,195.53
2018-01-04,195.56
2018-01-03,195.64
2018-01-02,195.77
2018-01-01,195.82
2017-12-31,195.76
2017-12-30,195.85
2017-12-29,196.06
2017-12-28,196.21
2017-12-27,196.33
2017-12-26,196.39
2017-12-25,196.67
2017-12-24,196.80
2017-12-23,197.01
2017-12-22,197.13
2017-12-21,197.34
2017-12-20,197.53
2017-12-19,197.65
2017-12-18,197.84
2017-12-17,197.95
2017-12-16,198.19
2017-12-15,198.44
2017-12-14,198.38
2017-12-13,198.51
2017-12-12,198.75
2017-12-11,198.96
2017-12-10,199.20
2017-12-09,199.35
2017-12-08,199.43
2017-12-07,199.43
2017-12-06,199.43
2017-12-05,199.47
2017-12-04,199.55
2017-12-03,199.75
2017-12-02,199.80
2017-12-01,199.70
2017-11-30,199.65
2017-11-29,199.60
2017-11-28,199.57
2017-11-27,199.66
2017-11-26,199.72
2017-11-25,199.61
2017-11-24,199.74
2017-11-23,199.96
2017-11-22,199.77
2017-11-21,199.54
2017-11-20,199.60
2017-11-19,199.58
2017-11-18,199.41
2017-11-17,199.46
2017-11-16,199.52
2017-11-15,199.49
2017-10-18,197.86
2017-10-17,197.93
2017-10-16,198.10
2017-10-15,198.22
2017-10-14,198.44
2017-10-13,198.66
2017-10-12,198.95
2017-10-11,199.00
2017-10-10,198.83
2017-10-09,198.60
2017-10-08,198.54
2017-10-07,198.63
2017-10-06,198.83
2017-10-05,199.01
2017-10-04,199.12
2017-10-03,199.31
2017-10-02,199.48
2017-10-01,199.72
2017-09-30,199.99
2017-09-29,200.26
2017-09-28,200.44
2017-08-21,205.68
2017-08-20,205.71
2017-08-19,205.81
2017-08-18,209.09
2017-08-17,210.29
2017-08-16,207.87
2017-08-15,204.71
2017-08-14,204.97
2017-08-13,205.28
2017-08-12,205.28
2017-08-11,205.44
2017-08-10,205.87
2017-08-09,206.31
2017-08-08,206.96
2017-08-07,209.55
2017-08-06,213.40
2017-08-05,213.61
2017-08-04,213.84
2017-08-03,213.86
2017-08-02,212.94
2017-08-01,207.44
2017-07-31,205.96
2017-07-30,206.09
2017-07-29,208.53
2017-07-28,212.22
2017-07-27,211.78
2017-07-26,210.26
2017-07-25,207.49
2017-07-24,207.81
2017-07-23,208.45
2017-07-22,208.96
2017-07-21,211.78
2017-07-20,213.12
2017-07-19,212.74
2017-07-18,208.86
2017-07-17,206.88
2017-07-16,207.12
2017-07-15,207.41
2017-07-14,207.68
2017-07-13,207.30
2017-07-12,206.85
2017-07-11,206.62
2017-07-10,206.74
2017-07-09,207.27
2017-07-08,207.51
2017-07-07,207.40
2017-07-06,208.88
2017-07-05,212.09
2017-07-04,211.83
2017-07-03,209.79
2017-07-02,206.54
2017-07-01,206.33
2017-06-30,206.12
2017-06-29,206.28
2017-06-28,206.56
2017-06-27,206.80
2017-06-26,207.09
2017-06-25,207.44
2017-06-24,207.69
2017-06-23,207.78
2017-06-22,207.72
2017-06-21,207.61
2017-06-20,210.77
2017-06-19,210.18
2017-06-18,206.76
2017-06-17,206.68
2017-06-16,206.59
2017-06-15,206.57
2017-06-14,209.56
2017-06-13,208.94
2017-06-12,205.41
2017-06-11,205.39
2017-06-10,205.25
2017-06-09,205.24
2017-06-08,205.27
2017-06-07,205.32
2017-06-06,205.41
