datetime,saturated_thickness
2020-07,95.36724
2019-12,95.37883
2019-05,95.39134
2018-10,95.40491
2018-03,95.41968
2017-08,95.43583
2017-01,95.45361
2016-06,95.47326
2015-12,36.25105
2014-12,81.40050
2014-01,94.81471
2013-03,32.86500
2013-02,78.50600
2012-02,124.80500
2011-02,243.95750
2010-12,44.52789
2010-01,37.78125
2009-12,208.35400
2009-01,109.11583
2008-04,32.39000
2007-12,95.19950
2006-12,26.53000
2006-11,105.75357
2005-11,83.64231
2004-12,90.84632
2004-05,21.01000
2004-04,297.90333
2004-03,31.68000
2004-01,43.80909
2003-12,91.48944
2003-01,81.46038
2002-01,113.98636
2001-12,61.41929
2000-12,80.73545
2000-04,24.67500
2000-03,37.10000
2000-01,46.00000
1999-12,74.04259
1999-01,98.36950
1997-12,99.57563
1996-12,41.17538
1995-12,94.40235
1995-05,52.90000
1995-02,909.87000
