datetime,saturated_thickness
2020-01,88.23835
2019-12,88.23673
2019-10,88.23507
2019-09,88.23334
2019-07,88.23152
2019-05,88.22963
2019-04,88.22766
2019-02,88.22560
2018-12,88.22345
2018-11,88.22122
2018-09,88.21887
2018-08,88.21643
2018-06,88.21389
2018-04,88.21124
2018-03,88.20848
2018-01,88.20558
2017-12,88.20258
2017-10,88.19944
2017-08,88.19616
2017-07,88.19275
2017-05,88.18918
2017-04,88.18545
2017-02,88.18157
2016-12,88.17751
2016-11,88.17328
2016-09,88.16886
2016-08,90.80500
2016-07,90.94583
2016-06,91.34250
2016-05,91.57000
2016-04,91.45417
2016-03,97.47808
2016-02,84.36571
2016-01,68.41214
2015-12,66.64737
2015-11,117.33000
2015-10,99.60556
2015-09,91.16833
2015-08,91.36167
2015-07,92.16667
2015-06,92.08167
2015-05,91.87917
2015-04,91.78500
2015-03,86.47333
2015-02,82.06118
2015-01,70.20038
2014-12,78.17652
2014-11,91.92583
2014-10,91.61250
2014-09,91.30583
2014-08,91.63167
2014-07,78.77750
2014-06,65.71167
2014-05,65.75500
2014-04,76.18750
2014-03,83.34111
2014-02,83.74481
2014-01,54.28906
2013-12,83.29581
2013-11,87.84167
2013-10,87.65667
2013-09,87.64417
2013-08,87.63083
2013-07,87.86083
2013-06,88.07250
2013-05,94.15200
2013-04,95.28524
2013-03,83.21758
2013-02,88.62333
2013-01,69.09479
2012-12,65.19381
2012-11,87.83167
2012-10,87.96417
2012-09,88.29417
2012-08,88.86400
2012-07,89.03750
2012-06,91.25462
2012-05,88.99917
2012-04,58.33667
2012-03,78.78333
2012-02,85.33650
2012-01,71.71333
2011-12,72.43119
2011-11,110.15429
2011-10,94.23300
2011-09,88.40500
2011-08,91.44273
2011-07,88.75100
2011-06,89.66250
2011-05,90.07833
2011-04,90.39333
2011-03,96.91667
2011-02,39.03429
2011-01,90.97062
2010-12,70.70075
2010-11,90.70917
2010-10,90.25917
2010-09,100.32632
2010-08,91.02000
2010-07,123.80000
2010-06,102.49250
2010-05,91.28167
2010-04,91.42500
2010-03,89.11769
2010-02,78.00238
2010-01,78.88614
2009-12,62.93190
2009-11,80.20000
2009-10,90.95000
2009-09,91.14500
2009-08,91.73083
2009-07,91.73833
2009-06,94.15353
2009-05,91.59500
2009-04,91.42750
2009-03,89.70944
2009-02,65.36111
2009-01,91.88250
2008-12,73.94149
2008-11,85.46100
2008-10,91.83917
2008-09,89.67133
2008-08,92.08917
2008-07,92.03833
2008-06,103.26684
2008-05,91.83500
2008-04,84.95333
2008-03,91.59737
2008-02,81.08812
2008-01,70.85200
2007-12,75.34259
2007-11,59.56667
2007-10,59.67500
2007-09,59.71000
2007-08,59.76000
2007-07,59.79167
2007-06,59.81833
2007-05,59.84833
2007-04,74.52250
2007-03,59.82833
2007-02,59.84500
2007-01,43.60437
2006-12,59.89833
2006-11,72.81733
2006-10,59.96833
2006-09,59.95167
2006-08,58.54143
2006-07,60.05000
2006-06,142.00000
2006-04,86.55000
2006-03,72.00000
2006-02,108.86667
2006-01,55.39629
2005-12,60.37647
2005-04,24.00000
2005-02,106.05000
2005-01,32.47200
2004-12,72.16667
2004-02,35.40083
2003-12,74.73529
2003-01,30.93500
2002-12,72.73125
2002-09,-67.70000
2002-07,49.50000
2002-06,-68.30000
2002-01,39.44000
2001-12,73.41250
2001-03,41.36667
2001-02,78.60900
2001-01,28.71615
2000-12,86.42000
2000-10,54.70000
2000-01,64.69618
1999-12,132.60000
1999-03,88.00000
1999-02,72.80000
1999-01,67.66170
1998-01,59.68804
1997-12,79.53500
1997-02,61.97400
1997-01,29.19222
1996-12,76.04568
1996-10,26.78000
1996-02,107.71750
1996-01,57.88071
1995-12,64.14000
1995-01,40.13444
