datetime,saturated_thickness
2020-01,86.96491
2019-12,86.99490
2019-11,87.02547
2019-10,87.05662
2019-09,87.08838
2019-07,87.12075
2019-06,87.15374
2019-05,87.18737
2019-04,87.22163
2019-02,87.25656
2019-01,87.29215
2018-12,87.32842
2018-11,87.36538
2018-09,87.40304
2018-08,87.44141
2018-07,87.48051
2018-06,87.52034
2018-05,87.56093
2018-03,87.60227
2018-02,87.64438
2018-01,87.68728
2017-12,87.73096
2017-10,87.77547
2017-09,87.82078
2017-08,87.86693
2017-07,87.91392
2017-05,87.96176
2017-04,88.01047
2017-03,88.06006
2017-02,88.11053
2016-12,88.16190
2016-11,88.21419
2016-10,88.26739
2016-09,88.32153
2016-08,95.43600
2016-07,95.21167
2016-06,95.60500
2016-05,96.34333
2016-04,95.97667
2016-03,95.71167
2016-02,72.71818
2016-01,81.92900
2015-12,49.04160
2015-11,96.72000
2015-10,96.52833
2015-09,96.24167
2015-08,95.67000
2015-07,95.79000
2015-06,96.66667
2015-05,97.17500
2015-04,97.20833
2015-03,93.62875
2015-02,41.01267
2015-01,97.19833
2014-12,63.80253
2014-11,97.14667
2014-10,97.03333
2014-09,96.85500
2014-08,95.82167
2014-07,95.42667
2014-06,95.84167
2014-05,96.32000
2014-04,96.31833
2014-03,95.48571
2014-02,86.90714
2014-01,77.30750
2013-12,64.55837
2013-11,96.16500
2013-10,95.96833
2013-09,95.71167
2013-08,95.35667
2013-07,95.95667
2013-06,95.80000
2013-05,95.26667
2013-04,95.86667
2013-03,96.16000
2013-02,66.30842
2013-01,95.44667
2012-12,66.85357
2012-11,96.32000
2012-10,95.96500
2012-09,95.34333
2012-08,95.69833
2012-07,96.61667
2012-06,97.33500
2012-05,97.39000
2012-04,97.43833
2012-03,96.33000
2012-02,63.70364
2012-01,90.65429
2011-12,68.70881
2011-11,97.77000
2011-10,97.82000
2011-09,97.88167
2011-08,97.96167
2011-07,98.03500
2011-06,98.07333
2011-05,98.03833
2011-04,97.84000
2011-03,89.05143
2011-02,97.80000
2011-01,65.60179
2010-12,98.79667
2010-11,98.86500
2010-10,98.95667
2010-09,99.00333
2010-08,99.02167
2010-07,99.01333
2010-06,98.99833
2010-05,98.89833
2010-04,98.75000
2010-03,79.82500
2010-02,88.02846
2010-01,97.39500
2009-12,68.42408
2009-11,97.81833
2009-10,97.85333
2009-09,98.31667
2009-08,98.99000
2009-07,100.12667
2009-06,100.72000
2009-05,100.75333
2009-04,100.75500
2009-03,106.74000
2009-02,100.93286
2009-01,68.63694
2008-12,101.39000
2008-11,101.47333
2008-10,101.57500
2008-09,101.62500
2008-08,101.68400
2008-07,101.67000
2008-06,101.79833
2008-05,101.95000
2008-04,102.04667
2008-03,102.08167
2008-02,69.80423
2008-01,74.45810
2007-12,102.21667
2007-11,102.28500
2007-10,102.27000
2007-09,102.16667
2007-08,102.00000
2007-07,101.63000
2007-06,100.86000
2007-05,99.93833
2007-04,100.26333
2007-03,90.56125
2007-02,91.88348
2007-01,44.71711
2006-12,102.78167
2006-11,102.09333
2006-10,101.14833
2006-09,101.53000
2006-08,102.01167
2006-07,102.74000
2006-06,104.33000
2006-05,105.49000
2006-04,105.58000
2006-03,105.63667
2006-02,85.52818
2006-01,72.29180
2005-10,105.65000
2005-08,105.19167
2005-07,105.83667
2005-06,105.99000
2005-05,105.97857
2005-04,106.09167
2005-03,104.78429
2005-02,62.84512
2005-01,104.70690
2004-12,106.17429
2004-11,106.26167
2004-10,106.33857
2004-09,106.36833
2004-08,106.31333
2004-07,106.02500
2004-06,105.98833
2004-05,106.29333
2004-04,105.91667
2004-03,107.89778
2004-02,71.64417
2004-01,72.67939
2003-12,104.99167
2003-11,106.06167
2003-10,106.52333
2003-09,105.84833
2003-08,105.13333
2003-07,104.79500
2003-06,104.99833
2003-05,106.73143
2003-04,95.24556
2003-03,106.09643
2003-02,99.11983
2003-01,43.06021
2002-12,106.75333
2002-09,108.02167
2002-08,107.57742
2002-07,106.16355
2002-06,107.16600
2002-05,109.41839
2002-04,109.55520
2002-03,108.10056
2002-02,71.60672
2002-01,89.57070
2001-12,109.04423
2001-11,108.62000
2001-10,107.96833
2001-09,80.87250
2001-05,106.35556
2001-03,108.40235
2001-02,93.59625
2001-01,57.49181
2000-12,69.15000
2000-10,111.74000
2000-09,35.85000
2000-03,73.83500
2000-02,123.48286
2000-01,65.81647
1999-06,93.60000
1999-02,95.12176
1999-01,67.43614
1998-11,44.90000
1998-02,96.91067
1998-01,68.51765
1997-12,115.40000
1997-10,115.42000
1997-09,115.19033
1997-08,112.80031
1997-07,115.36000
1997-06,115.34276
1997-05,115.41452
1997-04,115.52903
1997-03,110.38308
1997-02,77.37240
1997-01,114.78089
1996-12,115.48226
1996-11,115.59000
1996-10,105.04444
1996-02,127.08000
1996-01,76.74350
1995-04,42.50000
1995-02,80.56833
1995-01,76.31500
