datetime,saturated_thickness
2021-05,49.69616
2020-07,49.70019
2019-10,49.70431
2019-01,49.70850
2018-03,49.71279
2017-06,49.71715
2016-09,50.52188
2015-12,53.96778
2014-12,50.94522
2013-12,46.39000
2012-12,53.73500
2011-12,50.50200
2010-12,48.73905
2009-12,49.89667
2008-12,51.92895
2007-12,60.58957
2006-12,49.13478
2005-11,66.70000
2004-12,51.93958
2004-11,-14.10000
2003-12,53.37154
2002-12,54.63192
2001-12,53.43963
2001-08,60.60000
2000-12,54.40870
2000-11,21.68333
2000-07,70.00000
1999-12,52.95476
1998-12,49.00667
1997-12,47.43846
1996-12,48.40800
1995-12,51.64531
1995-06,56.80000
1995-01,49.15750
