datetime,saturated_thickness
2020-03,222.66973
2020-02,222.98750
2020-01,223.31068
2019-12,223.63934
2019-11,223.97350
2019-10,224.31323
2019-09,224.65854
2019-08,225.00950
2019-07,225.36613
2019-06,225.72846
2019-05,226.09651
2019-04,226.47033
2019-03,226.84991
2019-02,227.23530
2019-01,227.62648
2018-12,228.02348
2018-11,228.42629
2018-10,228.83494
2018-09,229.24938
2018-08,229.66962
2018-07,230.09563
2018-06,230.52741
2018-05,230.96491
2018-04,231.40812
2018-03,231.85696
2018-02,232.31143
2018-01,232.77144
2017-12,233.23696
2017-11,233.70792
2017-10,234.18422
2017-09,234.66580
2017-08,235.15258
2017-07,235.64446
2017-06,236.14134
2017-05,236.64310
2017-04,237.14964
2017-03,237.66086
2017-02,238.17659
2017-01,238.69673
2016-12,239.22112
2016-11,239.74961
2016-10,167.05909
2016-08,221.45846
2016-08,221.92600
2016-07,247.18091
2016-06,265.05333
2016-05,236.41371
2016-04,171.49552
2016-03,197.15480
2016-02,197.54889
2016-01,223.08667
2015-12,222.34667
2015-11,220.50333
2015-10,229.54083
2015-09,270.28375
2015-08,311.79500
2015-07,283.30429
2015-06,251.99824
2015-05,226.12786
2015-04,230.07111
2015-03,265.32200
2015-02,191.90063
2015-01,361.75857
2014-12,268.18333
2014-11,235.63000
2014-10,263.34889
2014-09,268.52000
2014-08,269.48111
2014-07,266.62444
2014-06,309.82500
2014-05,221.38833
2014-04,214.81926
2014-03,201.87754
2014-02,186.36194
2014-01,302.37833
2013-12,301.40083
2013-11,299.03750
2013-10,299.05636
2013-09,299.15800
2013-08,278.30533
2013-07,280.10063
2013-06,263.47250
2013-05,237.64338
2013-04,229.62960
2013-03,192.79627
2013-02,305.76750
2013-01,306.72364
2012-12,305.56583
2012-11,304.09500
2012-10,299.73667
2012-09,300.40417
2012-08,303.34143
2012-07,307.68250
2012-06,293.10500
2012-05,268.94800
2012-04,262.43958
2012-03,188.08642
2012-02,260.75750
2012-01,285.02867
2011-12,308.37833
2011-11,282.84267
2011-10,281.34800
2011-09,303.61818
2011-08,276.47200
2011-07,302.43875
2011-06,288.57867
2011-05,236.30250
2011-04,265.90800
2011-03,230.50688
2011-02,207.09896
2011-01,224.58808
2010-12,319.34500
2010-11,236.85077
2010-10,303.62000
2010-09,297.22000
2010-08,213.56750
2010-07,315.28182
2010-06,307.77615
2010-05,238.79212
2010-04,217.93000
2010-03,194.32417
2010-02,316.42500
2010-01,279.03586
2009-12,288.48870
2009-11,314.92750
2009-10,297.09846
2009-09,325.65333
2009-08,269.28933
2009-07,316.61583
2009-06,316.32250
2009-05,249.24500
2009-04,258.78439
2009-03,218.76099
2009-02,316.76250
2009-01,329.46167
2008-12,328.80167
2008-11,257.46636
2008-10,312.05100
2008-09,304.97857
2008-08,237.54778
2008-07,312.20000
2008-06,310.91429
2008-05,238.12550
2008-04,265.99545
2008-03,205.38868
