datetime,saturated_thickness
2020-01,63.33915
2019-12,63.34042
2019-11,63.34172
2019-10,63.34303
2019-09,63.34436
2019-08,63.34572
2019-07,63.34709
2019-06,63.34849
2019-05,63.34991
2019-04,63.35136
2019-03,63.35282
2019-02,63.35431
2019-01,63.35582
2018-12,63.35736
2018-11,63.35893
2018-10,63.36052
2018-09,63.36213
2018-08,63.36377
2018-07,63.36543
2018-06,63.36713
2018-05,63.36885
2018-03,63.37059
2018-02,63.37237
2018-01,63.37418
2017-12,63.37601
2017-11,63.37787
2017-10,63.37977
2017-09,63.38170
2017-08,63.38365
2017-07,63.38564
2017-06,63.38766
2017-05,63.38971
2017-04,63.39180
2017-03,63.39393
2017-02,63.39608
2017-01,63.39827
2016-12,63.40050
2016-11,63.40277
2016-10,63.40507
2016-09,63.40741
2016-08,48.60800
2016-07,52.96667
2016-06,56.19833
2016-05,55.93667
2016-04,56.71667
2016-03,56.34167
2016-02,89.14600
2016-01,101.09394
2015-12,79.30800
2015-11,55.11333
2015-10,54.21333
2015-09,52.21500
2015-08,51.83833
2015-07,56.19667
2015-06,55.88667
2015-05,55.91667
2015-04,55.99333
2015-03,73.54600
2015-02,85.87810
2015-01,74.51462
2014-12,106.06981
2014-11,55.10500
2014-10,54.70833
2014-09,53.21000
2014-08,52.78667
2014-07,55.87500
2014-06,55.40833
2014-05,53.97833
2014-04,55.88857
2014-03,59.82000
2014-02,90.60267
2014-01,57.54750
2013-12,104.50787
2013-11,56.04400
2013-10,54.67500
2013-09,53.97000
2013-08,52.67167
2013-07,53.77833
2013-06,54.26000
2013-05,53.09333
2013-04,55.68500
2013-03,55.67667
2013-02,94.43222
2013-01,55.41000
2012-12,100.95292
2012-11,55.38800
2012-10,54.75667
2012-09,52.75000
2012-08,51.61167
2012-07,54.65667
2012-06,55.33500
2012-05,54.33333
2012-04,56.12500
2012-03,87.32556
2012-02,91.13621
2012-01,97.71500
2011-12,54.88571
2011-11,54.13000
2011-10,53.71333
2011-09,51.76833
2011-08,51.65333
2011-07,51.79750
2011-06,54.36000
2011-05,53.14333
2011-04,55.66333
2011-03,57.58167
2011-02,90.67273
2011-01,63.56857
2010-12,104.21826
2010-11,57.56400
2010-09,52.00000
2010-08,50.45000
2010-07,57.57667
2010-06,57.92000
2010-05,58.27333
2010-04,57.55667
2010-03,69.21000
2010-02,72.82167
2010-01,105.63242
2009-12,56.86000
2009-11,56.09500
2009-10,56.63750
2009-09,54.61667
2009-08,52.65286
2009-07,55.78667
2009-06,56.78500
2009-05,54.63167
2009-04,57.58500
2009-03,127.03889
2009-02,98.34881
