datetime,saturated_thickness
2020-03,125.15702
2019-12,125.15011
2019-09,125.14482
2019-07,125.14129
2019-04,125.13967
2019-02,125.14009
2018-11,125.14270
2018-09,125.14769
2018-06,125.15521
2018-04,125.16547
2018-01,125.17866
2017-11,125.19501
2017-08,125.21473
2017-06,125.23808
2017-03,125.26530
2017-01,125.29668
2016-10,125.33250
2016-08,127.38600
2016-07,127.78167
2016-06,128.16500
2016-05,128.22667
2016-04,128.38500
2016-03,128.68167
2016-02,119.06333
2016-01,141.45667
2015-12,110.62714
2015-11,128.85167
2015-10,128.95500
2015-09,129.07667
2015-08,129.32667
2015-07,129.57333
2015-06,129.80500
2015-05,129.91667
2015-04,130.08667
2015-03,130.49333
2015-02,110.72750
2015-01,119.74429
2014-12,131.05857
2014-11,131.27000
2014-10,131.53000
2014-09,131.86167
2014-08,132.30667
2014-07,132.81000
2014-06,133.11667
2014-05,133.37667
2014-04,133.68500
2014-03,134.04167
2014-02,135.82087
2014-01,117.84000
2013-12,115.16000
2013-11,134.75500
2013-10,135.01500
2013-09,135.24500
2013-02,147.87444
2013-01,119.22174
2012-12,143.40091
2012-01,136.51235
2011-12,111.55125
2011-03,91.91000
2011-02,164.04000
2010-12,133.18400
2010-06,141.00000
2010-03,145.72833
2009-11,140.02400
2009-04,149.00000
2009-02,159.13355
2008-12,150.83222
2008-02,167.44029
2008-01,66.62000
2007-12,146.29182
2007-06,106.00000
2007-03,200.33500
2007-02,151.23933
2006-12,152.23750
2006-11,140.73000
2006-09,259.00000
2006-06,169.00000
2006-03,184.07500
2006-02,178.95429
2006-01,157.36385
2005-11,148.39842
2005-03,156.29323
2004-12,158.86389
2004-06,107.18000
2004-05,278.54000
2004-04,146.00000
2004-03,161.33682
2004-02,96.51000
2004-01,207.00000
2003-12,156.23500
2003-03,173.39062
2003-02,132.89167
2002-12,152.23929
2002-11,160.00000
2002-03,114.51917
2002-02,185.65600
2001-12,174.46941
2001-04,156.55750
2001-03,154.12000
2001-01,196.52500
2000-12,159.81176
2000-05,83.26667
2000-02,165.56222
1999-12,172.63176
1999-07,212.00000
1998-12,166.31000
1998-09,235.00000
1998-03,138.84739
1998-02,207.92500
1998-01,200.21250
1997-12,173.82609
1997-03,170.78056
1996-12,175.76273
1996-03,166.61591
1996-02,196.03571
1995-12,157.89294
1995-08,156.24000
1995-03,174.66327
1995-02,201.88500
