datetime,saturated_thickness
2020-01,113.02991
2019-12,113.02991
2019-11,113.02991
2019-10,113.02991
2019-09,113.02991
2019-08,113.02991
2019-07,113.02991
2019-06,113.02991
2019-05,113.02991
2019-04,113.02991
2019-03,113.02991
2019-02,113.02991
2019-01,113.02991
2018-12,113.02991
2018-11,113.02991
2018-10,113.02991
2018-09,113.02991
2018-08,113.02991
2018-07,113.02991
2018-06,113.02991
2018-05,113.02991
2018-04,113.02991
2018-03,113.02991
2018-02,113.02991
2018-01,113.02991
2017-12,113.02991
2017-11,113.02991
2017-10,113.02991
2017-09,113.02991
2017-08,113.02991
2017-07,113.02991
2017-06,113.02990
2017-05,113.02991
2017-04,113.02990
2017-03,113.02991
2017-02,113.02991
2017-01,113.02991
2016-12,113.02990
2016-11,113.02990
2016-10,113.02991
2016-09,113.02991
2016-08,124.73000
2016-07,128.14500
2016-06,129.83000
2016-05,128.56167
2016-04,129.78833
2016-03,129.49667
2016-02,129.56400
2016-01,80.99121
2015-12,128.67143
2015-11,127.93333
2015-10,126.33500
2015-09,120.90167
2015-08,118.65167
2015-07,125.69500
2015-06,128.32500
2015-05,128.06667
2015-04,127.72333
2015-03,127.75167
2015-02,127.69833
2015-01,78.93024
2014-12,126.95667
2014-11,126.49667
2014-10,125.27667
2014-09,120.93500
2014-08,115.74333
2014-07,104.00200
2014-06,101.44583
2014-05,100.04167
2014-04,102.03083
2014-03,105.79083
2014-02,106.50833
2014-01,79.95754
2013-12,106.39500
2013-11,105.61167
2013-10,104.26333
2013-09,94.05583
2013-08,94.32917
2013-07,100.14083
2013-06,100.75417
2013-05,97.30000
2013-04,104.80833
2013-03,101.05500
2013-02,108.13000
2013-01,80.54496
2012-12,107.41417
2012-11,106.69700
2012-10,103.78833
2012-09,100.05500
2012-08,95.03417
2012-07,97.08167
2012-06,99.56750
2012-05,101.08000
2012-04,101.89167
2012-03,105.43000
2012-02,106.19091
2012-01,81.05331
2011-12,110.72000
2011-11,129.96167
2011-10,128.33333
2011-09,108.99375
2011-08,91.61417
2011-07,94.41750
2011-06,109.02750
2011-05,99.42583
2011-04,126.65167
2011-03,110.44100
2011-02,130.02400
2011-01,85.16118
2010-12,112.57273
2010-11,111.93818
2010-10,113.91778
2010-09,104.18250
2010-08,103.65889
2010-07,127.25333
2010-06,128.23833
2010-05,117.72750
2010-04,108.13833
2010-03,110.66667
2010-02,111.55100
2010-01,84.36839
2009-12,129.29333
2009-11,128.59000
2009-10,127.21333
2009-09,121.45167
2009-08,91.38917
2009-07,101.32083
2009-06,116.11125
2009-05,98.05917
2009-04,108.51800
2009-03,107.78333
2009-02,117.31111
2009-01,81.17391
2008-12,112.80556
2008-11,109.36583
2008-10,106.89250
2008-09,102.25000
2008-08,99.22364
2008-07,122.39000
2008-06,118.42286
2008-05,101.36917
2008-04,104.40417
2008-03,114.30778
2008-02,128.48000
2008-01,84.56833
2007-12,112.41500
2007-11,109.41833
2007-10,103.63000
2007-09,105.11083
2007-08,110.19778
2007-07,104.63182
2007-06,113.11000
2007-05,112.90800
2007-04,111.58000
2007-03,107.30417
2007-02,108.78333
2007-01,81.20929
2006-12,113.84556
2006-11,113.52667
2006-10,112.52111
2006-09,109.32444
2006-08,91.86250
2006-07,91.19500
2006-06,97.72750
2006-05,102.48500
2006-04,105.40917
2006-03,106.77167
2006-02,109.43500
2006-01,81.80298
2005-12,127.20000
2005-11,126.66833
2005-10,125.51167
2005-09,119.82500
2005-08,116.63000
2005-07,114.59667
2005-06,123.93167
2005-05,123.15000
2005-04,126.09500
2005-03,127.68000
2005-02,126.79800
2005-01,83.41885
2004-11,125.32500
2004-10,124.71667
2004-09,122.44167
2004-08,121.72000
2004-07,119.78000
2004-06,120.57500
2004-05,118.49000
2004-04,124.54000
2004-03,94.46190
2004-02,125.17571
2004-01,82.75289
2003-12,125.14833
2003-11,124.75000
2003-10,123.42000
2003-09,118.15333
2003-08,107.27333
2003-07,114.60333
2003-06,124.52000
2003-05,123.22333
2003-04,123.73833
2003-03,126.81167
2003-02,127.16167
2003-01,85.21586
2002-12,126.81667
2002-11,126.28833
2002-10,124.70167
2002-09,118.16600
2002-08,109.18167
2002-07,119.76000
2002-06,126.40500
2002-05,124.16500
2002-04,127.60000
2002-03,128.05167
2002-02,128.74667
2002-01,86.23753
2001-12,128.22000
2001-11,127.29167
2001-10,125.51500
2001-09,119.99167
2001-08,107.00750
2001-07,122.22000
2001-06,122.93600
2001-01,88.25426
2000-11,56.02500
2000-10,56.02167
2000-09,68.41125
2000-08,56.91500
2000-07,57.61500
2000-06,64.21125
2000-05,58.35167
2000-04,62.96571
2000-03,59.34667
2000-02,59.50833
2000-01,86.96400
1999-12,59.44500
1999-11,59.33667
1999-10,59.12833
1999-09,58.97000
1999-08,59.54167
1999-07,89.74952
1999-06,89.95280
1999-05,60.95000
1999-04,61.52500
1999-03,61.57000
1999-02,61.67333
1999-01,88.27336
1998-12,61.62500
1998-11,61.50167
1998-10,61.34500
1998-09,61.63167
1998-08,62.21333
1998-07,72.60250
1998-06,82.36167
1998-05,82.49500
1998-04,82.64167
1998-03,82.69500
1998-02,82.39000
1998-01,91.82473
1997-12,82.90833
1997-11,83.04667
1997-10,83.22333
1997-09,83.36167
1997-08,83.52333
1997-07,83.57333
1997-06,83.71667
1997-05,83.79333
1997-04,84.04833
1997-03,83.91000
1997-02,84.06333
1997-01,91.26697
1996-12,84.26667
1996-11,84.47833
1996-10,88.62286
1996-09,84.84667
1996-08,85.05000
1996-07,85.25167
1996-06,85.50500
1996-05,85.77333
1996-04,81.61750
1996-02,94.00398
1996-01,86.01667
1995-12,86.04167
1995-11,86.23167
1995-10,86.37000
1995-09,86.62500
1995-08,86.96667
1995-07,87.18667
1995-06,87.28167
1995-05,87.45333
1995-04,87.88333
1995-03,87.78500
1995-02,84.60000
1995-01,113.19771
