datetime,saturated_thickness
2020-01,42.87476
2019-12,42.89038
2019-10,42.90624
2019-09,42.92234
2019-08,42.93868
2019-07,42.95527
2019-05,42.97211
2019-04,42.98921
2019-03,43.00656
2019-01,43.02418
2018-12,43.04206
2018-11,43.06022
2018-10,43.07865
2018-09,43.09736
2018-07,43.11635
2018-06,43.13563
2018-05,43.15520
2018-04,43.17506
2018-02,43.19523
2018-01,43.21570
2017-12,43.23647
2017-10,43.25756
2017-09,43.27897
2017-08,43.30069
2017-07,43.32275
2017-06,43.34513
2017-04,43.36784
2017-03,43.39090
2017-02,43.41429
2016-12,43.43805
2016-11,43.46215
2016-10,43.48661
2016-09,43.51143
2016-08,35.40800
2016-07,35.60000
2016-06,35.83667
2016-05,36.08667
2016-04,36.32500
2016-03,36.30333
2016-02,53.07273
2016-01,63.10280
2015-12,52.43667
2015-11,35.39167
2015-10,35.26667
2015-09,35.36167
2015-08,35.55000
2015-07,35.73667
2015-06,35.86000
2015-05,35.86500
2015-04,36.14500
2015-03,42.10286
2015-02,66.73560
2015-01,74.39846
2014-12,52.30280
2014-11,35.93833
2014-10,35.95333
2014-09,36.02667
2014-08,36.24500
2014-07,36.45667
2014-06,36.65000
2014-05,36.90833
2014-04,37.18333
2014-03,37.40500
2014-02,55.12429
2014-01,59.76412
2013-12,60.97368
2013-11,37.51833
2013-10,37.59833
2013-09,50.12714
2013-08,37.96667
2013-07,38.27333
2013-06,38.55333
2013-05,38.81833
2013-04,39.09333
2013-03,41.48800
2013-02,57.20143
2013-01,65.86566
2012-12,53.80327
2012-11,38.93400
2012-10,38.88167
2012-09,39.22833
2012-08,39.50833
2012-07,39.90667
2012-06,40.21500
2012-05,40.60667
2012-04,42.68000
2012-03,63.35100
2012-02,41.22333
2012-01,59.63429
2011-12,50.36529
2011-11,41.40500
2011-10,41.64333
2011-09,41.71667
2011-08,41.91500
2011-07,42.33500
2011-06,42.71000
2011-05,42.97167
2011-04,43.22000
2011-03,43.09000
2011-02,58.15615
2011-01,61.93000
2010-12,66.74490
2010-11,43.39500
2010-10,43.53500
2010-07,44.82667
2010-06,45.10167
2010-05,45.17667
2010-04,45.81000
2010-03,61.37400
2010-02,57.79250
2010-01,45.01833
2009-12,66.32760
2009-11,44.75200
2009-10,44.80333
2009-09,44.89333
2009-08,45.05833
2009-07,45.26833
2009-06,45.55500
2009-05,45.86500
2009-04,46.00000
2009-03,46.16833
2009-02,53.95000
2009-01,75.65526
2008-12,52.32600
2008-11,46.38500
2008-10,46.37833
2008-09,46.42833
2008-08,46.57000
2008-07,46.64000
2008-06,46.72667
2008-05,46.80000
2008-04,46.92833
2008-03,46.81500
2008-02,48.82125
2008-01,72.39670
2007-12,54.04650
2007-11,46.84167
2007-10,46.82833
2007-09,46.80667
2007-08,46.85500
2007-07,46.80000
2007-06,46.84167
2007-05,46.89833
2007-04,46.91667
2007-03,75.23825
2007-02,80.76289
2006-12,50.33778
2006-10,46.91667
2006-09,46.92000
2006-08,46.96000
2006-07,47.01500
2006-06,47.05000
2006-05,47.02333
2006-04,47.10667
2006-03,47.11833
2006-02,55.73235
2006-01,78.17838
2005-11,54.68259
2005-10,46.96000
2005-08,47.01667
2005-07,47.02000
2005-06,46.98333
2005-05,46.99286
2005-04,46.97000
2005-03,43.87000
2005-02,46.91667
2005-01,76.24139
2004-12,48.30000
2004-11,46.92833
2004-10,46.93000
2004-09,46.90333
2004-08,46.86333
2004-07,46.85667
2004-06,46.87000
2004-05,46.82833
2004-04,46.81000
2004-03,46.78667
2004-02,52.90375
2004-01,74.08606
2003-12,48.70355
2003-11,46.74333
2003-10,46.72500
2003-09,46.73667
2003-08,46.72167
2003-07,46.69000
2003-06,46.66333
2003-05,46.64143
2003-04,46.62143
2003-03,48.97667
2003-02,46.43600
2003-01,76.86722
2002-12,47.61400
2002-10,70.96000
2002-08,46.28333
2002-07,46.25000
2002-06,46.17000
2002-03,45.87000
2002-02,45.27857
2002-01,80.72100
2001-12,50.38944
2001-11,45.56500
2001-10,45.50000
2001-09,84.09667
2001-08,145.90000
2001-04,44.50000
2001-03,99.32800
2001-02,79.13724
2001-01,43.99000
2000-12,49.36667
2000-11,70.25000
2000-10,42.84000
2000-02,65.94500
2000-01,79.96444
1999-12,47.75406
1999-02,123.55000
1999-01,78.29728
1998-12,49.81290
1998-02,126.34000
1998-01,78.31589
1997-12,46.36481
1997-10,42.44500
1997-09,42.86267
1997-08,43.29519
1997-07,43.68581
1997-06,43.16310
1997-05,43.02484
1997-04,43.02567
1997-03,43.01613
1997-02,49.37943
1997-01,66.12988
1996-12,45.83073
1996-11,41.82467
1996-10,42.98552
1996-07,32.06667
1996-03,69.59000
1996-02,193.90000
1996-01,80.76800
1995-12,48.33226
1995-02,69.78889
1995-01,86.32524
