datetime,saturated_thickness
2020-01,34.54135
2019-11,34.56542
2019-09,34.59025
2019-08,34.61585
2019-06,34.64226
2019-05,34.66952
2019-03,34.69763
2019-01,34.72666
2018-12,34.75660
2018-10,34.78750
2018-09,34.81940
2018-07,34.85234
2018-06,34.88634
2018-04,34.92144
2018-02,34.95768
2018-01,34.99512
2017-11,35.03375
2017-10,35.07368
2017-08,35.11492
2017-07,35.15752
2017-05,35.20153
2017-03,35.24701
2017-02,35.29400
2016-12,35.34257
2016-11,35.39275
2016-09,35.44463
2016-08,29.61000
2016-07,32.04333
2016-06,34.32056
2016-05,35.15778
2016-04,34.98722
2016-03,67.26966
2016-02,77.47387
2016-01,86.92147
2015-12,33.48222
2015-11,32.48444
2015-10,31.17611
2015-09,29.43056
2015-08,30.26000
2015-07,15.45929
2015-06,11.09769
2015-05,10.99692
2015-04,37.69143
2015-03,65.95871
2015-02,36.66818
2015-01,84.24400
2014-12,15.15571
2014-11,-34.99500
2014-10,20.76200
2014-09,23.05278
2014-08,18.89500
2014-07,13.64500
2014-06,16.93400
2014-05,21.62611
2014-04,19.70350
2014-03,61.16898
2014-02,64.11575
2014-01,70.14516
2013-12,111.17206
2013-11,35.77947
2013-10,31.86500
2013-09,28.62833
2013-08,29.30111
2013-07,31.11556
2013-06,32.99444
2013-05,47.04516
2013-04,49.46462
2013-03,48.32292
2013-02,56.36438
2013-01,82.87027
2012-12,40.06412
2012-11,35.62389
2012-10,34.92889
2012-09,32.68944
2012-08,29.63471
2012-07,32.75889
2012-06,37.35611
2012-05,38.49250
2012-04,38.50111
2012-03,69.59333
2012-02,65.00000
2012-01,83.51121
2011-12,64.08567
2011-11,37.44333
2011-10,35.62000
2011-09,25.55437
2011-08,9.38462
2011-07,33.67294
2011-06,39.51706
2011-05,37.55889
2011-04,65.82200
2011-03,69.66571
2011-02,67.38375
2011-01,78.65402
2010-12,108.40863
2010-11,41.17583
2010-10,0.88000
2010-09,60.20455
2010-08,-28.91000
2010-06,73.79394
2010-05,-20.28000
2010-04,28.51833
2010-03,87.22697
2010-02,73.00708
2010-01,83.71846
2009-12,62.00727
2009-11,69.95700
2009-10,65.49333
2009-09,65.53333
2009-08,65.76667
2009-07,66.23917
2009-06,62.90085
2009-05,44.84750
2009-04,66.86250
2009-03,73.39585
2009-02,100.72556
2009-01,78.66482
2008-12,112.90317
2008-11,66.88667
2008-10,66.79500
2008-09,65.27814
2008-08,68.32077
2008-07,67.15000
2008-06,80.07686
2008-05,67.79167
2008-04,67.96583
2008-03,83.94216
2008-02,72.74286
2008-01,126.12279
2007-12,76.54135
2007-11,91.07000
2007-10,91.02500
2007-09,91.19000
2007-08,91.65833
2007-07,92.27167
2007-06,92.44333
2007-05,92.29000
2007-04,79.61400
2007-03,88.69125
2007-02,101.26563
2007-01,85.12619
2006-12,106.66000
2006-11,90.58833
2006-10,90.48500
2006-09,90.50000
2006-08,89.93667
2006-07,59.13300
2006-05,51.24000
2006-04,83.07500
2006-02,103.46667
2006-01,50.00000
2005-12,98.56716
2005-02,71.50000
2005-01,226.09000
2004-12,93.93194
2004-09,88.00000
2004-02,112.02857
2004-01,226.90000
2003-12,106.00250
2003-02,122.00000
2003-01,119.52500
2002-12,91.65161
2002-10,88.55000
2002-09,93.80000
2002-08,119.60000
2002-07,41.21667
2002-01,112.90000
2001-12,110.27143
2001-08,370.60000
2001-03,76.75000
2001-02,132.13333
2001-01,121.85283
2000-12,100.89091
2000-02,187.48889
1999-12,96.30800
1999-03,183.11250
1999-01,49.10000
1998-12,113.71400
1998-03,95.20000
1998-02,70.27000
1998-01,94.73636
1997-12,158.60704
1997-02,205.55000
1997-01,133.27898
1996-12,97.36000
1996-02,111.77000
1996-01,87.86920
1995-12,159.99750
1995-04,92.35000
1995-01,160.22417
