datetime,saturated_thickness
2020-04,41.80759
2019-11,42.13272
2019-07,42.48471
2019-03,42.86563
2018-11,43.27760
2018-06,43.72276
2018-02,44.20323
2017-10,44.72104
2017-06,45.27802
2017-01,45.87577
2016-09,46.51546
2016-05,47.19775
2016-01,24.22500
2015-12,59.12515
2015-01,5.98600
2014-12,51.47223
2014-02,65.32500
2014-01,56.69348
2013-03,62.90000
2013-02,39.95000
2013-01,58.15317
2012-12,51.20000
2012-08,73.00000
2012-01,61.32061
2011-12,57.45556
2011-03,81.30000
2011-02,51.57500
2011-01,62.92597
2010-12,56.67500
2010-01,59.65310
2009-12,69.04186
2009-01,59.19429
2008-12,67.77391
2008-06,97.77000
2008-01,61.03537
2007-12,70.93289
2007-01,64.71081
2006-12,70.06731
2006-01,71.81972
2005-12,64.49149
2005-01,77.12444
2004-12,65.07542
2004-09,47.20000
2004-04,49.40000
2004-01,68.61000
2003-12,65.85273
2003-05,67.40000
2003-01,71.10620
2002-12,70.32222
2002-08,71.42000
2002-07,55.90000
2002-02,68.21111
2002-01,72.44437
2001-08,91.00000
2001-02,68.05294
2001-01,75.63542
2000-10,105.20000
2000-09,92.44000
2000-07,56.50000
2000-03,40.90000
2000-01,76.27803
1998-12,69.29969
1997-12,74.98059
1996-12,77.98730
1996-04,88.20500
1996-03,40.80000
1995-12,80.35797
1995-09,69.30000
1995-07,52.10000
1995-05,62.10000
1995-02,82.01980
