datetime,saturated_thickness
2020-02,193.12983
2019-12,193.12940
2019-11,193.12898
2019-09,193.12851
2019-08,193.12804
2019-06,193.12755
2019-05,193.12704
2019-03,193.12650
2019-02,193.12594
2018-12,193.12535
2018-11,193.12472
2018-09,193.12409
2018-08,193.12340
2018-06,193.12272
2018-05,193.12198
2018-03,193.12120
2018-02,193.12041
2017-12,193.11958
2017-11,193.11871
2017-09,193.11778
2017-08,193.11683
2017-06,193.11585
2017-05,193.11480
2017-03,193.11372
2017-01,193.11256
2016-12,193.11137
2016-10,193.11014
2016-09,193.10882
2016-08,210.03400
2016-07,214.97167
2016-06,218.20833
2016-05,219.02167
2016-04,219.18833
2016-03,143.10250
2016-02,142.16649
2016-01,152.47977
2015-12,139.28367
2015-11,215.85500
2015-10,213.90333
2015-09,209.56833
2015-08,213.77333
2015-07,217.87000
2015-06,218.52667
2015-05,218.25500
2015-04,135.69200
2015-03,217.39286
2015-02,160.73364
2015-01,162.19650
2014-12,134.98068
2014-11,157.90538
2014-10,212.54500
2014-09,208.34000
2014-08,207.55833
2014-07,212.35333
2014-06,216.56667
2014-05,214.02667
2014-04,217.94167
2014-03,218.38667
2014-02,141.36600
2014-01,154.82315
2013-12,131.32439
2013-11,215.03167
2013-10,213.09167
2013-09,207.13833
2013-08,207.21333
2013-07,210.10167
2013-06,214.11500
2013-05,143.89154
2013-04,142.47059
2013-03,178.22235
2013-02,119.08828
2013-01,145.55636
2012-11,213.25750
2012-10,214.74833
2012-09,211.68167
2012-08,203.21000
2012-07,214.04667
2012-06,218.13667
2012-05,218.66333
2012-04,219.62167
2012-03,211.41667
2012-02,198.00111
2012-01,154.53474
2011-12,133.56859
2011-11,214.75500
2011-10,211.87167
2011-09,206.20500
2011-08,207.55167
2011-07,211.36600
2011-06,214.20333
2011-05,217.30333
2011-04,220.63333
2011-03,127.17222
2011-02,195.52143
2011-01,175.15611
2010-12,137.79506
2010-11,215.87600
2010-10,167.71900
2010-09,143.49385
2010-08,204.66833
2010-07,208.11000
2010-06,137.28933
2010-05,221.50333
2010-04,221.71167
2010-03,138.33611
2010-02,145.40900
2010-01,138.93558
2009-12,220.00857
2009-11,219.21500
2009-10,218.17500
2009-09,214.10167
2009-08,210.37833
2009-07,211.11333
2009-06,142.66692
2009-05,221.13167
2009-04,222.27000
2009-03,175.33667
2009-02,157.46067
2009-01,154.06476
2008-12,135.73153
2008-11,220.32333
2008-10,219.30333
2008-09,190.93700
2008-08,212.12167
2008-07,213.19167
2008-06,172.85333
2008-05,222.27500
2008-04,222.25167
2008-03,162.42800
2008-02,185.95111
2008-01,220.97000
2007-12,136.03281
2007-11,219.27000
2007-10,218.55500
2007-09,213.95800
2007-08,200.50667
2007-07,212.94333
2007-06,220.15500
2007-05,222.47333
2007-04,177.10222
2007-03,221.83500
2007-01,146.25385
2006-12,145.26410
2006-10,219.01200
2006-09,216.52800
2006-08,191.78333
2006-07,167.37750
2006-06,173.30444
2006-05,215.71300
2006-04,170.87286
2006-03,207.54778
2006-02,186.58529
2006-01,136.78466
2005-12,221.39500
2005-11,220.87500
2005-10,220.18500
2005-04,17.00000
2005-02,151.00000
2005-01,132.77326
2004-10,77.16667
2004-08,208.91000
2004-02,140.36667
2004-01,159.55000
2003-12,118.80566
2003-10,80.20000
2003-02,233.30000
2003-01,135.29012
2002-11,221.40000
2002-10,171.80000
2002-08,65.30000
2002-07,82.10000
2002-01,136.67229
2001-12,139.55000
2001-03,171.42000
2001-02,204.60000
2001-01,127.80886
2000-12,234.20000
2000-03,164.84000
2000-02,197.52727
2000-01,105.13061
1999-12,242.05000
1999-03,91.70000
1999-01,105.35139
1998-12,158.15909
1998-04,147.66667
1998-02,88.20857
1998-01,129.59155
1997-02,200.00000
1997-01,101.05000
1996-12,136.30653
1996-02,200.73750
1996-01,201.03211
1995-12,98.04578
