datetime,saturated_thickness
2020-01,81.78606
2019-12,81.78606
2019-11,81.78606
2019-10,81.78607
2019-09,81.78607
2019-08,81.78607
2019-07,81.78607
2019-06,81.78608
2019-05,81.78609
2019-04,81.78609
2019-03,81.78609
2019-02,81.78610
2019-01,81.78610
2018-12,81.78611
2018-11,81.78611
2018-10,81.78611
2018-09,81.78612
2018-08,81.78613
2018-07,81.78614
2018-06,81.78614
2018-05,81.78615
2018-04,81.78617
2018-03,81.78618
2018-02,81.78618
2018-01,81.78619
2017-12,81.78620
2017-11,81.78622
2017-10,81.78623
2017-09,81.78624
2017-08,81.78624
2017-07,81.78625
2017-06,81.78627
2017-05,81.78629
2017-04,81.78631
2017-03,81.78632
2017-02,81.78634
2017-01,81.78636
2016-12,81.78638
2016-11,81.78640
2016-10,81.78642
2016-09,81.78644
2016-08,102.32200
2016-07,102.59333
2016-06,102.76500
2016-05,102.92500
2016-04,103.28500
2016-03,91.96333
2016-02,48.73057
2016-01,50.59486
2015-12,103.45286
2015-11,103.33333
2015-10,103.10333
2015-09,102.96667
2015-08,102.84500
2015-07,102.74167
2015-06,102.70667
2015-05,102.65167
2015-04,102.57167
2015-03,95.84286
2015-02,71.53862
2015-01,41.53722
2014-12,77.88722
2014-11,101.62667
2014-10,100.96167
2014-09,100.67667
2014-08,99.41500
2014-07,100.81667
2014-06,101.70833
2014-05,101.59333
2014-04,102.77667
2014-03,98.01300
2014-02,82.67882
2014-01,46.69717
2013-12,90.26800
2013-11,102.23429
2013-10,102.86286
2013-09,102.09667
2013-08,101.84667
2013-07,102.06167
2013-06,90.55000
2013-05,103.15500
2013-04,100.90571
2013-03,102.02125
2013-02,50.77571
2013-01,95.82375
2012-12,51.79750
2012-09,102.75500
2012-08,102.27500
2012-07,103.60000
2012-06,105.83000
2012-05,107.31500
2012-04,98.52875
2012-03,43.10444
2012-02,57.79081
2012-01,88.63833
2011-12,102.67545
2011-11,107.94833
2011-10,107.91000
2011-09,107.58333
2011-08,107.05167
2011-07,106.32167
2011-06,106.25000
2011-05,108.15667
2011-04,108.74600
2011-03,92.31667
2011-02,55.85958
2011-01,54.08374
2010-12,109.79833
2010-11,109.83000
2010-10,86.00286
2010-09,67.41500
2010-08,52.97222
2010-07,24.02000
2010-06,45.90375
2010-05,67.86500
2010-04,68.00417
2010-03,68.09250
2010-02,59.76333
2010-01,56.73020
2009-12,68.21167
2009-11,68.24583
2009-10,68.43417
2009-09,68.53500
2009-08,68.82083
2009-07,69.04417
2009-06,69.13083
2009-05,69.27167
2009-04,69.42917
2009-03,53.10000
2009-02,55.66395
2009-01,75.76189
2008-12,60.80800
2008-11,69.84583
2008-10,69.98083
2008-09,70.07417
2008-08,70.39000
2008-07,70.67167
2008-06,70.85917
2008-05,71.00917
2008-04,82.44000
2008-03,103.39000
2008-02,116.24000
2008-01,61.58320
2007-12,86.61111
2007-11,71.64833
2007-10,71.70167
2007-09,71.75333
2007-08,72.00583
2007-07,72.38167
2007-06,72.34667
2007-05,72.40250
2007-04,72.41583
2007-03,117.71000
2007-02,54.03594
2007-01,69.78952
2006-12,72.62750
2006-11,72.58083
2006-10,72.72083
2006-09,72.74917
2006-08,72.84333
2006-07,73.14250
2006-06,73.36417
2006-05,73.48750
2006-04,73.68333
2006-03,77.18462
2006-02,74.27750
2006-01,66.23604
2005-12,120.35500
2005-11,120.49000
2005-10,107.50857
2005-09,120.72667
2005-08,74.70500
2005-07,71.37231
2005-06,75.28500
2005-05,80.27312
2005-04,75.59000
2005-03,57.15893
2005-02,69.28879
2005-01,74.33000
2004-12,79.53733
2004-11,75.33833
2004-10,71.80923
2004-09,74.62667
2004-08,75.51667
2004-07,75.75500
2004-06,76.05333
2004-05,80.48727
2004-04,76.38333
2004-03,80.41062
2004-02,62.60321
2004-01,69.92385
2003-12,76.70000
2003-11,76.72167
2003-10,76.66667
2003-09,76.71000
2003-08,76.95000
2003-07,77.40167
2003-06,77.51167
2003-05,74.03462
2003-04,74.47214
2003-03,109.38600
2003-02,66.23020
2003-01,78.57417
2002-12,78.53167
2002-11,125.77167
2002-10,125.81833
2002-09,125.99833
2002-08,94.65556
2002-07,31.75000
2002-06,95.34889
2002-05,103.55625
2002-04,103.81000
2002-03,71.95400
2002-02,71.45019
2002-01,83.60639
2001-12,80.55833
2001-11,95.70667
2001-10,113.70571
2001-09,90.89222
2001-08,117.11000
2001-07,128.13333
2001-06,128.55400
2001-03,35.83000
2001-02,52.76900
2001-01,77.74585
2000-11,131.38000
2000-10,117.63714
2000-09,131.84667
2000-08,132.33333
2000-07,132.75167
2000-06,132.92000
2000-03,52.28167
2000-02,77.43170
2000-01,91.49120
1999-12,133.62000
1999-11,133.73500
1999-10,133.76833
1999-09,133.91500
1999-08,134.16167
1999-07,134.44167
1999-06,134.77000
1999-05,134.98833
1999-04,135.15667
1999-03,135.27333
1999-02,99.65650
1999-01,73.88324
1998-12,135.49667
1998-11,135.54833
1998-10,128.36429
1998-09,126.44875
1998-08,136.10000
1998-07,136.51500
1998-06,131.15429
1998-05,137.44500
1998-04,137.63500
1998-03,137.71167
1998-02,114.44667
1998-01,80.52069
1997-12,137.77000
1997-11,137.80000
1997-10,124.07286
1997-09,137.98667
1997-08,142.39143
1997-07,138.56667
1997-06,138.81500
1997-05,138.97167
1997-04,147.90143
1997-03,107.28923
1997-02,93.19406
1997-01,82.82023
1996-12,139.97833
1996-11,140.11167
1996-10,140.27833
1996-09,140.43167
1996-08,140.57833
1996-07,140.80333
1996-06,133.02286
1996-05,141.31000
1996-04,135.92429
1996-03,141.11833
1996-02,78.66111
1996-01,88.26093
1995-12,141.89167
1995-11,142.04333
1995-10,142.19333
1995-09,142.39500
1995-08,142.69500
1995-07,143.02167
1995-06,143.36167
1995-05,143.60833
1995-04,143.85333
1995-03,136.07100
1995-02,144.11833
1995-01,86.61019
