datetime,saturated_thickness
2020-01,112.50473
2019-12,112.50671
2019-11,112.50878
2019-10,112.51092
2019-09,112.51314
2019-08,112.51546
2019-07,112.51787
2019-06,112.52036
2019-05,112.52297
2019-03,112.52568
2019-02,112.52848
2019-01,112.53142
2018-12,112.53445
2018-11,112.53761
2018-10,112.54092
2018-09,112.54435
2018-08,112.54790
2018-07,112.55162
2018-05,112.55548
2018-04,112.55950
2018-03,112.56369
2018-02,112.56804
2018-01,112.57258
2017-12,112.57729
2017-11,112.58221
2017-10,112.58733
2017-09,112.59266
2017-08,112.59821
2017-06,112.60399
2017-05,112.61002
2017-04,112.61628
2017-03,112.62282
2017-02,112.62960
2017-01,112.63669
2016-12,112.64409
2016-11,112.65180
2016-10,112.65982
2016-09,104.77000
2016-08,104.80200
2016-07,104.89000
2016-06,104.91286
2016-05,105.01000
2016-04,105.12500
2016-03,105.11000
2016-02,149.13595
2016-01,174.16333
2015-12,144.09222
2015-11,105.38333
2015-10,105.41333
2015-09,105.48500
2015-08,105.57167
2015-07,105.66500
2015-06,105.77333
2015-05,105.88000
2015-04,106.06167
2015-03,101.44000
2015-02,63.64500
2015-01,175.20833
2014-12,106.40333
2014-11,106.59167
2014-10,106.56000
2014-09,106.67333
2014-08,106.76667
2014-07,106.86500
2014-06,106.96333
2014-05,107.06667
2014-04,107.12286
2014-03,107.44000
2014-02,172.45243
2014-01,151.34579
2013-12,151.05250
2013-11,107.64500
2013-10,107.62500
2013-09,107.74167
2013-08,107.81167
2013-07,107.92167
2013-06,108.01500
2013-05,108.15833
2013-04,108.16000
2013-03,108.20333
2013-02,186.47939
2013-01,129.26786
2012-12,166.34167
2012-11,107.96400
2012-10,107.96000
2012-09,108.05667
2012-08,108.10000
2012-07,108.20333
2012-06,108.31833
2012-05,108.35667
2012-04,108.43167
2012-03,108.56000
2012-02,158.43708
2012-01,238.16467
2011-12,108.90333
2011-11,109.02333
2011-10,109.21600
2011-09,109.05167
2011-08,109.30500
2011-07,109.34333
2011-06,109.44333
2011-05,109.50000
2011-04,109.52833
2011-03,109.48833
2011-02,170.49696
2011-01,170.51889
2010-12,153.88375
2010-11,109.82833
2010-10,109.88167
2010-09,109.81500
2010-08,109.72667
2010-07,109.74500
2010-06,109.78833
2010-05,109.91667
2010-04,114.75429
2010-03,144.92958
2010-02,191.30538
2010-01,110.16000
2009-12,110.28333
2009-11,110.21500
2009-10,110.49000
2009-09,110.52333
2009-08,110.59500
2009-07,110.67333
2009-06,110.72500
2009-05,110.79000
2009-04,110.83000
2009-03,111.03667
2009-02,184.81429
2009-01,171.78147
2008-12,111.04750
2008-11,111.27500
2008-10,111.40000
2008-09,111.37800
2008-08,111.57000
2008-07,111.66333
2008-06,111.78000
2008-05,111.80833
2008-04,112.07667
2008-03,112.01167
2008-02,124.92625
2008-01,186.55000
2007-12,121.40714
2007-11,112.35333
2007-10,112.42667
2007-09,112.48000
2007-08,112.57167
2007-07,112.63500
2007-06,112.68000
2007-05,112.81833
2007-04,112.94500
2007-03,134.47538
2007-02,163.37259
2007-01,201.08000
2006-12,113.40000
2006-11,113.37500
2006-10,113.62500
2006-09,113.60500
2006-08,113.69167
2006-07,113.81667
2006-06,113.95167
2006-05,113.93833
2006-04,114.13500
2006-03,114.34800
2006-02,188.84983
2005-10,305.08000
2005-09,114.66500
2005-08,226.80833
2005-07,307.89167
2005-06,238.31091
2005-05,212.31417
2005-04,220.38231
2005-03,189.02259
2005-02,196.69090
2005-01,221.69385
2004-12,222.35923
2004-11,215.22250
2004-10,223.88231
2004-09,217.30167
2004-08,221.07154
2004-07,253.45444
2004-06,306.95333
2004-05,305.51500
2004-04,306.16667
2004-03,306.80000
2004-02,202.72040
2004-01,308.18833
2003-12,281.75000
2003-11,213.80917
2003-10,213.76167
2003-09,231.62308
2003-08,214.90917
2003-07,215.26917
2003-06,214.58417
2003-05,214.31667
2003-04,222.25538
2003-03,215.19833
2003-02,197.34020
2003-01,216.08500
2002-12,216.53083
2002-11,117.94833
2002-10,118.05833
2002-09,118.16667
2002-08,118.27833
2002-07,118.40000
2002-06,118.49333
2002-05,118.63833
2002-04,124.21286
2002-03,197.91982
2002-02,192.06909
2002-01,135.96143
2001-12,119.17500
2001-11,119.36500
2001-10,119.40333
2001-09,119.48167
2001-08,119.64833
2001-07,119.77667
2001-06,175.93625
2001-05,232.86667
2001-04,212.12722
2001-03,227.48279
2001-02,234.07083
2001-01,234.19417
2000-12,196.50778
2000-11,120.66167
2000-10,120.69000
2000-09,213.76600
2000-08,238.24083
2000-07,239.27833
2000-06,235.54500
2000-05,235.45667
2000-04,236.24750
2000-03,236.77083
2000-02,205.63894
2000-01,238.17833
1999-12,228.19091
1999-11,121.80333
1999-10,121.81167
1999-09,121.90667
1999-08,121.96000
1999-07,121.93800
1999-05,360.82000
1999-04,347.49500
1999-03,339.38000
1999-02,341.56333
1999-01,343.27750
1998-11,334.84000
1998-10,327.48750
1998-08,122.62000
1998-07,122.75833
1998-06,122.81500
1998-05,122.95667
1998-04,123.07667
1998-03,123.11333
1998-02,197.10809
1998-01,123.23667
1997-12,123.06500
1997-03,184.48303
1997-02,213.15000
1996-12,123.64667
1996-11,123.40833
1996-10,122.93833
1996-09,145.34286
1996-08,119.73500
1996-07,119.13333
1996-06,120.20833
1996-05,119.11000
1996-04,117.98000
1996-02,212.69204
1996-01,150.87143
1995-09,222.45000
1995-02,211.06821
1995-01,214.15767
