datetime,saturated_thickness
2020-01,139.53226
2019-12,139.60624
2019-11,139.68132
2019-10,139.75750
2019-09,139.83478
2019-08,139.91318
2019-07,139.99272
2019-06,140.07342
2019-05,140.15529
2019-04,140.23830
2019-03,140.32254
2019-02,140.40795
2019-01,140.49458
2018-12,140.58245
2018-11,140.67154
2018-10,140.76189
2018-08,140.85348
2018-07,140.94637
2018-06,141.04053
2018-05,141.13599
2018-04,141.23276
2018-03,141.33084
2018-02,141.43025
2018-01,141.53100
2017-12,141.63311
2017-11,141.73656
2017-10,141.84138
2017-09,141.94759
2017-08,142.05517
2017-07,142.16415
2017-06,142.27454
2017-05,142.38633
2017-04,142.49953
2017-03,142.61417
2017-02,142.73024
2017-01,142.84775
2016-12,142.96669
2016-11,143.08709
2016-10,143.20893
2016-09,143.33223
2016-08,149.25000
2016-07,150.00333
2016-06,150.74000
2016-05,151.27167
2016-04,151.12833
2016-03,143.35250
2016-02,146.25190
2016-01,147.17900
2015-12,121.89917
2015-11,149.75667
2015-10,149.44167
2015-09,149.38833
2015-08,149.87500
2015-07,150.56833
2015-06,151.39167
2015-05,151.56833
2015-04,151.50167
2015-03,151.19333
2015-02,20.42581
2015-01,146.91133
2014-12,145.93333
2014-11,150.25167
2014-10,149.90000
2014-09,149.91333
2014-08,150.36500
2014-07,151.14333
2014-06,151.77500
2014-05,151.96167
2014-04,152.17429
2014-03,152.50833
2014-02,163.87292
2014-01,130.02778
2013-12,151.06750
2013-11,151.44167
2013-10,151.24333
2013-09,151.39000
2013-07,152.72800
2013-06,153.62167
2013-05,154.27833
2013-04,154.36833
2013-03,154.15333
2013-02,136.99484
2013-01,162.61950
2012-12,144.28167
2012-11,153.14400
2012-10,153.03500
2012-09,153.14000
2012-08,153.44667
2012-07,154.51400
2012-06,152.00000
2012-05,155.59333
2012-04,155.76167
2012-03,155.51200
2012-02,155.15333
2012-01,149.96070
2011-12,154.59667
2011-11,154.39000
2011-10,154.33833
2011-09,154.33750
2011-08,156.04600
2011-07,156.67200
2011-06,157.21500
2011-05,158.27000
2011-04,158.55500
2011-03,158.37667
