datetime,saturated_thickness
2020-03,171.73096
2019-12,171.64016
2019-09,171.54877
2019-07,171.45688
2019-04,171.36440
2019-01,171.27143
2018-11,171.17792
2018-08,171.08386
2018-05,170.98929
2018-03,170.89422
2017-12,170.79865
2017-09,170.70262
2017-07,170.60606
2017-04,170.50906
2017-01,170.41158
2016-10,170.31364
2016-08,170.21527
2016-05,170.11645
2016-03,183.35000
2016-02,176.80128
2016-01,166.12174
2015-12,182.04211
2015-03,138.13333
2015-02,167.36667
2015-01,188.12800
2014-12,169.39074
2014-04,207.30000
2014-03,184.16429
2014-02,183.88333
2014-01,160.89474
2013-12,175.96667
2013-11,155.43333
2013-03,157.13636
2013-02,-29.76364
2013-01,177.35746
2012-03,176.97632
2012-02,171.50000
2012-01,194.47292
2011-12,104.75000
2011-04,141.23333
2011-03,162.76111
2011-02,194.67391
2011-01,154.35926
2010-12,278.87143
2010-03,193.74324
2010-02,155.23636
2010-01,170.62500
2009-04,154.20000
2009-03,190.93333
2009-02,148.24687
2009-01,195.79474
2008-12,204.14667
2008-11,195.04000
2008-03,254.05000
2008-02,177.67778
2008-01,171.15882
2007-12,130.43333
2007-03,141.33667
2007-02,198.64400
2007-01,189.93714
2006-08,173.80000
2006-03,119.27500
2006-02,149.92609
2006-01,189.27800
2005-12,120.65000
2005-10,120.40000
2005-09,185.00000
2005-08,178.08750
2005-06,179.26667
2005-04,121.05000
2005-03,176.06765
2005-02,200.09520
2005-01,150.78333
2004-05,219.18000
2004-04,137.17500
2004-03,163.79000
2004-02,226.85000
2004-01,153.64286
2003-12,112.61000
2003-11,5.00000
2003-10,243.38571
2003-09,138.27667
2003-08,241.86500
2003-07,151.75200
2003-06,142.87500
2003-05,244.47143
2003-04,222.70143
2003-03,176.26633
2003-02,98.17143
2003-01,166.06000
2002-12,94.20000
2002-11,91.72000
2002-10,107.00000
2002-05,160.00000
2002-04,86.30000
2002-02,132.01667
2002-01,174.38765
2001-12,152.89800
2001-11,172.53333
2001-10,162.10000
2001-08,242.11000
2001-07,175.65000
2001-06,260.74000
2000-12,157.98500
1999-12,168.67310
1998-12,159.26935
1997-12,156.63517
1996-12,164.31852
1995-12,166.01426
