datetime,saturated_thickness
2020-03,28.63668
2019-11,28.74584
2019-08,28.86197
2019-04,28.98548
2019-01,29.11683
2018-09,29.25646
2018-06,29.40484
2018-03,29.56244
2017-11,29.72973
2017-08,29.90720
2017-04,30.09532
2017-01,30.29455
2016-09,30.50532
2016-06,30.72804
2016-03,16.38000
2015-12,33.53274
2015-11,21.40000
2015-03,41.39000
2015-02,39.15800
2015-01,37.80609
2014-12,30.77409
2014-11,19.99000
2014-02,20.79500
2014-01,41.97042
2013-12,30.36940
2013-01,36.10857
2012-12,34.86098
2012-02,38.25571
2012-01,21.15000
2011-12,35.91966
2011-02,35.60250
2011-01,37.06884
2010-12,44.67500
2010-02,47.60500
2010-01,36.51786
2009-11,51.48400
2009-03,45.35500
2009-01,37.56494
2008-12,51.80167
2008-02,39.79404
2008-01,37.60071
2007-12,52.24400
2007-10,71.53500
2007-02,21.20000
2007-01,39.46584
2006-03,41.94714
2006-02,39.67693
2006-01,23.08000
2005-12,57.33429
2005-08,39.33000
2005-06,18.20000
2005-03,34.59000
2005-02,39.71019
2005-01,41.32741
2004-12,55.83167
2004-03,42.25333
2004-02,44.09306
2004-01,35.35422
2003-12,55.91857
2003-02,41.42100
2003-01,40.95579
2002-12,56.84286
2002-07,72.60000
2002-04,37.80000
2002-03,30.02000
2002-02,29.32000
2002-01,42.60933
2001-02,26.38500
2001-01,42.19476
2000-12,54.75333
2000-03,50.96250
2000-01,42.73620
1999-12,56.57000
1999-02,49.10000
1999-01,42.20843
1998-12,56.69500
1998-02,50.03143
1998-01,43.74436
1997-12,56.45000
1997-03,67.59333
1997-02,34.59000
1997-01,43.25373
1996-12,54.12583
1996-05,53.40000
1996-02,45.10714
1995-12,52.47700
1995-02,49.82594
1995-01,43.84298
