datetime,saturated_thickness
2020-02,251.97131
2019-12,251.97690
2019-11,251.98268
2019-09,251.98865
2019-07,251.99484
2019-06,252.00119
2019-04,252.00779
2019-03,252.01458
2019-01,252.02159
2018-12,252.02884
2018-10,252.03629
2018-09,252.04401
2018-07,252.05194
2018-05,252.06014
2018-04,252.06859
2018-02,252.07729
2018-01,252.08625
2017-11,252.09550
2017-10,252.10501
2017-08,252.11482
2017-06,252.12493
2017-05,252.13532
2017-03,252.14601
2017-02,252.15702
2016-12,252.16834
2016-11,252.18000
2016-09,252.19198
2016-08,260.73400
2016-07,260.84667
2016-06,260.86143
2016-05,260.92143
2016-04,261.06333
2016-03,261.04333
2016-02,230.97000
2016-01,187.94813
2015-12,201.20000
2015-11,260.95167
2015-10,260.95429
2015-09,260.96667
2015-08,261.01000
2015-07,261.05000
2015-06,261.13333
2015-05,261.21000
2015-04,261.31500
2015-03,261.28000
2015-02,201.48727
2015-01,226.14100
2014-12,192.69846
2014-11,276.71545
2014-10,261.70167
2014-09,261.75667
2014-08,261.79167
2014-07,261.85667
2014-06,261.91167
2014-05,261.99833
2014-04,262.08667
2014-03,262.23833
2014-02,262.12000
2014-01,195.97357
2013-12,199.81161
2013-11,262.38167
2013-10,262.34000
2013-09,262.46333
2013-08,262.50667
2013-07,262.57833
2013-06,262.60500
2013-05,262.58000
2013-04,262.65500
2013-03,246.59500
2013-02,230.83056
2013-01,195.37600
2012-12,192.36400
2012-11,263.26167
2012-10,263.28143
2012-09,263.39500
2012-08,263.42800
2012-07,263.53000
2012-06,263.61667
2012-05,263.65333
2012-04,263.77000
2012-03,263.75833
2012-02,263.87429
2012-01,177.76625
2011-12,218.73158
2011-11,264.03500
2011-10,264.12000
2011-09,264.14667
2011-08,264.26000
2011-07,264.31400
2011-06,264.42250
2011-05,264.59000
2011-04,264.48667
2011-03,264.49833
2011-02,264.65400
2011-01,188.24651
2010-12,264.70000
2010-11,264.79167
2010-10,264.93000
2010-09,264.95667
2010-08,264.98667
2010-07,265.05833
2010-06,265.12857
2010-05,265.23667
2010-04,265.22167
2010-03,264.46000
2010-02,265.31000
2010-01,182.05379
2009-12,246.70059
2009-11,222.30000
2009-10,265.64167
2009-09,265.68667
2009-08,265.74000
2009-07,265.80143
2009-06,266.22000
2009-05,266.49429
2009-04,266.48000
2009-03,266.65286
2009-02,244.14750
2009-01,205.82227
2008-12,202.91059
2008-11,266.74667
2008-10,266.80429
2008-09,266.80857
2008-08,266.85571
2008-07,266.90333
2008-06,266.97857
2008-05,267.02286
2008-04,267.20833
2008-03,246.26111
2008-02,267.11500
2008-01,198.96286
2007-12,215.79615
2007-11,267.22667
2007-10,267.25500
2007-09,267.25667
2007-08,267.30667
2007-07,267.34000
2007-06,267.34500
2007-05,267.34167
2007-04,267.45833
2007-03,267.45000
2007-02,267.50833
2007-01,203.81906
2006-12,267.64000
2006-11,211.15769
2006-10,267.64000
2006-09,267.51833
2006-08,267.37000
2006-07,267.32167
2006-06,267.38833
2006-05,267.35000
2006-04,267.43833
2006-03,267.54500
2006-02,203.81245
2006-01,267.40833
2005-12,267.50400
2005-11,161.00556
2005-05,268.10000
2005-03,210.90000
2005-02,228.40769
2005-01,178.36923
2004-12,169.78333
2004-07,162.14333
2004-02,267.60000
2004-01,196.78500
2003-12,172.12286
2003-03,196.60269
2003-01,173.32857
2002-12,175.83750
2002-03,172.72950
2002-02,191.85000
2001-12,167.79400
2001-04,180.39905
2001-03,286.30000
2001-01,169.82857
2000-12,167.45000
2000-02,167.81273
2000-01,125.36667
1999-12,176.32000
1999-03,66.80000
1999-02,189.10000
1999-01,295.55000
1998-12,149.68333
1998-02,186.80304
1997-12,158.85667
1997-03,174.97800
1997-02,212.47385
1996-12,166.69077
1996-03,189.98889
1996-02,177.13125
1995-12,172.35857
1995-02,182.63269
