datetime,saturated_thickness
2020-01,55.85269
2019-12,55.90044
2019-11,55.94891
2019-10,55.99804
2019-09,56.04787
2019-08,56.09838
2019-07,56.14961
2019-06,56.20155
2019-05,56.25420
2019-04,56.30761
2019-03,56.36172
2019-02,56.41658
2019-01,56.47221
2018-12,56.52860
2018-11,56.58574
2018-10,56.64366
2018-09,56.70237
2018-08,56.76186
2018-06,56.82217
2018-05,56.88326
2018-04,56.94519
2018-03,57.00793
2018-02,57.07150
2018-01,57.13589
2017-12,57.20114
2017-11,57.26726
2017-10,57.33422
2017-09,57.40204
2017-08,57.47074
2017-07,57.54034
2017-06,57.61081
2017-05,57.68220
2017-04,57.75448
2017-03,57.82767
2017-02,57.90178
2017-01,57.97682
2016-12,58.05279
2016-11,58.12970
2016-10,58.20755
2016-09,62.49000
2016-08,62.54400
2016-07,62.67333
2016-06,62.77250
2016-05,62.84333
2016-04,62.89333
2016-03,68.17000
2016-02,54.54723
2016-01,49.81034
2015-12,59.19143
2015-11,63.21167
2015-10,63.32167
2015-09,63.44000
2015-08,63.60667
2015-07,63.72500
2015-06,63.85500
2015-05,64.00667
2015-04,64.13333
2015-03,64.46091
2015-02,54.56000
2015-01,55.87803
2014-12,46.82319
2014-11,64.47833
2014-10,64.52333
2014-09,64.63500
2014-08,64.80833
2014-07,64.94667
2014-06,68.51857
2014-05,65.08500
2014-04,65.15333
2014-03,68.55667
2014-02,-88.02667
2014-01,51.59468
2013-12,65.26333
2013-11,65.35667
2013-10,65.36833
2013-09,65.45000
2013-08,65.61000
2013-07,65.79333
2013-06,66.00333
2013-05,66.19857
2013-04,66.43667
2013-03,66.59857
2013-02,57.08500
2013-01,52.84063
2012-12,55.30412
2012-11,67.11800
2012-10,67.32857
2012-09,67.66286
2012-08,67.91167
2012-07,68.12000
2012-06,68.29571
2012-05,68.52333
2012-04,68.65833
2012-03,68.68500
2012-02,61.78792
2012-01,64.83857
2011-12,57.91901
2011-11,69.41833
2011-10,69.69000
2011-09,69.89571
2011-08,70.23167
2011-07,70.42714
2011-06,70.68167
2011-05,70.78167
2011-04,70.76571
2011-03,70.53333
2011-02,67.12706
2011-01,62.10866
2010-12,51.05857
2010-11,70.44833
2010-10,70.69833
2010-09,70.93333
2010-08,71.18833
2010-07,71.42333
2010-06,71.59500
2010-05,71.71833
2010-04,71.83333
2010-03,73.58750
2010-02,76.80727
2010-01,61.55588
2009-12,72.22167
2009-11,50.41214
2009-10,72.32333
2009-09,72.37333
2009-08,72.41500
2009-07,72.45500
2009-06,72.58167
2009-05,72.71333
2009-04,72.73000
2009-03,58.71053
2009-02,64.31295
2009-01,62.54056
2008-12,55.67000
2008-11,72.87833
2008-10,72.95833
2008-09,73.19000
2008-08,73.40833
2008-07,73.61167
2008-06,73.77833
2008-05,73.88667
2008-04,74.00333
2008-03,78.78400
2008-02,81.45125
2008-01,63.83512
2007-12,74.76667
2007-11,75.09500
2007-10,59.69294
2007-09,75.71333
2007-08,76.12500
2007-07,76.50500
2007-06,76.78167
2007-05,76.89500
2007-04,77.01000
2007-03,77.62375
2007-02,73.44884
2007-01,58.95482
2006-12,77.94833
2006-11,78.13000
2006-10,78.50667
2006-09,78.72000
2006-08,78.95167
2006-07,79.32167
2006-06,79.66833
2006-05,79.93833
2006-04,80.13333
2006-03,70.99250
2006-02,76.03571
2006-01,72.28377
2005-12,54.04357
2005-11,80.85667
2005-10,57.22235
2005-09,87.52250
2005-08,81.60500
2005-07,82.10500
2005-06,82.52833
2005-05,82.83000
2005-04,83.06333
2005-03,78.28313
2005-02,64.70086
2005-01,78.49051
2004-12,58.01250
2004-11,84.64333
2004-10,85.01667
2004-09,85.30667
2004-08,85.58500
2004-07,85.90667
2004-06,86.19333
2004-05,86.30000
2004-04,86.28500
2004-03,96.00600
2004-02,71.25400
2004-01,86.51750
2003-12,56.07786
2003-11,88.99000
2003-10,89.10500
2003-09,89.20667
2003-08,89.40667
2003-07,89.63500
2003-06,89.83500
2003-05,82.42286
2003-04,90.02167
2003-03,81.22314
2003-02,74.38956
2003-01,98.93143
2002-12,63.49357
2002-11,89.80667
2002-10,90.05500
2002-09,90.30333
2002-08,90.57667
2002-07,90.85000
2002-06,91.03667
2002-05,91.88545
2002-04,76.02889
2002-03,86.20364
2002-02,88.93615
2002-01,69.35325
2001-12,91.80500
2001-11,91.98000
2001-10,84.69875
2001-09,82.73222
2001-08,91.19375
2001-07,93.01667
2001-06,93.22667
2001-05,93.46000
2001-04,93.65167
2001-03,83.95909
2001-02,88.98840
2001-01,77.72068
2000-12,59.04786
2000-11,94.54000
2000-10,90.36571
2000-09,95.18000
