datetime,saturated_thickness
2020-01,36.24214
2019-12,36.54990
2019-10,36.86693
2019-08,37.19349
2019-06,37.52980
2019-04,37.87614
2019-03,38.23272
2019-01,38.59977
2018-11,38.97756
2018-09,39.36631
2018-07,39.76625
2018-06,40.17762
2018-04,40.60066
2018-02,41.03556
2017-12,41.48254
2017-10,41.94182
2017-08,42.41357
2017-07,42.89798
2017-05,43.39521
2017-03,43.90542
2017-01,44.42876
2016-11,44.96533
2016-10,45.51524
2016-08,46.07857
2016-06,46.65536
2016-04,47.24566
2016-03,63.10000
2016-02,57.08381
2016-01,59.16880
2015-12,50.15029
2015-03,15.45000
2015-02,56.30600
2015-01,75.78455
2014-12,49.77371
2014-03,-48.89000
2014-02,82.37571
2014-01,77.64071
2013-12,51.60491
2013-09,37.53667
2013-06,40.55000
2013-03,99.66500
2013-02,35.40727
2013-01,57.91827
2012-04,95.31000
2012-03,67.56571
2012-02,82.58000
2012-01,58.14745
2011-03,29.68750
2011-02,74.36600
2011-01,91.52000
2010-12,64.17409
2010-03,101.89000
2010-02,62.80111
2010-01,63.56783
2009-03,85.85333
2009-02,62.39198
2008-02,62.99758
2007-10,66.10000
2007-07,64.25000
2007-01,59.96152
2006-10,155.08000
2006-02,62.23431
2005-03,50.35500
2005-02,74.52706
2005-01,51.79983
2004-04,39.80000
2004-03,52.15000
2004-02,62.66782
2003-11,26.20000
2003-04,95.31571
2003-03,83.12182
2003-02,108.53667
2003-01,64.31595
2002-12,108.14000
2002-11,107.92000
2002-10,105.23200
2002-09,106.07000
2002-08,105.82500
2002-07,106.36333
2002-06,106.57167
2002-05,105.61000
2002-04,95.92875
2002-03,89.43333
2002-02,60.55904
2002-01,74.91094
2001-12,104.23167
2001-11,103.66167
2001-10,104.11167
2001-09,105.24000
2001-08,97.61875
2001-07,106.42500
2001-06,107.11400
2001-03,74.37750
2001-02,-3.57000
2001-01,66.54927
2000-12,106.86500
2000-11,106.58667
2000-10,106.24167
2000-09,106.26667
2000-08,106.75500
2000-07,107.50000
2000-06,107.27833
2000-05,107.12000
2000-04,107.62167
2000-03,86.56556
2000-02,72.05282
2000-01,64.15721
1999-12,107.58500
1999-11,107.27500
1999-10,107.08167
1999-09,106.43167
1999-08,98.36000
1999-07,105.65250
1999-06,83.21400
1999-05,105.57667
1999-04,104.86000
1999-03,107.19571
1999-02,74.44127
1999-01,57.06906
1998-12,106.30167
1998-11,106.41667
1998-10,106.66000
1998-09,107.13000
1998-08,107.59500
1998-07,107.69167
1998-06,107.80833
1998-05,108.58667
1998-04,108.97167
1998-03,109.05833
1998-02,109.09000
1998-01,67.70664
1997-12,109.01667
1997-11,109.00167
1997-10,109.18333
1997-09,109.28667
1997-08,109.37667
1997-07,109.94333
1997-06,109.72333
1997-05,109.41333
1997-04,109.02500
1997-03,114.38333
1997-02,106.22143
1997-01,66.42669
1996-12,106.57857
1996-11,96.69083
1996-10,109.52167
1996-09,109.27667
1996-08,109.61833
1996-07,109.51500
1996-06,109.26333
1996-05,109.62667
1996-04,110.33167
1996-03,111.30833
1996-02,70.55718
1996-01,65.08941
1995-12,111.77000
1995-11,111.64500
1995-10,111.07833
1995-09,110.69833
1995-08,111.29167
1995-07,111.83667
1995-06,111.80333
1995-05,112.28667
1995-04,113.20500
1995-03,100.81308
1995-02,70.07612
1995-01,76.35133
