datetime,saturated_thickness
2020-04,45.22209
2019-12,45.26659
2019-08,45.31240
2019-04,45.35954
2019-01,45.40803
2018-09,45.45791
2018-05,45.50919
2018-01,45.56190
2017-09,45.61607
2017-05,45.67170
2017-01,45.72882
2016-09,45.78746
2016-05,45.84761
2016-02,43.20000
2015-12,47.18453
2015-03,28.86500
2015-01,43.47125
2014-12,44.31151
2014-02,53.05950
2014-01,4.11000
2013-12,40.17530
2013-03,61.21000
2013-02,41.91348
2013-01,41.36227
2012-12,48.62763
2012-04,45.19714
2012-02,46.30333
2012-01,64.63000
2011-12,44.38182
2011-05,69.00000
2011-03,59.73500
2011-02,49.21833
2011-01,51.95914
2010-12,47.46192
2010-03,74.81000
2010-02,81.23000
2009-12,43.09162
2009-03,55.18500
2009-02,43.54071
2009-01,52.23625
2008-03,30.90750
2008-01,46.66797
2007-01,44.41897
2006-03,53.57000
2006-01,44.73391
2005-02,51.85500
2005-01,44.39076
2004-04,27.12286
2004-03,36.82625
2004-02,44.26714
2004-01,35.06000
2003-04,94.65000
2003-03,33.11091
2003-02,42.91662
2002-03,32.58400
2002-02,42.64952
2002-01,45.11792
2001-08,48.76000
2001-02,35.85000
2001-01,45.15958
2000-03,60.41000
2000-02,46.61797
1999-03,73.10000
1999-02,68.40000
1999-01,45.49594
1998-06,60.63000
1998-02,60.10500
1998-01,50.65456
1997-03,70.34000
1997-02,48.72367
1997-01,50.02806
1996-06,37.36600
1996-02,51.91625
1996-01,50.32879
1995-06,44.34000
1995-05,40.41167
1995-03,58.96800
1995-01,52.16072
