datetime,saturated_thickness
2020-06,41.91338
2019-11,42.11766
2019-05,42.33341
2018-10,42.56080
2018-04,42.79992
2017-10,43.05086
2017-03,43.31358
2016-09,43.58797
2016-03,48.01111
2015-02,50.65222
2014-02,-167.92667
2013-02,48.93818
2012-03,43.93222
2012-02,69.64500
2011-06,76.20000
2011-03,53.31778
2010-05,77.70000
2010-03,48.60200
2009-03,78.00000
2009-01,50.79333
2008-01,52.70125
2007-01,48.79167
2006-12,78.50000
2006-01,52.90200
2005-12,78.80000
2005-01,46.83462
2004-12,81.00000
2004-04,5.72500
2004-03,43.42500
2003-11,43.31125
2003-06,8.50000
2003-01,44.75500
2002-12,80.30000
2002-01,49.43000
2001-01,46.76526
2000-02,84.18000
2000-01,48.52619
1999-01,51.68050
1998-12,80.50000
1998-11,49.00000
1998-10,19.00000
1997-12,51.89053
1997-03,94.30000
1996-12,62.98632
1996-01,55.12000
1995-12,57.43833
