datetime,saturated_thickness
2020-03,200.99979
2019-12,201.43619
2019-09,201.88493
2019-06,202.34614
2019-04,202.81980
2019-01,203.30604
2018-10,203.80487
2018-07,204.31633
2018-05,204.84038
2018-02,205.37698
2017-11,205.92601
2017-09,206.48741
2017-06,207.06097
2017-03,207.64652
2016-12,208.24374
2016-10,208.85246
2016-07,209.47221
2016-04,210.10266
2016-02,157.82615
2016-01,146.82615
2015-12,150.24400
2015-02,-7.33650
2015-01,179.62625
2014-12,94.96000
2014-11,184.60000
2014-02,186.66667
2014-01,156.28917
2013-12,153.97000
2013-11,183.60000
2013-01,165.34821
2012-12,167.51714
2012-02,185.60000
2012-01,168.14941
2011-02,149.87550
2011-01,194.49000
2010-12,201.98250
2010-01,167.80263
2009-11,147.42500
2009-04,202.50000
2009-02,178.65939
2009-01,185.80667
2008-12,183.23750
2008-01,179.86000
2007-12,178.06250
2007-01,186.73289
2006-12,811.65600
2006-02,268.52667
2006-01,183.75500
2005-11,145.92250
2005-03,188.64308
2004-12,821.64000
2004-10,171.70000
2004-09,222.00000
2004-07,637.80667
2004-03,233.51091
2004-02,169.90938
2004-01,177.90600
2003-12,1014.77000
2003-03,173.23000
2003-02,210.02526
2003-01,404.45500
2002-12,141.35000
2002-02,184.40722
2002-01,214.93000
2001-12,98.81500
2001-04,187.07778
2001-03,230.47125
2000-12,145.62500
2000-02,230.91200
2000-01,202.75652
1999-12,146.39000
1998-12,175.62333
1998-07,146.77333
1998-06,146.84333
1998-05,158.33333
1998-04,162.40000
1998-03,211.77714
1998-02,182.79625
1998-01,164.27187
1997-12,155.74500
1997-09,144.99000
1997-08,145.04167
1997-07,145.30000
1997-06,145.30000
1997-05,148.58333
1997-04,151.97833
1997-03,186.64333
1997-02,213.40600
1997-01,185.75897
1996-12,153.12700
1996-11,152.80833
1996-10,152.90667
1996-09,161.16000
1996-08,161.23500
1996-07,161.37000
1996-06,161.57333
1996-05,161.74167
1996-04,161.98833
1996-03,162.14500
1996-02,197.75905
1996-01,162.49000
1995-12,157.39100
1995-11,162.68000
1995-10,162.79167
1995-09,162.96667
1995-08,163.08000
1995-07,163.20000
1995-04,163.65000
1995-03,205.72175
1995-02,163.83500
1995-01,163.84000
