datetime,saturated_thickness
2020-01,230.64399
2019-09,230.80937
2019-05,230.97431
2018-12,231.13866
2018-08,231.30250
2018-04,231.46572
2017-11,231.62827
2017-07,231.79009
2017-03,231.95118
2016-10,232.11149
2016-06,232.27092
2016-02,201.44633
2016-01,281.87400
2015-12,339.10000
2015-03,284.46500
2015-02,-127.94714
2015-01,226.18867
2014-11,337.70000
2014-03,209.00000
2014-02,163.84667
2014-01,232.82789
2013-12,265.97800
2013-03,192.31500
2013-02,244.93462
2013-01,175.83850
2012-12,266.35800
2012-02,204.17868
2012-01,252.61500
2011-12,341.10000
2011-10,249.48500
2011-08,238.00000
2011-04,246.00000
2011-01,209.80186
2010-12,254.87500
2010-03,230.56333
2010-02,185.13267
2009-12,342.90000
2009-02,207.77000
2008-11,297.00000
2008-03,341.80000
2008-02,217.73417
2007-03,226.63143
2007-02,204.56563
2006-12,342.80000
2006-03,200.38708
2006-02,224.82765
2005-11,327.00000
2005-03,217.60000
2005-02,219.33529
2005-01,202.98529
2004-08,320.56500
2004-02,233.06125
2004-01,210.50027
2002-02,231.82000
2002-01,208.08690
2001-04,250.96889
2001-03,220.57955
2001-01,166.13125
2000-02,299.82375
2000-01,194.49935
1998-02,215.64969
1998-01,250.20714
1997-02,217.76000
1997-01,225.10154
1996-09,171.50000
1996-02,249.38500
1996-01,206.95312
1995-02,310.86000
1995-01,228.64920
