datetime,saturated_thickness
2020-10,52.35406
2019-12,52.31861
2019-02,52.27983
2018-05,52.23739
2017-07,52.19091
2016-09,52.13996
2015-12,52.05727
2014-12,61.00375
2013-12,55.87875
2012-12,54.76909
2012-01,55.00833
2010-12,54.75857
2009-12,53.08889
2008-12,60.07750
2008-01,-25.20000
2007-12,63.27000
2006-12,50.20200
2005-11,53.89000
2004-12,61.68417
2004-10,36.64333
2003-12,59.89846
2002-12,66.15400
2002-03,76.90000
2001-12,62.74333
2000-12,58.65417
1999-12,56.19000
1998-12,61.61500
1997-12,59.15769
1996-12,59.40400
1995-12,66.19250
1995-10,-55.14500
