datetime,saturated_thickness
2020-02,58.69140
2019-10,58.78810
2019-06,58.89104
2019-03,59.00064
2018-11,59.11735
2018-08,59.24163
2018-04,59.37398
2017-12,59.51493
2017-09,59.66503
2017-05,59.82487
2017-01,59.99506
2016-10,60.17625
2016-06,60.36912
2016-03,33.48000
2016-02,51.87960
2015-03,61.23500
2015-02,57.08127
2015-01,46.51500
2014-02,48.31684
2014-01,55.27132
2013-12,72.45000
2013-10,96.78000
2013-09,61.83000
2013-02,101.11000
2013-01,56.43392
2012-03,74.05875
2012-01,59.45177
2011-02,66.21182
2011-01,50.28207
2010-12,71.01761
2010-03,48.01000
2010-02,59.04750
2009-12,65.30049
2009-02,74.67200
2009-01,66.87627
2008-02,72.82657
2008-01,66.51378
2007-03,71.04400
2007-02,71.72868
2007-01,39.01000
2006-02,86.03429
2006-01,71.52882
2005-03,157.41000
2005-02,88.33200
2005-01,73.30859
2004-03,89.60200
2004-01,71.91305
2003-03,94.67333
2003-01,76.29326
2002-09,79.60000
2002-06,74.84000
2002-05,75.33000
2002-04,75.94500
2002-03,76.24500
2002-02,84.71444
2002-01,77.07775
2001-12,76.15333
2001-11,75.89500
2001-10,75.26500
2001-09,75.32500
2001-08,171.99000
2001-03,76.08000
2001-02,80.82854
2000-10,78.12000
2000-05,85.80000
2000-03,79.92125
2000-02,82.43614
1999-03,92.55000
1999-02,82.70625
1999-01,82.66837
1998-10,209.40000
1998-02,69.41750
1998-01,88.47233
1997-02,107.21286
1997-01,88.22278
1996-12,145.50000
1996-09,100.00000
1996-02,105.99714
1996-01,91.20099
1995-05,131.60000
1995-04,79.00000
1995-02,99.99909
1995-01,95.58277
