datetime,saturated_thickness
2020-01,260.36880
2019-11,260.36841
2019-09,260.36799
2019-07,260.36778
2019-04,260.36772
2019-02,260.36775
2018-12,260.36799
2018-10,260.36826
2018-08,260.36880
2018-06,260.36952
2018-04,260.37039
2018-02,260.37151
2017-12,260.37277
2017-10,260.37436
2017-08,260.37613
2017-06,260.37815
2017-04,260.38049
2017-02,260.38307
2016-12,260.38599
2016-10,260.38923
2016-08,260.39284
2016-06,201.62000
2016-05,200.24000
2016-04,199.26000
2016-03,363.22500
2016-02,555.56529
2015-12,491.92567
2015-11,200.28000
2015-10,147.50000
2015-09,147.50000
2015-05,171.80000
2015-04,220.12500
2015-03,176.31833
2015-02,64.01667
2015-01,186.23273
2014-12,312.89000
2014-11,587.08667
2014-10,208.05000
2014-09,197.78000
2014-08,199.18000
2014-07,200.18200
2014-06,197.02000
2014-05,197.14000
2014-03,200.82000
2014-02,187.64750
2014-01,49.62000
2013-12,641.31217
2013-11,533.20566
2013-06,200.18000
2013-05,206.50000
2013-04,195.72500
2013-03,561.23750
2013-01,504.68683
2012-12,81.78250
2012-03,399.09000
2012-02,635.90000
2012-01,59.48000
2011-12,632.18667
2011-11,472.13883
2011-09,209.28600
2011-06,211.98600
2011-04,211.97600
2011-03,211.88000
2011-01,419.33000
2010-12,543.82321
2010-11,436.96250
2010-09,228.60000
2010-08,217.57500
2010-03,61.73000
2010-02,19.97600
2009-12,647.37288
2009-11,347.96000
2009-09,15.48000
2009-08,26.69000
2009-06,6.90250
2009-05,39.82667
2009-04,58.66250
2009-03,46.44000
2009-02,234.97625
2008-12,478.54878
2008-11,59.40000
2008-10,98.74000
2008-09,33.59500
2008-08,76.26250
2008-07,20.21000
2008-06,30.32286
2008-05,20.67333
2008-04,53.67833
2008-03,222.64400
2008-02,498.47500
2008-01,221.04647
2007-12,556.32932
2007-11,69.07000
2007-10,69.07000
2007-09,69.07000
2007-08,69.07000
2007-07,69.07000
2007-06,69.12833
2007-05,69.19000
2007-04,67.04333
2007-02,463.64286
2007-01,66.64167
2006-12,616.35714
2006-02,577.39000
2006-01,588.06844
2005-12,589.06000
2005-03,77.95000
2005-02,789.37500
2005-01,72.68000
2004-12,684.46591
2004-11,417.01667
2004-09,888.10000
2004-01,79.06429
2003-12,597.31143
2003-03,-106.00000
2003-02,531.54000
2003-01,325.84633
2002-12,606.40000
2002-09,-19.68333
2002-01,70.06714
2001-12,570.70000
2001-11,741.97273
2001-10,101.60000
2001-07,-52.70000
2001-04,-18.90000
2001-03,58.72857
2001-02,58.74000
2001-01,70.21400
2000-10,-120.00000
2000-01,70.21000
1999-12,64.62000
1999-05,275.45000
1999-03,425.80000
1999-02,95.60000
1999-01,66.98333
1998-12,63.95000
1998-01,129.85600
1997-12,45.67500
1997-01,107.09556
1996-12,74.85000
1996-10,53.73000
1996-03,224.42500
1996-02,106.25000
1996-01,128.94333
1995-12,57.13333
1995-01,71.06200
