datetime,saturated_thickness
2020-06,57.91135
2020-03,57.84542
2019-11,57.77860
2019-08,57.71088
2019-04,57.64226
2019-01,57.57274
2018-09,57.50233
2018-06,57.43104
2018-02,57.35887
2017-11,57.28583
2017-07,57.21192
2017-04,57.13717
2016-12,57.06156
2016-09,56.98512
2016-05,75.08000
2016-02,52.81517
2015-12,77.07000
2015-03,63.56400
2015-02,69.44000
2015-01,52.53218
2014-12,46.50333
2014-01,58.54885
2013-12,57.17750
2013-11,55.22000
2013-02,65.40333
2013-01,54.00672
2012-12,52.74622
2012-03,56.27600
2012-01,47.95000
2011-12,60.71500
2011-02,64.15000
2011-01,54.70576
2010-12,48.49000
2010-03,35.15000
2010-02,53.49759
2009-12,-4.00000
2009-10,63.60000
2009-06,39.42000
2009-03,54.05902
2009-02,52.50000
2008-12,60.17267
2008-05,46.30000
2008-01,53.87393
2007-03,57.55735
2007-01,45.50750
2006-12,66.35500
2006-08,92.00000
2006-02,36.91000
2006-01,53.55812
2005-11,56.07500
2005-03,59.29000
2005-01,52.96250
2004-12,60.53667
2004-03,61.47500
2004-01,52.29979
2003-12,53.03591
2003-01,54.16250
2002-12,55.45294
2002-03,33.58000
2002-01,53.84417
2001-12,51.60263
2001-08,60.04000
2001-03,51.70500
2001-02,53.70853
2001-01,56.02636
2000-12,61.85045
2000-09,67.10000
2000-01,53.37898
1999-12,66.03125
1999-01,52.56922
1998-12,69.47800
1998-03,86.01000
1998-02,29.52500
1998-01,52.26592
1997-12,57.64000
1997-02,36.95000
1997-01,50.78829
1996-12,53.09444
1996-11,19.60000
1996-06,18.90000
1996-03,52.52000
1996-02,57.71286
1996-01,53.52409
1995-12,61.59500
1995-10,55.90000
1995-02,47.49667
1995-01,55.52660
