datetime,saturated_thickness
2020-02,324.43396
2019-12,324.44771
2019-11,324.46195
2019-10,324.47671
2019-09,324.49198
2019-07,324.50782
2019-06,324.52422
2019-05,324.54120
2019-03,324.55881
2019-02,324.57704
2019-01,324.59593
2018-12,324.61551
2018-10,324.63579
2018-09,324.65681
2018-08,324.67859
2018-06,324.70115
2018-05,324.72455
2018-04,324.74879
2018-03,324.77392
2018-01,324.79996
2017-12,324.82696
2017-11,324.85494
2017-10,324.88395
2017-08,324.91403
2017-07,324.94520
2017-06,324.97753
2017-04,325.01106
2017-03,325.04581
2017-02,325.08184
2017-01,325.11921
2016-11,325.15797
2016-10,325.19816
2016-09,325.23983
2016-08,325.73750
2016-07,346.88632
2016-06,339.61114
2016-05,328.44882
2016-04,323.03660
2016-03,334.06741
2016-02,317.26685
2016-01,333.24154
2015-12,314.86858
2015-11,325.18882
2015-10,325.31029
2015-09,328.79682
2015-08,326.36292
2015-07,326.57958
2015-06,326.99826
2015-05,328.93638
2015-04,322.02917
2015-03,328.25170
2015-02,332.09578
2015-01,309.81739
2014-12,329.20298
2014-11,315.75770
2014-10,317.86443
2014-09,331.23156
2014-08,324.65289
2014-07,331.30159
2014-06,329.44128
2014-05,347.07500
2014-04,326.92456
2014-03,334.00233
2014-02,301.61625
2014-01,322.14640
2013-12,308.77940
2013-11,329.47333
2013-10,328.98400
2013-09,330.07125
2013-08,327.83700
2013-07,330.07038
2013-06,330.36607
2013-05,336.19837
2013-04,336.14655
2013-03,330.85393
2013-02,333.81102
2013-01,324.67591
2012-12,300.24568
2012-11,334.10913
2012-10,320.87127
2012-09,323.74894
2012-08,332.48478
2012-07,333.22208
2012-06,332.34476
2012-05,336.68864
2012-04,334.24792
2012-03,345.79704
2012-02,331.56032
2012-01,338.63739
2011-12,306.20504
2011-11,346.06486
2011-10,315.95053
2011-09,326.66794
2011-08,323.88589
2011-07,330.19979
2011-06,342.31610
2011-05,333.15786
2011-04,328.71865
2011-03,344.91614
2011-02,349.07917
2011-01,313.10333
2010-12,318.47096
2010-11,341.67154
2010-10,330.38882
2010-09,347.16500
2010-08,344.40095
2010-07,367.51417
2010-06,337.42250
2010-05,349.83341
2010-04,378.44333
2010-03,340.41406
2010-02,344.78714
2010-01,311.64596
2009-12,332.24873
2009-11,334.18714
2009-10,359.23389
2009-09,359.29278
2009-08,358.24651
2009-07,358.07632
2009-06,348.08722
2009-05,331.65714
2009-04,367.89192
2009-03,354.24023
2009-02,345.41321
2009-01,344.69551
2008-12,327.32370
2008-11,360.01333
2008-10,359.88817
2008-09,348.56976
2008-08,339.81757
2008-07,368.68000
2008-06,351.85500
2008-05,355.55317
2008-04,375.83567
2008-03,344.86188
2008-02,344.27786
2008-01,344.70429
2007-12,317.35511
2007-11,360.99333
2007-10,361.04278
2007-09,361.08333
2007-08,361.08333
2007-07,361.12778
2007-06,361.21778
2007-05,361.31278
2007-04,353.09366
2007-03,342.94687
2007-02,358.43368
2007-01,347.79714
2006-12,363.93870
2006-11,312.18178
2006-10,367.39577
2006-09,361.68222
2006-08,367.07214
2006-07,382.05240
2006-06,352.34650
2006-05,353.63493
2006-04,356.85950
2006-03,364.73645
2006-02,385.76000
2006-01,332.05759
2005-12,325.48710
2005-11,431.97000
2005-10,393.63000
2005-09,432.26571
2005-08,370.31000
2005-07,366.83385
2005-06,362.84733
2005-05,348.85840
2005-04,371.50074
2005-03,369.10217
2005-02,336.94563
2005-01,324.08762
2004-12,332.97045
2004-11,373.47583
2004-10,367.79538
2004-09,373.34417
2004-08,373.31917
2004-07,348.44000
2004-06,298.55333
2004-05,359.16700
2004-04,375.70769
2004-03,374.60750
2004-02,366.15800
2004-01,324.03747
2003-12,356.58565
2003-11,374.76500
2003-10,374.92667
2003-09,374.84500
2003-08,374.70500
2003-07,375.06000
2003-06,382.22636
2003-05,375.34429
2003-04,365.31467
2003-03,375.82417
2003-02,380.56485
2003-01,326.86025
2002-12,368.09143
2002-11,386.33556
2002-10,393.00944
2002-09,364.70909
2002-08,366.68556
2002-07,331.37500
2002-06,299.23667
2002-05,299.47000
2002-04,299.52000
2002-03,299.66333
2002-02,255.30000
2002-01,312.51143
2001-12,343.60000
2001-11,299.83000
2001-10,299.63667
2001-09,344.20375
2001-06,377.55000
2001-04,388.35909
2001-03,284.35833
2001-02,329.65825
2000-12,248.23333
2000-11,321.35000
2000-10,399.74333
2000-09,311.00000
2000-06,324.90000
2000-01,320.42353
1999-02,317.04787
1999-01,337.92452
1998-03,298.83333
1998-02,326.00875
1998-01,277.68000
1997-12,407.75000
1997-09,388.20000
1997-03,321.69000
1996-12,303.93118
1996-02,308.65500
1996-01,300.57937
1995-12,328.45708
1995-01,307.09467
