datetime,saturated_thickness
2020-01,1707.32240
2019-11,1707.32301
2019-10,1707.32364
2019-08,1707.32428
2019-06,1707.32495
2019-05,1707.32563
2019-03,1707.32633
2019-01,1707.32706
2018-11,1707.32781
2018-09,1707.32858
2018-08,1707.32938
2018-06,1707.33021
2018-04,1707.33107
2018-03,1707.33195
2018-01,1707.33287
2017-11,1707.33383
2017-09,1707.33482
2017-07,1707.33585
2017-06,1707.33692
2017-04,1707.33803
2017-02,1707.33920
2016-12,1707.34041
2016-11,1707.34168
2016-09,1707.34300
2016-07,1707.34438
2016-05,1707.34584
2016-04,1707.34736
2016-02,1707.34895
2015-12,1707.35063
2015-10,1707.35239
2015-09,1707.35425
2015-07,1707.35621
2015-05,1707.35827
2015-04,1707.36045
2015-02,1707.36275
2014-12,1707.36518
2014-10,1707.36776
2014-08,1707.37049
2014-07,1707.37338
2014-05,1707.37646
2014-03,1707.37972
2014-01,1707.38319
2013-12,1707.38689
2013-10,1707.39082
2013-08,1707.39502
2013-07,1707.39949
2013-05,1707.40427
2013-03,1707.40937
2013-01,1707.41483
2012-11,1707.42067
2012-10,1707.42692
2012-08,1707.43361
2012-06,1707.44079
2012-05,1713.55000
2012-04,1713.41000
2012-03,1712.00000
2012-02,1709.70000
2012-01,1707.35000
2011-12,1711.10000
2011-11,1711.00000
2011-10,1709.75000
2011-09,1706.80000
2011-08,1708.20000
2011-07,1701.00000
2011-06,1707.80000
2011-05,1703.80000
2011-04,1703.30000
2011-03,1705.30000
2011-02,1711.80000
2011-01,1712.50000
2010-12,1713.10000
2010-11,1713.05000
2010-10,1713.70000
2010-09,1713.45000
2010-07,1711.00000
2010-06,1707.40000
2010-05,1713.80000
2010-04,1709.25000
2010-03,1708.70000
2010-02,1701.95000
2010-01,1704.55000
2009-12,1703.50000
2009-11,1704.95000
2009-10,1709.40000
2009-09,1706.25000
2009-08,1697.50000
2009-07,1700.60000
2009-06,1698.06000
2009-05,1701.88000
2009-04,1704.20000
2009-03,1705.51000
2009-02,1703.09000
2009-01,1692.70000
2008-12,1712.10000
2008-11,1712.39000
2008-10,1713.60000
2008-09,1711.61000
2008-08,1696.28000
2008-07,1694.57000
2008-06,1696.18000
2008-05,1716.73000
2008-04,1714.72000
2008-03,1719.98000
2008-02,1718.96000
2008-01,1719.97000
2007-12,1721.05000
2007-11,1721.92000
2007-10,1723.69000
2007-09,1724.88000
2007-08,1725.35000
2007-07,1716.81000
2007-06,1716.33000
2007-04,1714.74000
2007-03,1713.20000
2007-02,1710.68000
2007-01,1707.59000
2006-12,1708.47000
2006-11,1709.88000
2006-10,1710.54000
2006-09,1715.00000
2006-08,1711.56000
2006-07,1707.32000
2006-06,1710.49000
2006-05,1714.57000
2006-04,1715.14000
2006-03,1716.78000
2006-02,1717.22000
2006-01,1715.66000
2005-12,1713.74000
2005-11,1714.84000
2005-10,1716.13000
2005-09,1714.59000
2001-04,1707.87000
2001-03,1708.95000
2001-02,1709.16000
2000-12,1708.19000
2000-02,1706.89000
