datetime,saturated_thickness
2020-05,140.42417
2019-11,141.20444
2019-05,142.03600
2018-11,142.92074
2018-05,143.86028
2017-11,144.85586
2017-05,145.90825
2016-12,134.49000
2016-02,162.03231
2016-01,158.08053
2015-12,190.74857
2015-02,-8.03842
2015-01,149.79167
2014-02,162.59077
2014-01,156.80333
2013-12,182.23714
2013-02,156.13000
2013-01,162.56250
2012-12,190.38167
2012-08,250.50000
2012-01,161.61024
2011-03,176.00000
2011-02,161.94400
2010-12,169.83000
2010-02,147.06000
2010-01,172.97727
2009-02,162.24842
2009-01,185.58500
2008-02,143.11667
2008-01,175.50280
2007-02,180.67692
2007-01,163.00000
2006-03,208.41333
2006-02,178.70098
2005-03,176.50591
2004-08,186.72000
2004-02,171.00556
2004-01,182.68351
2003-02,165.51759
2003-01,202.35409
2002-02,185.31250
2002-01,184.00000
2001-04,186.81776
2000-03,164.66000
2000-02,166.91286
2000-01,213.42217
1998-02,189.08632
1997-01,195.24750
1996-02,207.03279
1996-01,188.96585
1995-01,200.25466
