datetime,saturated_thickness
2020-01,65.99420
2019-11,66.00495
2019-10,66.01593
2019-09,66.02713
2019-07,66.03856
2019-06,66.05024
2019-05,66.06215
2019-03,66.07431
2019-02,66.08673
2019-01,66.09941
2018-11,66.11235
2018-10,66.12557
2018-09,66.13907
2018-07,66.15286
2018-06,66.16694
2018-05,66.18132
2018-03,66.19601
2018-02,66.21102
2018-01,66.22634
2017-11,66.24200
2017-10,66.25800
2017-09,66.27435
2017-07,66.29105
2017-06,66.30811
2017-05,66.32554
2017-03,66.34336
2017-02,66.36156
2017-01,66.38016
2016-11,66.39916
2016-10,66.41858
2016-09,66.43842
2016-08,70.06600
2016-07,70.09667
2016-06,70.09000
2016-05,70.11000
2016-04,70.14333
2016-03,70.16500
2016-02,50.92182
2016-01,49.18678
2015-12,70.26714
2015-11,70.29333
2015-10,70.32667
2015-09,70.34833
2015-08,70.35167
2015-07,70.37000
2015-06,70.39667
2015-05,70.43833
2015-04,70.50500
2015-03,70.52000
2015-02,50.02867
2015-01,70.60167
2014-12,48.55529
2014-11,70.66333
2014-10,70.68333
2014-09,70.70667
2014-08,70.74167
2014-07,70.74833
2014-06,70.77833
2014-05,70.83667
2014-04,70.88000
2014-03,70.91500
2014-02,56.96625
2014-01,48.61316
2013-12,70.96333
2013-11,71.04000
2013-10,71.03833
2013-09,71.07500
2013-08,66.75857
2013-07,71.11500
2013-06,71.17333
2013-05,71.17833
2013-04,73.49500
2013-03,71.27833
2013-02,69.48667
2013-01,43.31316
2012-12,56.46595
2012-11,71.45600
2012-10,54.26300
2012-09,71.50500
2012-08,71.54000
2012-07,71.57333
2012-06,71.62286
2012-05,71.67167
2012-04,71.70167
2012-03,51.62393
2012-02,71.75000
2012-01,63.95875
2011-12,71.85429
2011-11,71.97000
2011-10,72.01667
2011-09,72.04333
2011-08,72.07667
2011-07,72.10333
2011-06,72.13667
2011-05,72.15667
2011-03,61.65000
2011-02,72.21000
2011-01,50.29327
2010-12,47.19891
2010-11,72.28000
2010-10,72.35667
2010-09,72.37667
2010-08,72.39833
2010-07,72.42167
2010-06,72.46167
2010-05,72.47000
2010-04,72.50000
2010-03,72.53833
2010-02,72.59000
2010-01,72.64500
2009-12,46.99000
2009-11,72.67500
2009-10,72.70500
2009-09,72.76167
2009-08,72.88333
2009-07,72.85000
2009-06,72.87167
2009-05,72.91333
2009-04,72.93500
2009-03,73.01167
2009-02,73.03000
2009-01,73.04833
2008-12,52.86709
2008-11,73.13667
2008-10,73.18667
2008-09,73.40333
2008-08,73.52000
2008-07,73.56333
2008-06,73.59333
2008-05,73.61667
2008-04,73.68000
2008-03,73.70833
2008-02,73.73571
2008-01,73.77000
2007-12,73.84167
2007-11,54.56288
2007-10,73.91500
2007-09,73.79333
2007-08,73.53333
2007-07,73.55833
2007-06,73.58500
2007-05,73.60667
2007-04,73.65167
2007-03,73.70667
2007-02,73.76333
2007-01,73.81833
2006-12,57.33769
2006-11,46.72792
2006-10,73.95833
2006-09,74.00000
2006-08,74.04667
2006-07,74.08500
2006-06,74.11833
2006-05,74.15167
2006-04,74.20667
2006-03,74.26167
2006-02,74.30167
2006-01,74.31000
2005-11,46.52696
2005-10,74.54000
2005-08,74.62333
2005-07,74.68000
2005-06,74.71333
2005-05,74.74714
2005-04,74.77000
2005-03,74.80857
2005-02,74.82833
2005-01,74.88333
2004-12,53.28671
2004-11,74.95167
2004-10,76.98111
2004-09,75.17667
2004-08,75.11333
2004-07,75.23500
2004-06,77.77429
2004-05,75.32333
2004-04,75.33167
2004-03,75.37000
2004-02,75.42200
2004-01,75.48000
2003-12,48.08632
2003-11,75.54400
2003-10,75.65000
2003-09,75.69333
2003-08,75.73500
2003-07,75.77667
2003-06,75.81167
2003-05,75.86571
2003-04,75.89429
2003-03,75.92143
2003-02,75.96600
2003-01,76.01167
2002-12,52.27779
2002-08,76.25500
2002-07,61.07333
2002-06,76.36000
2002-05,76.38000
2002-04,76.42000
2002-03,76.39667
2002-02,76.39000
2002-01,76.44000
2001-12,50.35045
2001-11,76.46500
2001-10,76.51667
2001-09,76.53500
2001-03,76.70000
2001-01,52.82528
2000-10,76.88000
1999-12,49.93846
1998-12,49.11176
1998-08,45.50000
1997-12,53.98778
1997-09,79.12467
1997-08,79.12645
1997-07,79.16742
1997-06,79.21300
1997-05,79.27290
1997-04,79.37233
1997-03,79.46000
1997-02,79.51464
1997-01,79.64774
1996-12,62.23731
1996-11,79.73500
1996-10,78.62906
1995-12,52.28954
1995-01,53.08425
