datetime,saturated_thickness
2020-03,25.77883
2019-12,25.99579
2019-09,26.21923
2019-07,26.44926
2019-04,26.68605
2019-01,26.92969
2018-10,27.18032
2018-08,27.43803
2018-05,27.70298
2018-02,27.97521
2017-12,28.25483
2017-09,28.54192
2017-06,28.83655
2017-04,29.13878
2017-01,29.44863
2016-10,29.76615
2016-08,34.35600
2016-07,34.43500
2016-06,34.49333
2016-05,34.34833
2016-04,34.42667
2016-03,34.50833
2016-02,34.53600
2016-01,34.51500
2015-12,49.87308
2015-11,41.57144
2015-10,34.46333
2015-09,34.53333
2015-08,34.64500
2015-07,34.72000
2015-06,34.73500
2015-05,34.70833
2015-04,34.77667
2015-03,34.72500
2015-02,34.75500
2015-01,41.58833
2014-12,-61.22233
2014-11,37.12111
2014-10,34.99333
2014-09,35.07333
2014-08,35.18167
2014-07,35.25333
2014-06,35.26167
2014-05,35.16667
2014-04,35.19167
2014-03,35.24000
2014-02,35.23833
2014-01,34.38955
2013-12,44.16787
2013-11,35.44167
2013-10,35.54333
2013-09,35.66000
2013-03,124.37000
2013-02,56.31500
2013-01,43.66169
2012-05,87.22000
2012-04,65.80000
2012-03,62.81000
2012-01,42.97407
2011-12,58.90200
2011-03,93.23000
2011-02,61.82364
2011-01,45.48052
2010-12,45.84633
2010-03,62.10600
2010-01,44.46829
2009-02,50.39500
2009-01,46.21496
2008-02,47.03125
2008-01,47.46627
2007-12,23.62800
2007-02,55.68600
2007-01,44.76912
2006-12,56.90750
2006-04,38.92000
2006-03,27.31250
2006-02,48.80800
2006-01,48.71147
2005-04,112.01500
2005-02,25.22000
2005-01,46.92318
2004-05,63.97500
2004-04,48.42333
2004-03,56.55000
2004-02,35.25950
2004-01,48.53117
2003-03,41.23667
2003-02,88.82333
2003-01,36.79704
2002-12,49.69412
2002-07,22.30000
2002-03,75.02000
2002-02,43.88667
2002-01,49.16962
2001-08,55.15500
2001-03,57.33000
2001-02,66.24500
2001-01,50.25133
2000-02,57.36750
2000-01,50.71174
1999-12,70.48500
1999-02,51.92500
1999-01,50.41000
1998-01,53.96771
1997-01,56.16563
1996-11,135.78000
1996-05,50.92500
1996-04,74.10000
1996-01,57.53387
1995-12,59.35000
1995-11,29.10000
1995-01,49.02216
