datetime,average_water_level
2018-02-01,167.08
2018-01-31,263.125
2018-01-30,263.21999999999997
2018-01-29,263.325
2018-01-28,263.235
2018-01-27,263.245
2018-01-26,263.065
2018-01-25,263.135
2018-01-24,263.245
2018-01-23,263.235
2018-01-22,263.21500000000003
2018-01-21,263.13
2018-01-20,263.105
2018-01-19,263.08500000000004
2018-01-18,263.155
2018-01-17,263.28
2018-01-16,263.4
2018-01-15,263.265
2018-01-14,263.24
2018-01-13,263.33500000000004
2018-01-12,263.24
2018-01-11,263.24
2018-01-10,263.08
2018-01-09,263.125
2018-01-08,263.21
2018-01-07,263.135
2018-01-06,263.155
2018-01-05,263.185
2018-01-04,263.15999999999997
2018-01-03,263.245
2018-01-02,263.255
2018-01-01,263.31
2017-12-31,263.305
2017-12-30,263.20000000000005
2017-12-29,263.16
2017-12-28,263.195
2017-12-27,263.3
2017-12-26,263.26
2017-12-25,263.175
2017-12-24,263.33
2017-12-23,263.18
2017-12-22,263.225
2017-12-21,263.165
2017-12-20,263.27
2017-12-19,263.28999999999996
2017-12-18,263.32500000000005
2017-12-17,263.32
2017-12-16,263.23
2017-12-15,263.315
2017-12-14,263.33500000000004
2017-12-13,263.25
2017-12-12,263.34000000000003
2017-12-11,263.335
2017-12-10,263.35
2017-12-09,263.32
2017-12-08,263.21000000000004
2017-12-07,263.335
2017-12-06,263.345
2017-12-05,263.375
2017-12-04,263.09000000000003
2017-12-03,263.13
2017-12-02,263.225
2017-12-01,263.2
2017-11-30,263.34
2017-11-29,263.31
2017-11-28,263.23
2017-11-27,263.14
2017-11-26,263.34000000000003
2017-11-25,263.335
2017-11-24,263.105
2017-11-23,263.27
2017-11-22,263.375
2017-11-21,263.28000000000003
2017-11-20,263.16499999999996
2017-11-19,263.345
2017-11-18,263.335
2017-11-17,263.105
2017-11-16,263.24
2017-11-15,263.31
2017-11-14,263.21500000000003
2017-11-13,263.325
2017-11-12,263.405
2017-11-11,263.27
2017-11-10,263.28000000000003
2017-11-09,263.305
2017-11-08,263.34000000000003
2017-11-07,263.365
2017-11-06,263.32500000000005
2017-11-05,263.28999999999996
2017-11-04,263.265
2017-11-03,263.325
2017-11-02,263.265
2017-11-01,262.96000000000004
2017-10-31,263.15999999999997
2017-10-30,263.20500000000004
2017-10-29,263.08500000000004
2017-10-28,263.225
2017-10-27,263.3
2017-10-26,263.01
2017-10-25,263.21500000000003
2017-10-24,263.375
2017-10-23,263.3
2017-10-22,263.33000000000004
2017-10-21,263.09000000000003
2017-10-20,263.115
2017-10-19,263.21000000000004
2017-10-18,263.195
2017-10-17,262.78999999999996
2017-10-16,262.58000000000004
2017-10-15,262.675
2017-10-14,262.5
2017-10-13,262.51
2017-10-12,262.475
2017-10-11,262.555
2017-10-10,262.67
2017-10-09,262.495
2017-10-08,262.325
2017-10-07,262.455
2017-10-06,262.425
2017-10-05,262.56
2017-10-04,262.62
2017-10-03,262.61
2017-10-02,262.47
2017-10-01,262.5
2017-09-30,262.575
2017-09-29,262.61
2017-09-28,262.62
2017-09-27,262.625
2017-09-26,262.63
2017-09-25,262.59000000000003
2017-09-24,262.58
2017-09-23,262.575
2017-09-22,262.58
2017-09-21,262.575
2017-09-20,262.585
2017-09-19,262.555
2017-09-18,262.625
2017-09-17,262.655
2017-09-16,262.61
2017-09-15,262.51
2017-09-14,262.37
2017-09-13,262.39
2017-09-12,262.46500000000003
2017-09-11,262.55
2017-09-10,262.59000000000003
2017-09-09,262.58000000000004
2017-09-08,262.53999999999996
2017-09-07,262.535
2017-09-06,262.59
2017-09-05,262.625
2017-09-04,262.53
2017-09-03,262.59
2017-09-02,262.58
2017-09-01,262.56
2017-08-31,262.58
2017-08-30,262.58000000000004
2017-08-29,262.595
2017-08-28,262.6
2017-08-27,262.605
2017-08-26,262.625
2017-08-25,262.575
2017-08-24,262.575
2017-08-23,262.62
2017-08-22,262.63
2017-08-21,262.64
2017-08-20,262.58500000000004
